time_sec	flux	flux_err	band	source
389613.703	9.302339978650282e-16	1.2044259182793993e-16	B	astro-ph/0010322
389786.503	2.2546059067392333e-15	2.4205246216702493e-16	V	astro-ph/0010322
389959.303	6.3793069480356035e-15	2.350223533148819e-16	R	astro-ph/0010322
394538.503	1.3973994498070962e-14	1.3766326296325182e-15	I	astro-ph/0010322
566128.903	1.1404352707265988e-15	6.290965426267563e-17	V	astro-ph/0010322
566733.703	2.3376177659722386e-15	3.0142357397856034e-16	R	astro-ph/0010322
565610.503	3.0013771228289274e-15	2.2356330096088137e-16	I	astro-ph/0010322
731584.903	1.139655259883298e-15	1.994356441545248e-16	R	astro-ph/0010322
727696.903	4.910162373228352e-15	1.0744224408105325e-15	J	astro-ph/0010322
730288.903	3.1742606939568035e-15	1.3356127415965854e-15	H	astro-ph/0010322
732621.703	4.228558863369842e-15	2.1038225177921904e-15	Ks	astro-ph/0010322
2972282.503	6.741763279332387e-16	0.0	R	astro-ph/0010322
2971591.303	1.0406880505899815e-15	7.75176348519473e-17	I	astro-ph/0010322
