Time      Mag    		MagErr       Band          GCN
19458       20.07           0.15                  R              1195
24342       21.41           0.15                  B              1195
24342       20.09           0.15                 g               1195
24342       20.09           0.15                 i               1195
25206       21.41           0.15                  V              1195
26292       20.12           0.15                  R              1195
31254       21.21           0.15                  V              1195
43601      20.79           0.05                  V               1195
169779     21.71           0.09                  V               1199
38739      20.10           0.08                  R               1195
39279     20.41           0.04                  R                1199   
41051        20.43           0.05                  R             1199
42611       20.35           0.03                  R              1199
45011        20.40           0.04                  R             1199 
124451      21.48           0.11                  R              1199
133192      21.52           0.07                  R              1199
40132       19.95           0.06                  I              1199
41872       19.92           0.07                  I              1199
44272       19.96           0.05                  I              1199
45712       20.10           0.06                  I              1199
126232      20.80           0.11                  I              1199
134032      20.94           0.12                  I              1199
21600       20.28           0.02                  R              1209
29376       20.58           0.02                  R              1209
26784       21.46           0.04                  R              1209
68256       24.2            0.2                   R              1213
26784       21.81           0.06                  V              1214
