Time	Flux	Flux_err	Band
6053.184	5.41560883777374e-13	1.599266825557353e-13	R
14282.784	4.889306783728634e-13	4.4825434029404315e-15	R
15024.96	4.760442110751453e-13	4.36439956061645e-15	R
15132.96	4.69080401598438e-13	4.300554971578641e-15	R
15873.408	4.5128124857574295e-13	4.137371355803527e-15	R
15963.264	4.5086579453847955e-13	4.133562450295392e-15	R
16053.12	4.496217258454727e-13	4.122156759961613e-15	R
16142.976	4.459100783696885e-13	4.088128171364085e-15	R
16500.672	4.389825816946559e-13	4.0246165000921675e-15	R
16753.824	4.3216270808649474e-13	3.9620915230282084e-15	R
17171.136	4.2077244183528825e-13	3.857664934351001e-15	R
29261.088	3.059477673578665e-13	0.0			R
32380.992	2.2163956457869544e-13	2.5010692357229704e-14	R
57520.8		1.6056367075617044e-13	3.3023413603571014e-14	R
64359.36	1.9303999084176332e-13	0.0			R
64540.8		1.218e-13		2.0491172679694686e-14	R
81021.6		8.272700245277288e-14	1.5099379625537287e-15	R
81112.32	8.341560198152913e-14	1.5225063203893496e-15	R
81202.176	8.272700245277288e-14	1.5099379625537287e-15	R
81292.032	8.280323193741356e-14	1.5113293074512852e-15	R
5002200.0	3.3546505606658827e-15	4.058371817412156e-16	R
