Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            216.0000               0.0010    4.8086456368534681e+44    4.8718190750497679e+43
            371.5000               0.0010    4.6347122265777888e+44    4.6956006198000710e+43
            527.0000               0.0010    3.5157887473197784e+44    4.2096095562271477e+43
            691.2000               0.0010    2.9513639667339829e+44    6.2521055198824180e+43
            846.7000               0.0010    4.0366655909633562e+44    4.4614878157109658e+43
           1002.2000               0.0010    2.5004764555465717e+44    4.1454431839240403e+43
           1874.9000               0.0010    3.7499266445588704e+44    6.9076203521219456e+43
           2281.0000               0.0010    2.9786726016978158e+44    6.3099555408633185e+43
          60925.5000               0.0010    2.8185306082404860e+43    2.5959626998051508e+42
          68693.0000               1.5000    6.3390293227122705e+43    9.9253852930511645e+42
          81794.9000               0.0010    2.4548375319005175e+43    6.7829669632791953e+42
         313726.0000              14.5000    1.3002376890278237e+43    2.2753700847825791e+42
         406438.0000              10.5000    9.9545755893581516e+42    2.1087557377474247e+42
        1181269.5000               0.0010    1.7783725757079442e+43    4.9138251605962323e+42
