Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes 
-9. -9.    216.0   1.d-3 -9.  IC 	18.82  0.11   -9.  -9.  -9.	P60	soderberg07  0  henden05 0. 0. 0 nnn	
-9. -9.    371.5   1.d-3 -9.  IC 	18.86  0.11   -9.  -9.  -9.	P60	soderberg07  0  henden05 0. 0. 0 nnn  	
-9. -9.    527.0   1.d-3 -9.  IC 	19.16  0.13   -9.  -9.  -9.	P60	soderberg07  0  henden05 0. 0. 0 nnn  		
-9. -9.    691.2   1.d-3 -9.  IC 	19.35  0.23   -9.  -9.  -9.	P60	soderberg07  0  henden05 0. 0. 0 nnn  		
-9. -9.    656.6   1.d-3 -9.  KS	16.37  0.21   -9.  -9.  -9.	P200	soderberg07  0  2MASS 0. 0. 0 nnn  		
-9. -9.    846.7   1.d-3 -9.  IC 	19.01  0.12   -9.  -9.  -9.	P60	soderberg07  0  henden05 0. 0. 0 nnn  		
-9. -9.   1002.2   1.d-3 -9.  IC 	19.53  0.18   -9.  -9.  -9.	P60	soderberg07  0  henden05 0. 0. 0 nnn  		
-9. -9.   1347.8   1.d-3 -9.  zz	19.16  0.27   -9.  -9.  -9.	P60	soderberg07  0  henden05 0. 0. 0 nnn  		
-9. -9.   1270.1   1.d-3 -9.  KS	16.64  0.20   -9.  -9.  -9.	P200	soderberg07  0  2MASS 0. 0. 0 nnn  		
-9. -9.   1874.9   1.d-3 -9.  IC 	19.09  0.20   -9.  -9.  -9.	P60	soderberg07  0  henden05 0. 0. 0 nnn	
-9. -9.   1831.7   1.d-3 -9.  KS	16.79  0.20   -9.  -9.  -9.	P200	soderberg07  0  2MASS 0. 0. 0 nnn  		
-9. -9.   2281.0   1.d-3 -9.  IC 	19.34  0.23   -9.  -9.  -9.	P60	soderberg07  0  henden05 0. 0. 0 nnn	
-9. -9.   2410.6   1.d-3 -9.  KS	16.89  0.24   -9.  -9.  -9.	P200	soderberg07  0  2MASS 0. 0. 0 nnn  		
-9. -9.   2972.2   1.d-3 -9.  KS	16.99  0.25   -9.  -9.  -9.	P200	soderberg07  0  2MASS 0. 0. 0 nnn  		
-9. -9.   3542.4   1.d-3 -9.  KS	16.98  0.29   -9.  -9.  -9.     P200    soderberg07  0  2MASS 0. 0. 0 nnn  	 
-9. -9.   4086.7   1.d-3 -9.  RC	20.92  0.05   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.   7655.0   1.d-3 -9.  RC	21.18  0.12   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.   8009.3   1.d-3 -9.  RC	21.40  0.15   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.   8372.2   1.d-3 -9.  RC	21.16  0.08   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.   8726.4   1.d-3 -9.  RC	21.43  0.11   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.   9097.9   1.d-3 -9.  RC	21.44  0.26   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.   9383.0   1.d-3 -9.  RC	21.39  0.16   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.   9745.9   1.d-3 -9.  RC	21.37  0.16   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.  10048.3   1.d-3 -9.  RC	21.18  0.17   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.  10368.0   1.d-3 -9.  RC	21.35  0.16   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.  10661.8   1.d-3 -9.  RC	21.36  0.10   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.  11033.3   1.d-3 -9.  RC	21.44  0.27   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.  11301.1   1.d-3 -9.  RC	21.46  0.22   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.  11741.8   1.d-3 -9.  RC	21.63  0.34   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.  12752.6   1.d-3 -9.  RC	21.71  0.30   -9.  -9.  -9.	ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn		
-9. -9.  13573.4   1.d-3 -9.  RC	21.87  0.46   -9.  -9.  -9.     ATT2.3m soderberg07  0  NNN 0. 0. 0 nnn	
-9. -9.  80170.6   1.d-3 -9.  RC	22.62  0.30   -9.  -9.  -9.	P60	soderberg07  0  henden05 0. 0. 0 nnn	
-9. -9.  81129.6   1.d-3 -9.  zz	20.38  100.   -9.  -9.  -9.	P60	soderberg07  1  henden05 0. 0. 0 nnn		
-9. -9.  81794.9   1.d-3 -9.  IC 	22.05  0.30   -9.  -9.  -9.	P60	soderberg07  0  henden05 0. 0. 0 nnn		
-9. -9. 157801.0   1.d-3 -9.  RC 	23.46  100.   -9.  -9.  -9.	P60	soderberg07  1  henden05 0. 0. 0 nnn		
-9. -9. 167711.0   1.d-3 -9.  IC 	22.83  100.   -9.  -9.  -9.	P60	soderberg07  1  henden05 0. 0. 0 nnn		
-9. -9. 595261.4   1.d-3 -9.  KS	19.70  100.   -9.  -9.  -9.     P200	soderberg07  1  2MASS 0. 0. 0 nnn		
-9. -9.  3189888.0 -9.  3282. AB        24.35 0.02   -9.  -9.  -9.      HST    	soderberg07  0  AB 0. 0. 0 nnn	
-9. -9.  3196800.0 -9.  3430. AB        23.83 0.03   -9.  -9.  -9.      HST    	soderberg07  0  AB 0. 0. 0 nnn
-9. -9.  5245344.0 -9.  3986. AB        25.88 0.10   -9.  -9.  -9.      HST    	soderberg07  0  AB 0. 0. 0 nnn
-9. -9.  7403616.0 -9   4224. AB        26.44 0.22   -9.  -9.  -9.      HST    	soderberg07  0  AB 0. 0. 0 nnn
-9. -9. 126.      -9.	100.	v	 19.19	0.29	  -9.  -9.  -9.   UVOT	holland07 0 NNN 0. 0. 0 nnn
-9. -9. 228.      -9.	10.	b	 19.49	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 257.      -9.	10.	v	 19.39	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 285.      -9.	10.	uvw1	 18.36	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 313.      -9.	10.	b	 19.17	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 342.      -9.	10.	v	 18.36	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 355.      -9.	10.	uvm2	 18.57	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 369.      -9.	10.	uvw1	 18.61	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 397.      -9.	10.	b	 19.44	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 482.      -9.	10.	b	 19.39	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 497.      -9.	10.	uvw2	 18.41	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 510.      -9.	10.	v	 18.61	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 566.      -9.	10.	b	 19.32	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 594.      -9.	10.	u	 19.75	0.30	  -9.  -9.  -9.   UVOT	holland07 0 NNN 0. 0. 0 nnn 
-9. -9. 650.      -9.	10.	b	 19.38	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 666.      -9.	10.	uvw2	 18.20	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 679.      -9.	10.	v	 18.13	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 707.      -9.	10.	uvw1	 19.30	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 735.      -9.	10.	b	 19.49	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 792.      -9.	10.	uvw1	 18.16	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 819.      -9.	10.	b	 19.48	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 848.      -9.	10.	v	 18.33	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 876.      -9.	10.	uvw1	 18.09	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 904.      -9.	10.	b	 19.57	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 919.      -9.	10.	uvw2	 19.05	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 933.      -9.	10.	v	 18.22	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 1035.     -9.	100.	b	 20.74	0.42	  -9.  -9.  -9.   UVOT	holland07 0 NNN 0. 0. 0 nnn 
-9. -9. 1140.     -9.	100.	uvw2	 19.81	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 1245.     -9.	100.	v	 19.55	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 1349.     -9.	100.	uvm2	 20.75	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 1454.     -9.	100.	uvw1	 20.32	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 1558.     -9.	100.	u	 20.44	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 1663.     -9.	100.	b	 20.90	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 1768.     -9.	100.	uvw2	 19.55	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 1868.     -9.	93.	v	 19.51	0.40	  -9.  -9.  -9.   UVOT	holland07 0 NNN 0. 0. 0 nnn 
-9. -9. 2081.     -9.	100.	uvw1	 20.43	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 2185.     -9.	100.	u	 20.30	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 2290.     -9.	100.	b	 20.65	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 6850.     -9.	900.	v	 21.02	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 11730.    -9.	900.	uvw1	 21.81	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 12637.    -9.	900.	u	 21.61	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 13508.    -9.	826.	b	 21.71	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 18532.    -9.	900.	v	 20.88	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 23601.    -9.	900.	uvw1	 21.93	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 24508.    -9.	900.	u	 21.55	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 25231.    -9.	530.	b	 21.60	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 30599.    -9.	900.	v	 20.88	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 36640.    -9.	858.	uvw1	 22.00	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 41791.    -9.	900.	u	 21.51	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 42552.    -9.	606.	b	 21.61	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 48456.    -9.	373.	v	 20.44	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 51023.    -9.	36. 	KS	 19.07	0.17	  -9.  -9.  -9.   NOT   holland07 0 2MASS 0. 0. 0 nnn	
-9. -9. 52031.    -9.	271.	v	 20.35	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn
-9. -9. 54363.    -9.	132.	uvw1	 20.78	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn 
-9. -9. 57086.    -9.	6.	RC	 22.29	0.08	  -9.  -9.  -9.   D1.5	holland07 0  NNN 0. 0. 0 nnn
-9. -9. 57990.    -9.   773.	uvw1	 21.70	100. 	  -9.  -9.  -9.   UVOT	holland07 1  NNN 0. 0. 0 nnn
-9. -9. 59659.	     -9.   900.	u	 21.57	100. 	  -9.  -9.  -9.   UVOT	holland07 1  NNN 0. 0. 0 nnn
-9. -9. 60166.	     -9.   99.	b	 20.72	100. 	  -9.  -9.  -9.   UVOT  holland07 1  NNN 0. 0. 0 nnn
-9. -9. 60415.	     -9.   2. 	VJ	 23.13	0.17	  -9.  -9.  -9.   D1.5	holland07 0  NNN 0. 0. 0 nnn       
-9. -9. 63859.	     -9.   900.	b	 21.86	100. 	  -9.  -9.  -9.   UVOT	holland07 1  NNN 0. 0. 0 nnn       
-9. -9. 67559.	     -9.   9202. uvm2	 23.38	0.42	  -9.  -9.  -9.   UVOT	holland07 0  NNN 0. 0. 0 nnn      
-9. -9. 68693.	     -9.   3.	IC	 21.02	0.17	  -9.  -9.  -9.   D1.5	holland07 0  NNN 0. 0. 0 nnn       
-9. -9. 70541.	     -9.   900.	uvw1	 21.98	100. 	  -9.  -9.  -9.   UVOT	holland07 1  NNN 0. 0. 0 nnn      
-9. -9. 70549.	     -9.   1500. B	 23.11	0.25	  -9.  -9.  -9.   D1.5	holland07 0  NNN 0. 0. 0 nnn       
-9. -9. 71393.	     -9.   791.	u	 21.55	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn        
-9. -9. 73345.	     -9.   10146. uvw2   23.25	0.33	  -9.  -9.  -9.   UVOT	holland07 0 NNN 0. 0. 0 nnn        
-9. -9. 76988.	     -9.   459.	v	 20.53	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn       
-9. -9. 82070.	     -9.   900.	uvw1	 21.92	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn        
-9. -9. 82944.	     -9.   835.	u	 21.44	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn        
-9. -9. 86973.	     -9.   900.	b	 21.96	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn        
-9. -9. 88743.	     -9.   810.	v	 20.83	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn        
-9. -9. 93637.	     -9.   900.	uvw1	 22.15	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn        
-9. -9. 94514.	     -9.   841.	u	 21.47	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn        
-9. -9. 98641.	     -9.   900.	b	 22.01	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn        
-9. -9. 100162.	     -9.   311.	v	 20.45	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn        
-9. -9. 105335.      -9.   900.	uvw1	 21.96	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn        
-9. -9. 110415.      -9.   900.	b	 21.95	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn        
-9. -9. 112038.	     -9.   514.	v	 20.47	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn        
-9. -9. 117400.      -9.   900.	uvw1	 22.04	100. 	  -9.  -9.  -9.   UVOT	holland07 1 NNN 0. 0. 0 nnn        
