Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
             66.5000               0.0010    1.5828100338533251e+47    3.4987726981547607e+46
             67.5000               0.0010    2.1058566113197593e+47    4.4610010463341318e+46
             68.5000               0.0010    2.1848860750819377e+47    4.6284153511064564e+46
             69.5000               0.0010    1.9029562156808548e+47    4.0311812417086383e+46
             70.5000               0.0010    1.9743711489102843e+47    4.1824650898813360e+46
             71.5000               0.0010    1.4435399055343458e+47    3.0579636782477868e+46
             72.5000               0.0010    1.7038399430981110e+47    3.6093776414259522e+46
             73.5000               0.0010    1.9029562156808548e+47    4.0311812417086383e+46
             80.5000               0.0010    1.7038399430981110e+47    1.5692946267069361e+46
             85.5000               0.0010    1.5115718463729890e+47    1.3922091602579734e+46
             90.5000               0.0010    1.6271545123092918e+47    1.4986647327599838e+46
             95.5000               0.0010    1.5396740655632095e+47    1.5599014875378822e+46
            100.5000               0.0010    1.5255582486735762e+47    1.5456002245261569e+46
            105.5000               0.0010    1.2006841922686891e+47    1.2164581449243463e+46
            110.5000               0.0010    1.2806451035266000e+47    1.2974695402617574e+46
            115.5000               0.0010    1.0361646982954595e+47    1.0497772810208917e+46
            120.5000               0.0010    1.2343229190632452e+47    1.2505387994858135e+46
            125.5000               0.0010    1.0849976368122749e+47    1.0992517608065604e+46
            130.5000               0.0010    8.6981880139479821e+46    9.6135929441038398e+45
            135.5000               0.0010    1.0079263332276072e+47    1.0211679352767534e+46
            140.5000               0.0010    8.9418790461885434e+46    9.8829302341615557e+45
            145.5000               0.0010    9.1081209919692995e+46    1.0066667628019819e+46
            150.5000               0.0010    8.8598994051149132e+46    9.7923229838098923e+45
            155.5000               0.0010    8.6184425457202091e+46    9.5254549929064858e+45
            160.5000               0.0010    7.2348376443825562e+46    7.9962382990850053e+45
            165.5000               0.0010    7.6459031051977443e+46    8.4505646492766484e+45
            170.5000               0.0010    7.5758050431449981e+46    8.3730894057356935e+45
            178.0000               0.0010    7.1027869735064802e+46    8.5044813748586213e+45
            192.0000               0.0010    9.2935746400585182e+46    1.6426330804646782e+46
            207.0000               0.0010    9.1966655112480793e+46    1.9829276410424793e+46
            220.0000               0.0010    5.9401578851085802e+46    1.2259835569839149e+46
            234.0000               0.0010    5.3858963059611130e+46    1.0618526891365837e+46
            250.0000               0.0010    4.6663228894601382e+46    1.0232796419832526e+46
            263.0000               0.0010    4.2406144236792657e+46    5.4680504693894506e+45
            277.0000               0.0010    4.4716271723726955e+46    9.2017279953545036e+45
            291.0000               0.0010    5.4007737949895728e+46    1.2420620722062091e+46
            304.0000               0.0010    4.1250459060441391e+46    8.5850617843880437e+45
            318.0000               0.0010    3.7643395046999934e+46    7.5631978372257591e+45
            334.0000               0.0010    2.6762728184911971e+46    6.6920911683239238e+45
            347.0000               0.0010    3.6934207544636924e+46    5.1026494897243992e+45
            361.0000               0.0010    3.4388496214147791e+46    7.5822473508550951e+45
            366.2000               0.0010    3.0057218190854252e+46    5.9483129951464683e+45
            375.0000               0.0010    3.1129345107678119e+46    7.7684464234883431e+45
            388.3000               0.0010    3.7406406180854008e+46    6.9640869530258082e+45
            402.0000               0.0010    2.8263997340498615e+46    5.9016686059962885e+45
            410.3000               0.0010    3.0057218190854252e+46    5.9483129951464683e+45
            418.0000               0.0010    3.1247723584041874e+46    7.4360867683395364e+45
            424.0000               0.0010    2.8372106643825993e+46    6.1821468792722724e+45
            431.0000               0.0010    2.4855859349213273e+46    3.8918258343893092e+45
            439.6000               0.0010    2.6815431094012789e+46    5.4766735908068007e+45
            445.0000               0.0010    2.4998893292462530e+46    6.0763807955941398e+45
            460.0000               0.0010    2.2873466224677094e+46    6.0109142067452563e+45
            473.0000               0.0010    2.2535582183219680e+46    4.9349545483641198e+45
            475.9000               0.0010    2.7071678470230763e+46    5.5264148750014422e+45
            487.0000               0.0010    2.5384159201877757e+46    5.4579868362084542e+45
            503.0000               0.0010    2.0360459799864335e+46    5.3795009478207464e+45
            512.2000               0.0010    2.3696858890214997e+46    6.2285490495505569e+45
            516.0000               0.0010    1.9743710811672586e+46    3.4550797383105892e+45
            530.0000               0.0010    1.0747908915770957e+46    3.5628471524951845e+45
            544.0000               0.0010    2.0448600084430096e+46    5.5027929723473935e+45
            557.0000               0.0010    1.7559460987110122e+46    4.0068866515878363e+45
            576.0000               0.0010    2.3841763873977515e+46    5.1415122646012241e+45
            587.0000               0.0010    2.8786918860068705e+46    7.0231240660520053e+45
            598.7000               0.0010    2.0351947864366268e+46    4.4384887893538869e+45
            600.0000               0.0010    1.1466444616401408e+46    2.5346366595302072e+45
            614.0000               0.0010    2.5954578657836339e+46    6.3008692124921294e+45
            620.3000               0.0010    1.7985047146865639e+46    4.0498674244715556e+45
            629.0000               0.0010    1.9698863971253463e+46    5.3111966891237744e+45
            641.9000               0.0010    1.2770866893716536e+46    3.1574492342660256e+45
            642.0000               0.0010    1.6898197443638651e+46    3.8590105347415386e+45
            656.0000               0.0010    1.6221879833745655e+46    3.7355050721666525e+45
            670.3000               0.0010    1.3780430302966108e+46    3.3082295319831140e+45
            671.0000               0.0010    1.6967786081929877e+46    4.7153442731423118e+45
            685.0000               0.0010    1.4171922839110446e+46    2.8716212102869768e+45
            699.0000               0.0010    1.9960047998393762e+46    5.1666635992452939e+45
            707.5000               0.0010    1.6667450735584077e+46    3.7651037175311218e+45
            713.0000               0.0010    2.0448600084430096e+46    5.5027929723473935e+45
            726.0000               0.0010    1.4916316143329684e+46    3.4151029878762098e+45
            740.0000               0.0010    1.7741632561967864e+46    4.0699640374344833e+45
            744.2000               0.0010    1.5300174344032142e+46    3.5619527214498048e+45
            756.0000               0.0010    1.8251139338286557e+46    4.9495386997776573e+45
            769.0000               0.0010    1.1466444616401408e+46    2.6402465203439659e+45
            783.0000               0.0010    1.4646800942224642e+46    4.3674916712047674e+45
            797.0000               0.0010    1.1040480562505388e+46    3.4195558928866158e+45
            801.8000               0.0010    1.4729065020660169e+46    3.4341503046116200e+45
            810.0000               0.0010    1.0972307681645097e+46    2.6163790996933554e+45
            825.0000               0.0010    1.1037338894097477e+46    2.8426449639943982e+45
            840.0000               0.0010    9.5557499437125477e+45    3.1423016930200271e+45
            854.0000               0.0010    1.4839824995790551e+46    3.0069565505434144e+45
            868.0000               0.0010    1.3845325773901795e+46    4.1337984148726058e+45
            868.3000               0.0010    1.4729065020660169e+46    3.4341503046116200e+45
            882.0000               0.0010    8.5799424701583892e+45    2.8414535394771797e+45
            895.0000               0.0010    1.2916569303677745e+46    3.0703538406500663e+45
            909.0000               0.0010    1.2289527286209119e+46    3.1533208541056992e+45
            925.0000               0.0010    1.1677319899451687e+46    3.6598800969176870e+45
            935.3000               0.0010    1.3392818359043126e+46    3.9762433988213413e+45
            938.0000               0.0010    1.3913256092115596e+46    3.0754998715177731e+45
            952.0000               0.0010    1.2724583571677330e+46    3.9044034004489584e+45
            966.0000               0.0010    1.2349699158279087e+46    3.7354746946399632e+45
            980.0000               0.0010    1.2550018855329756e+46    3.0875768679807089e+45
           1002.3000               0.0010    6.6889627008381209e+45    1.9216462481668039e+45
           1068.8000               0.0010    9.0683604924233433e+45    2.3907145328123021e+45
           1084.0000               0.0010    1.0554031284458422e+46    2.2179330099491369e+45
           1135.9000               0.0010    8.9825320641807118e+45    2.3688060642913042e+45
           1135.9000               0.0010    8.9825320641807118e+45    2.3688060642913042e+45
           1190.0000               0.0010    1.0278496137469324e+46    2.3536653860739336e+45
           1214.9000               0.0010    7.7146028818051158e+45    2.1520927415494064e+45
           1281.1000               0.0010    7.9378771874400601e+45    2.1564687201106353e+45
           1293.0000               0.0010    8.8598991011212106e+45    1.2240403309779531e+45
           1347.1000               0.0010    5.9110519121604977e+45    2.0660668653898590e+45
           1413.2000               0.0010    9.2425024917193150e+45    2.4351457146881465e+45
           1546.7000               0.0010    6.2581558414430979e+45    1.8011666451926657e+45
           1626.7000               0.0010    8.0903102325027996e+45    2.1966131081711605e+45
           1761.1000               0.0010    4.7497152279817871e+45    1.4467766954035639e+45
           1827.2000               0.0010    5.1741661755193201e+45    1.6114918096453031e+45
           1894.1000               0.0010    4.0792692443212531e+45    1.3085289404554481e+45
           2068.6000               0.0010    7.7146028818051158e+45    2.1520927415494064e+45
           2194.8000               0.0010    9.1550174465716755e+45    2.8131913563205084e+45
           2321.8000               0.0010    5.9675322332165630e+45    2.2802169754687648e+45
           2570.5000               0.0010    8.4040064240990576e+45    2.2791559359361273e+45
           3140.3000               0.0010    4.9810255831560376e+45    1.5154374841358321e+45
           3916.5000               0.0010    4.5291423607381565e+45    1.4150655495311741e+45
           4691.1000               0.0010    2.6089008132230502e+45    9.0555837298775002e+44
           6434.0000               0.0010    3.2967678754222050e+45    6.5075738150911487e+44
           6499.1000               0.0010    2.0568355340457030e+45    7.4967804770529213e+44
           7080.0000               0.0010    2.8504430513798091e+45    7.6265821419277557e+44
          12469.0000               0.0010    1.3286872384178860e+45    2.9054180008339749e+44
          12866.0000               0.0010    1.7920526530923296e+45    4.7123928111937656e+44
          16277.0000               0.0010    1.6385449700117351e+45    4.2351561066451092e+44
          18414.0000               0.0010    9.2680925392344781e+44    2.5818406582520502e+44
          18653.0000               0.0010    1.6727412441252158e+45    6.3166718290246369e+44
          22453.0000               0.0010    6.9731460205211509e+44    1.7340763543577029e+44
          24439.0000               0.0010    5.7604280749434178e+44    1.5855759632919405e+44
          28561.0000               0.0010    3.7921259700003708e+44    1.3029469986633172e+44
          28761.0000               0.0010    4.2410828485814857e+44    1.3875256468474661e+44
          29830.0000               0.0010    4.4924407372979168e+44    1.1080747531205965e+44
          30225.0000               0.0010    5.9562862153554218e+44    3.0714935688226778e+44
          34348.0000               0.0010    2.3893179878575984e+44    1.1121100337216306e+44
          35256.0000               0.0010    3.5272086851279028e+44    1.2359021018207225e+44
          36013.0000               0.0010    8.6981874170576106e+44    2.1630582639891461e+44
          40131.5000               0.0010    2.8241278509879813e+44    1.0055550038847688e+44
          41035.0000               0.0010    1.7306304892060858e+44    8.2426310385268744e+43
          41419.0000               0.0010    1.4202629219694198e+44    7.7231045865253711e+43
          51707.0000               0.0010    1.5788451959347692e+44    7.9465512880531978e+43
