time	flux	flux_err	band
366.24	1.1211075783953615e-11	1.446636971891685e-12	R
388.26	1.3856300341329389e-11	1.5636001889153852e-12	R
410.34	1.1211075783953615e-11	1.446636971891685e-12	R
439.56	1.0038002240858356e-11	1.3754216445608185e-12	R
475.86	1.0130882732030531e-11	1.3881482643453476e-12	R
512.16	8.905274036828022e-12	1.5660982784423539e-12	R
598.68	7.685060455768751e-12	1.1740665583136402e-12	R
620.28	6.817847586210432e-12	1.0945373433989113e-12	R
641.88	4.89381207614008e-12	8.976114060222988e-13	R
670.32	5.268018462006397e-12	9.264436568747465e-13	R
707.46	6.333551237778214e-12	1.0655327757718167e-12	R
744.18	5.8297145244897305e-12	9.807691871481376e-13	R
801.78	5.618848058145418e-12	9.881412109609915e-13	R
868.32	5.618848058145418e-12	9.881412109609915e-13	R
935.34	5.124450333722525e-12	1.0539547462044453e-12	R
1002.3	2.616057517490984e-12	5.759770944907866e-13	R
1068.84	3.5127503708081986e-12	7.224735697370548e-13	R
1135.86	3.4805452818306812e-12	7.158498922361869e-13	R
1135.86	3.4805452818306812e-12	7.158498922361869e-13	R
1214.94	3.0036359127514213e-12	6.39636913843421e-13	R
1281.06	3.087786671946451e-12	6.575571723143565e-13	R
1347.12	2.3208511544792315e-12	5.76446293164057e-13	R
1413.24	3.5780572760891443e-12	7.096072483037994e-13	R
1546.74	2.452716136332391e-12	5.400142406541211e-13	R
1626.66	3.1451929121929374e-12	6.468773783833972e-13	R
1761.06	1.8777911516925582e-12	4.533408934303596e-13	R
1827.18	2.0400804230001973e-12	4.782017733251646e-13	R
1894.14	1.6204934810973103e-12	4.024934810973103e-13	R
2068.62	3.0036359127514213e-12	6.39636913843421e-13	R
2194.8	3.5452534498051215e-12	7.549766487339776e-13	R
2321.82	2.3423257258125722e-12	6.45460739825196e-13	R
2570.52	3.26322701962958e-12	6.711536616226402e-13	R
3140.28	1.966288722214657e-12	4.609047482792445e-13	R
3916.5	1.7932766279630523e-12	4.3293719216632876e-13	R
4691.1	1.0511078711801697e-12	2.8260182560329464e-13	R
6499.08	8.349246598193407e-13	2.356205053593332e-13	R
