Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            201.5000               0.0010    5.4702532853163413e-03    1.2443812043012098e-03
            377.5000               0.0010    5.2923168255960377e-03    1.3707616342058040e-03
            519.0000               0.0010    1.4154516590264066e-02    2.9726775868603120e-03
          11052.0000               0.0010    1.8133774615527781e-04    6.6807296498327822e-06
          11700.0000               0.0010    1.8301564368697310e-04    6.7425456811171864e-06
          12312.0000               0.0010    1.4404169129817747e-04    5.3066921712139478e-06
          26964.0000               0.0010    5.4763122870471729e-05    7.5658052398447372e-06
          35496.0000               0.0010    3.9308656774400087e-05    2.1722767132797937e-06
          42084.0000               0.0010    3.1804472897982725e-05    2.0505102042219047e-06
          78568.8000               0.0010    2.2042345223182574e-05    4.3425308928040106e-06
          86776.8000               0.0010    1.9633286278431770e-05    3.8752557317946291e-06
          90405.6000               0.0010    2.3468654982156490e-05    3.0261602935307519e-06
          94380.0000               0.0010    1.4459424143270652e-05    2.8684120574391416e-06
          94516.8000               0.0010    1.7158850814173648e-05    6.3215544376043791e-07
         100908.0000               0.0010    1.3755874245354727e-05    2.1538368885393834e-06
         181798.8000               0.0010    7.9889222289100315e-06    5.1506486536220037e-07
         191808.0000               0.0010    9.1725100078631793e-06    1.9430846584062481e-06
         269985.6000               0.0010    3.4553193159121876e-06    2.5459734327664817e-07
         361396.8000               0.0010    2.7446576831999922e-06    2.0223385755654342e-07
         461188.8000               0.0010    1.6691223913122463e-06    2.9209052999165734e-07
