Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            186.3000               5.0000    8.2781952276932515e-04    2.1348599414144337e-04
            196.3000               5.0000    8.8294909291270710e-04    1.5451297630832611e-04
            206.3000               5.0000    9.3311606190285773e-04    1.5469770211372417e-04
            216.3000               5.0000    7.9056150626600629e-04    1.4562681534613457e-04
            226.3000               5.0000    6.7598282691886280e-04    1.3074667411612552e-04
            236.3000               5.0000    5.7801041243141530e-04    1.2244447417683368e-04
            246.3000               5.0000    7.5498037675988917e-04    1.3907252888603624e-04
            256.3000               5.0000    1.5343896780424270e-03    1.9785152246798091e-04
            266.3000               5.0000    1.0518060531700233e-03    1.6468736457601958e-04
            276.3000               5.0000    8.2781952276932515e-04    1.4486549602455088e-04
            286.3000               5.0000    6.1085152486834468e-04    1.2377531370035219e-04
            296.3000               5.0000    7.8331359470339612e-04    1.4429170065814698e-04
            306.3000               5.0000    4.8076811906090633e-04    1.1512899174451243e-04
            316.3000               5.0000    5.0808416651367384e-04    1.1699070614798763e-04
            326.3000               5.0000    3.4192878147347509e-04    9.4478416530209832e-05
            336.3000               5.0000    2.3011008668539023e-04    8.0536906731590516e-05
            346.3000               5.0000    4.2260600121696166e-04    1.0509332111551367e-04
            356.3000               5.0000    5.7271118103908764e-04    1.2132189647335341e-04
            366.3000               5.0000    4.5074992213968185e-04    1.0794056845163811e-04
            376.3000               5.0000    6.2220810278140986e-04    1.2607646862348198e-04
            386.3000               5.0000    3.5804338872683132e-04    9.8931047191315599e-05
            396.3000               5.0000    3.3879395951568066e-04    9.6732640961108253e-05
            425.6000              25.0000    2.8179654062006516e-04    3.8931631942103752e-05
            470.9000              20.0000    2.9780751840835902e-04    4.3886539021394806e-05
            510.9000              20.0000    3.0056309749022157e-04    4.4292616173338537e-05
            555.7000              25.0000    2.5231069310943205e-04    3.7181878878822328e-05
            715.7000              20.8400    2.8440397194625972e-04    4.1911319362811843e-05
            915.6000              35.0000    1.9858006799822441e-04    2.7434851050099525e-05
            976.0000              25.0000    2.5231069310943205e-04    3.7181878878822328e-05
           1026.0000              25.0000    2.4543452615038806e-04    3.6168569439293966e-05
           1085.7000              35.0000    1.8447420805227998e-04    2.7185124718799068e-05
           1179.8000              60.0000    1.0812737284722707e-04    1.5934238977922124e-05
           1461.7000              33.4400    1.8278293832190736e-04    2.6935889993583282e-05
           3079.8000             105.4950    1.6365740244752677e-04    1.8088085091940794e-05
           9096.2000             155.6950    1.0812737284722707e-04    1.3942459105681862e-05
         123314.4000            5691.0550    1.0615382220551793e-05    1.6621118661571454e-06
