Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            125.9000              10.0000    6.1736366098003942e+47    5.6861296146072979e+46
            156.9000              10.0000    1.2318024600640791e+48    7.9417241783851276e+46
            187.8000              10.0000    1.5084852514437071e+48    8.3361978071233335e+46
            219.2000              10.0000    1.3017904087601599e+48    8.3929531719741906e+46
            272.0000              20.0000    1.3506445412694892e+48    4.9759585219049283e+46
            322.0000              20.0000    1.0728550905254865e+48    4.9406804190054196e+46
            373.2000              20.0000    9.0061891748129034e+47    4.9770042085436293e+46
            422.8000              20.0000    7.6302903469878643e+47    4.9194301279135153e+46
            514.1000              40.0000    5.7881671243547694e+47    4.7979891791912124e+46
            612.0000              40.0000    5.5788034649765812e+47    2.5691340129997364e+46
            710.0000              40.0000    4.1931563876643403e+47    2.3172239205069296e+46
            807.9000              40.0000    3.1808343911759598e+47    3.2226225078305920e+46
            902.9000              40.0000    2.9277976495592490e+47    3.2359216402809445e+46
           1080.1000              80.0000    2.1210018909753777e+47    1.7581634917078147e+46
           1351.2000             120.0000    1.8135981107070976e+47    1.5033470740609080e+46
           1633.1000             120.0000    1.6238318445200988e+47    1.1964835540349900e+46
           1910.6000             120.0000    1.6847716821246822e+47    1.0862124761702568e+46
           2182.8000             120.0000    1.8473154174645367e+47    1.3611523407245523e+46
           2536.4000             160.0000    1.4946553240414850e+47    9.6363992686577604e+45
           3239.6000             320.0000    8.7607452124107135e+46    7.2620502877210072e+45
           4126.0000             400.0000    8.3664467201337641e+46    8.4763606636246921e+45
           4878.3000             320.0000    6.3465988384388129e+46    6.4299770908107573e+45
           7519.1000             480.0000    3.5854283176258517e+46    6.2743730657107713e+45
           9971.9000             600.0000    2.3688689831261348e+46    3.9272562466751094e+45
