Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            909.4000               0.0010    2.9349913360060804e-05    5.9470993937563649e-06
           1546.6000               0.0010    2.1458868654258584e-05    6.7198786597618744e-06
           2263.7000               0.0010    2.9349913360060804e-05    5.9470993937563649e-06
           2617.9000               0.0010    2.9349913360060804e-05    5.9470993937563649e-06
           6160.3000               0.0010    6.4210614864453728e-05    5.9140163542071295e-06
          10264.3000               0.0010    5.8560776677718093e-05    5.9330117129387945e-06
          13893.1000               0.0010    6.4210614864453728e-05    5.9140163542071295e-06
          17003.5000               0.0010    7.1056993700108586e-05    6.5445911662788173e-06
          20969.3000               0.0010    8.5429296590968742e-05    7.8683292199260704e-06
          25002.4000               0.0010    7.5789113939630384e-05    1.1866740451484902e-05
          26686.4000               0.0010    1.0365895628530667e-04    1.0502077272239136e-05
          28625.2000               0.0010    5.1952545006557076e-05    1.4355019094275156e-05
          31720.0000               0.0010    7.2378041863813459e-05    6.6662642021364896e-06
          33403.1000               0.0010    7.3047747649658039e-05    7.4007410249072230e-06
          35089.6000               0.0010    6.7858902122009296e-05    6.8750396418536122e-06
          51593.8000               0.0010    4.7819697743705821e-05    1.3213071161513349e-06
          51740.6000               0.0010    4.7381284113077526e-05    8.7279553301146801e-07
          51830.5000               0.0010    4.7819697743705821e-05    8.8087141076755654e-07
          51921.2000               0.0010    4.6516478202891104e-05    8.5686521897584012e-07
          52012.8000               0.0010    4.6516478202891104e-05    8.5686521897584012e-07
          52110.4000               0.0010    4.7381284113077526e-05    8.7279553301146801e-07
          52201.2000               0.0010    4.6090012561006855e-05    8.4900943131227400e-07
          52292.7000               0.0010    4.6516478202891104e-05    1.2852978284637604e-06
          52384.3000               0.0010    4.6516478202891104e-05    8.5686521897584012e-07
          58485.8000             150.0000    5.1051302521948494e-05    4.7019988619594664e-07
          64283.3000             150.0000    4.5290469873908853e-05    4.1714065515404404e-07
          68810.6000             150.0000    4.3252062917329534e-05    3.9836623272686796e-07
          72759.1000             150.0000    3.9811342740522130e-05    3.6667602786145070e-07
          75176.6000               0.0010    3.1304503778359663e-05    8.6497542982436115e-07
          77756.5000               0.0010    3.0172189295165360e-05    5.5579228235243982e-07
          78055.4000             150.0000    3.5975498861339052e-05    3.3134659910335238e-07
          78383.8000             150.0000    3.5318871996542793e-05    3.2529884200709296e-07
          78703.4000             150.0000    3.7670971913931399e-05    3.4696248345879014e-07
          79049.0000             150.0000    3.4041353893239733e-05    3.1353246510558088e-07
         115647.3000               0.0010    1.4845909854396663e-05    2.8714536233672078e-06
         127637.9000               0.0010    1.4047751586948930e-05    3.3639990098384957e-06
         149111.7000               0.0010    1.0461809722342940e-05    1.9271366244708102e-07
         152851.0000            1350.0000    1.0568340978005703e-05    9.7338020376694955e-08
         161545.5000               0.0010    8.8635319763950484e-06    1.6327229750125554e-07
         201843.4000               0.0010    8.7017542833291321e-06    6.8925664137402415e-06
         245547.9000               0.0010    2.8814216072495187e-06    1.5923324713160184e-07
         249282.0000            1350.0000    4.0179711186360649e-06    3.7006882672759092e-08
         318402.0000            1350.0000    1.6596129117550167e-06    1.5285600243030756e-08
         334280.7000               0.0010    1.7045384613985222e-06    1.4129441872701669e-07
         406752.0000            3300.0000    1.3182773899968203e-06    1.2141783816087761e-08
         418491.4000               0.0010    1.0365894917198228e-06    1.8139950407242751e-07
         491202.0000            1350.0000    1.8880209359450704e-06    1.7389315950073313e-08
         582407.7000               0.0010    5.2433252395997963e-07    1.4487843458381131e-07
         934365.0000               0.0010    1.9391294006144972e-07    1.3752232585721695e-07
        1276351.8000               0.0010    1.3664910413167911e-07    1.3592715805552485e-07
