Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes 
26.8	31.8  -9. -9. -9. CR 15.7 100. -9. -9. -9. PROMPT yost07 1  NNN 0. 0. 0 nnn
40.6	45.6  -9. -9. -9. CR 15.6 100. -9. -9. -9. PROMPT yost07 1  NNN 0. 0. 0 nnn
55.2	60.2  -9. -9. -9. CR 15.6 100. -9. -9. -9. PROMPT yost07 1  NNN 0. 0. 0 nnn
69.6	74.6  -9. -9. -9. CR 15.6 100. -9. -9. -9. PROMPT yost07 1  NNN 0. 0. 0 nnn
83.9	88.9  -9. -9. -9. CR 15.6 100. -9. -9. -9. PROMPT yost07 1  NNN 0. 0. 0 nnn
98.3	103.3 -9. -9. -9. CR 15.6 100. -9. -9. -9. PROMPT yost07 1  NNN 0. 0. 0 nnn
112.6	117.6 -9. -9. -9. CR 15.6 100. -9. -9. -9. PROMPT yost07 1  NNN 0. 0. 0 nnn
126.8	131.8 -9. -9. -9. CR 15.6 100. -9. -9. -9. PROMPT yost07 1  NNN 0. 0. 0 nnn
140.7	145.7 -9. -9. -9. CR 15.6 100. -9. -9. -9. PROMPT yost07 1  NNN 0. 0. 0 nnn
155.2	160.2 -9. -9. -9. CR 15.6 100. -9. -9. -9. PROMPT yost07 1  NNN 0. 0. 0 nnn
169.2	189.2 -9. -9. -9. CR 16.2 100. -9. -9. -9. PROMPT yost07 1  NNN 0. 0. 0 nnn
104.       -9. -9.    -9. 97.     white    18.501    0.110 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
206.5      -9. -9.    -9. 191.    v        19.762  100.000 -9.   -9.  -9. UVOT mangano07 1 NNN 0.07 0. 2 Ext_Gal=Av 
4431.      -9. -9.    -9. 22.     uvm2     17.896  100.000 -9.   -9.  -9. UVOT mangano07 1 NNN 0.07 0. 2 Ext_Gal=Av 
4636.      -9. -9.    -9. 197.    uvw1     18.628    0.310 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
4840.      -9. -9.    -9. 197.    u        18.800    0.160 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
5045.      -9. -9.    -9. 197.    b        19.899    0.210 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
5249.      -9. -9.    -9. 197.    white    18.341    0.060 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
5454.      -9. -9.    -9. 197.    uvw2     18.424    0.230 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
5659.      -9. -9.    -9. 197.    v        19.402    0.270 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
5863.      -9. -9.    -9. 197.    uvm2     17.976    0.180 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
6068.      -9. -9.    -9. 197.    uvw1     18.458    0.250 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
