time(s)	erg/cm2/s	err
21.08164794	1.77E-11	6.40E-13
23.15505618	1.33E-11	1.06E-12
24.5231	1.21E-11	6.08E-12
27.68838951	1.21E-11	6.52E-13
29.117603	1.13E-11	1.91E-12
29.7285	9.39E-12	4.71E-12
34.63670412	8.38E-12	4.51E-13
34.63670412	8.14E-12	7.84E-13
34.6740638	8.21E-12	1.04E-12
36.6691	7.68E-12	3.85E-12
37.27041199	7.39E-12	1.78E-12
38.10636704	6.71E-12	5.90E-13
41.23146067	7.17E-12	5.09E-13
41.57902622	5.79E-12	5.09E-13
45.04868914	5.43E-12	4.78E-13
47.82621723	5.05E-12	4.45E-13
48.51835206	5.33E-12	4.69E-13
51.98801498	5.00E-12	4.40E-13
54.41797753	4.61E-12	4.82E-13
55.4576779	4.31E-12	4.15E-13
56.6566	4.70E-12	2.36E-12
58.92734082	4.23E-12	3.72E-13
61.00973783	4.13E-12	4.32E-13
62.39700375	3.79E-12	3.65E-13
65.88072122	3.20E-12	4.39E-13
67.60149813	3.66E-12	3.83E-13
69.7035	3.44E-12	1.75E-12
74.19325843	3.63E-12	4.09E-13
80.78202247	3.73E-12	4.51E-13
85.3197	3.09E-12	1.57E-12
85.93258427	2.51E-12	3.04E-13
86.96029963	2.85E-12	3.68E-13
87.37864078	2.96E-12	5.13E-13
95.99700375	2.27E-12	2.93E-13
104.3715356	2.48E-12	3.60E-13
106.0614232	2.13E-12	2.91E-13
116.470412	2.07E-12	2.83E-13
126.5318352	1.60E-12	2.81E-13
126.9634	1.87E-12	9.54E-13
136.5902622	1.54E-12	2.59E-13
146.6516854	1.60E-12	2.44E-13
154.7255	1.20E-12	6.17E-13
156.7101124	1.67E-12	2.81E-13
166.7685393	1.46E-12	2.56E-13
169.8906367	1.17E-12	1.69E-13
173.370319	1.24E-12	2.37E-13
176.8269663	1.21E-12	2.58E-13
184.1385	1.41E-12	7.22E-13
187.9280899	1.03E-12	2.11E-13
197.9865169	1.19E-12	2.27E-13
197.9889043	1.19E-12	2.52E-13
208.3925094	8.30E-13	2.23E-13
219.4868239	1.40E-12	3.56E-13
229.0717	9.77E-13	4.96E-13
240.9917603	1.06E-12	2.40E-13
249.5370787	9.43E-13	2.28E-13
251.0501873	7.30E-13	2.06E-13
254.9243446	6.91E-13	2.00E-13
261.1086142	8.15E-13	2.14E-13
266.2951311	8.36E-13	1.28E-13
271.4979196	7.93E-13	3.14E-13
284.3273232	9.94E-13	3.09E-13
285.9116105	6.24E-13	1.37E-13
288.9423	7.24E-13	3.68E-13
296.5325936	7.10E-13	3.27E-14
309.8546816	7.23E-13	1.43E-13
334.1423221	6.30E-13	1.39E-13
353.1443	8.69E-13	4.45E-13
358.5298197	6.54E-13	1.84E-13
368.5852982	5.32E-13	1.79E-13
375.4337079	5.56E-13	2.50E-14
383.059176	5.00E-13	1.35E-13
385.7836338	5.34E-13	5.76E-14
406.2981273	5.19E-13	2.79E-14
416.6435506	5.19E-13	2.87E-14
419.9029126	3.25E-13	1.08E-13
424.7267	5.59E-13	2.85E-13
437.5430712	5.31E-13	2.39E-14
447.8848821	5.10E-13	5.52E-14
469.7947566	5.22E-13	3.26E-14
480.1317614	4.79E-13	6.49E-14
492.371706	3.22E-13	1.01E-13
502.1513109	4.73E-13	2.55E-14
504.8179775	4.87E-13	1.24E-13
512.482663	4.74E-13	2.62E-14
533.258427	4.26E-13	4.81E-14
543.5852982	4.09E-13	6.35E-14
566.1662921	3.68E-13	3.55E-14
576.4909847	3.37E-13	5.34E-14
662.8853933	3.76E-13	1.69E-14
673.1969487	3.76E-13	1.73E-14
692.7790262	3.00E-13	1.35E-14
703.0859917	2.88E-13	3.21E-14
724.128839	3.17E-13	1.98E-14
734.4313454	2.90E-13	4.03E-14
754.0913858	2.80E-13	3.84E-14
754.8883895	3.24E-13	2.03E-14
764.3897365	2.70E-13	2.53E-14
784.8179775	3.13E-13	1.41E-14
795.110957	3.13E-13	1.44E-14
817.62397	2.89E-13	1.30E-14
827.9126214	2.78E-13	3.10E-14
850.4988764	3.09E-13	1.93E-14
853.3842697	2.70E-13	1.45E-14
