Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
             29.7000               2.5000    4.3274723022046214e+47    2.7900245800712698e+46
             43.5000               2.5000    1.1382412436875296e+49    2.0967179163168667e+47
             57.9000               2.5000    1.9241296034663076e+49    3.5443778155793024e+47
             94.5000               2.5000    2.0148110393220403e+49    3.7114191983182407e+47
            108.4000               2.5000    1.8039908108782497e+49    1.6615369874427873e+47
            122.9000               2.5000    1.5283904660580340e+49    4.2230990456775648e+47
            137.1000               2.5000    1.3311724444321061e+49    2.4521103319941952e+47
            151.6000               2.5000    1.1278057850852906e+49    2.0774950906306235e+47
            166.3000               2.5000    9.2946773114209549e+48    1.7121428830064549e+47
            188.1000              10.0000    7.3153366184246416e+48    1.3475348426181646e+47
            217.4000              10.0000    5.9735749051230184e+48    1.1003731939510179e+47
            246.8000              10.0000    5.0609764075398625e+48    4.6613316669883640e+46
            276.0000              10.0000    4.2484871757698295e+48    7.8260028162575021e+46
            304.9000              10.0000    3.8746663498488890e+48    7.1373993874610207e+46
            342.0000              10.0000    3.0777568712608925e+48    5.6694378365115621e+46
            371.2000              10.0000    2.6806141680868754e+48    4.9378739209554784e+46
            400.3000              10.0000    2.3563202081567603e+48    4.3405023534519239e+46
            429.6000              10.0000    2.1097660872613926e+48    3.8863328656653910e+46
            466.5000              10.0000    1.7710642065532135e+48    4.8936313897711578e+46
            495.6000              10.0000    1.5568053133222118e+48    4.3016121724140300e+46
            524.5000              10.0000    1.4198233185680958e+48    3.9231169225626417e+46
            554.1000              10.0000    1.2712597706578850e+48    3.5126206578088802e+46
           1107.6000               2.5000    3.9467016412064521e+47    1.4540186603441045e+46
           1121.5000               2.5000    3.1062348988100920e+47    3.4331377820351171e+46
           1135.8000               2.5000    3.4374334228341758e+47    3.1659932741733385e+46
           1150.3000               2.5000    3.6663531593044987e+47    3.0391525343866869e+46
           1164.1000               2.5000    2.8329198934123752e+47    2.3482941494408367e+46
           1178.3000               2.5000    3.0777567656593893e+47    2.5512469388938795e+46
           1200.6000               2.5000    3.4374334228341758e+47    9.4979798225200111e+45
           1214.7000               2.5000    3.2526272417280756e+47    2.6962024375710380e+46
           1229.1000               2.5000    3.0495397216066283e+47    3.0896029584676701e+46
           1243.7000               2.5000    3.1932601031007860e+47    2.6469911963242606e+46
           1265.8000              10.0000    2.8855878072690970e+47    1.8604072650293443e+46
           1295.3000              10.0000    2.7812132773345829e+47    2.3054329501865915e+46
           1324.6000              10.0000    2.6560380581762683e+47    2.4463015260965344e+46
           1354.0000              10.0000    2.7557149603648073e+47    1.5228644090264967e+46
           1383.3000              10.0000    2.4902003699028944e+47    1.1467796830747301e+46
           1412.4000              10.0000    2.7812132773345829e+47    1.5369553001243946e+46
           1441.3000              10.0000    2.2921038612254904e+47    1.2666634402530591e+46
           1470.2000              10.0000    2.7812132773345829e+47    2.3054329501865915e+46
           1499.4000              10.0000    2.4001273898339340e+47    1.7684792666286972e+46
           1528.5000              10.0000    2.3781228893331760e+47    1.3141993132618195e+46
           1557.7000              10.0000    2.2502682503286127e+47    1.4508015977300035e+46
           1586.8000              10.0000    2.0334537170735692e+47    1.1237280842442538e+46
           1747.3500             141.3500    1.7387385816044812e+47    4.8043123846454493e+45
           2039.2500             141.3500    1.4068062516786543e+47    2.5914329576788347e+45
           2330.5500             140.5500    1.1382411655787052e+47    3.1450766586526365e+45
           2621.7000             141.6000    9.5550791102089222e+46    5.2803320051807654e+45
           2954.0000             181.5000    7.6600972913569508e+46    4.2331263220139064e+45
           3285.7000             141.1000    6.9860917506503482e+46    4.5040999321977798e+45
           3577.1000             141.1000    6.3129781243202419e+46    4.6515743167754677e+45
           3872.5500             145.5500    6.0846315383827224e+46    4.4833223295907830e+45
           4168.9000             141.5000    5.0609760602436108e+46    2.3306656735583438e+45
           4460.9500             141.3500    4.6583732415502524e+46    3.4324163495628212e+45
           4752.7000             141.1000    4.6156650183281793e+46    2.9758292959957606e+45
           5047.7000             145.2000    3.7345156265219623e+46    4.8154625448894954e+45
           5343.6000             141.7000    4.9230504101766683e+46    4.5342971251453731e+45
           5635.2500             140.7500    3.3746930754195337e+46    3.7298487324423720e+45
           5926.2500             141.1500    2.6560379670444445e+46    2.4463014421610205e+45
           6217.3500             140.9500    2.1097659424842247e+46    3.6920159690271860e+45
           6508.6000             141.4000    1.5004940413207371e+46    2.7640122489073706e+45
           6800.6000             140.9000    2.3781228077369472e+46    2.4093653249784721e+45
           7090.9500             140.4500    2.0904234917732651e+46    3.0805619896120374e+45
           7381.5500             140.8500    2.5364965649782813e+46    3.5042996082512397e+45
           7673.3000             141.6000    1.7227976711235712e+46    3.4908617479757497e+45
           7965.6000             141.3000    1.5283903087353463e+46    3.2377089350838239e+45
           8265.6500             149.3500    1.8039906251870382e+46    3.8215346777541691e+45
           8565.5000             141.3000    2.3563200464604526e+46    3.0383514389174172e+45
           8857.6500             141.6500    1.8716915365283715e+46    3.1030049914282592e+45
           9148.8000             140.7000    1.2948941658684824e+46    2.6238115984677481e+45
           9439.9000             141.2000    1.4731069381760240e+46    3.3919541738775077e+45
           9731.5500             141.2500    1.5425323303544892e+46    2.4152321950777202e+45
          10023.7000             141.5000    1.3684668281953167e+46    2.1426877585078946e+45
          10319.6500             145.2500    1.3311723074097769e+46    3.4329541114256234e+45
          10614.9500             141.0500    1.4462197060058089e+46    3.9960528385298833e+45
          10906.1000             140.9000    1.0191409977108684e+46    3.3791888686227065e+45
          11196.9000             141.1000    1.3434894933030600e+46    2.2273192576289807e+45
          11779.6000             141.8000    6.4898441815149032e+45    2.8093627528992474e+45
          12071.8000             141.2000    1.0770460516252380e+46    3.1743875255476736e+45
          12363.1000             141.3000    2.0522689625257283e+46    2.6462934713398903e+45
