Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
            102.1000               9.0930    8.2641804239244150e-15    6.5992498020279215e-16
            123.0000               9.9820    1.0656136912928638e-14    7.0763733288088895e-16
            142.9000               9.8660    1.2811494455994073e-14    7.8586817666686587e-16
            171.5000              13.1640    1.3526947153262709e-14    2.0021257466173605e-15
            204.6000              20.0000    1.5588337292200058e-14    1.7070935809907151e-15
            244.6000              20.0000    1.3170425109541579e-14    1.6230488341432326e-15
            289.6000              25.0000    1.4561288073084086e-14    1.4953757778049364e-15
            344.6000              30.0000    1.1449849869988713e-14    1.2507201932763864e-15
            414.6000              40.0000    9.2896593952486739e-15    1.0147525711014998e-15
            504.6000              50.0000    7.1978002352481010e-15    8.4922857593284228e-16
            606.6000              51.9920    5.5616004758010490e-15    4.8355676370585002e-16
            734.6000              71.0000    4.8350368310166330e-15    4.4621399636666097e-16
            925.1000              89.5080    4.4957254999098239e-15    2.0703581056110579e-16
           1124.6000             110.0000    3.3265938804293967e-15    5.4721364637349253e-16
           1368.1000             133.4920    2.7848370170396104e-15    4.0269396025644539e-16
           1605.6000              99.0000    2.5444843409925833e-15    5.0011499708738339e-16
           5379.6000             509.0000    1.6474027238247641e-15    8.6638628431965045e-17
           6505.1000             610.5000    1.5473899764951696e-15    9.6058401715947109e-17
           7305.6000             183.0000    1.5980846481538920e-15    4.9720456248037052e-16
          11713.1000            1056.5000    1.2542952509914557e-15    1.0154635369349523e-16
          13023.1000             249.5000    1.2930037312797008e-15    1.7137057444648777e-16
          17748.1000            1308.5000    7.6207861472248386e-16    1.1447994608067118e-16
          22231.6000               8.0000    1.4859348862931453e-15    1.0929612516495238e-15
          38279.1000            3733.5000    3.5156025411512520e-16    5.4786784111772146e-17
          50045.6000            3556.0000    4.3732043470501729e-16    7.1172463943505096e-17
          80567.1000            6154.5000    8.6059686681779757e-17    5.7054155752140023e-17
          92147.1000             394.5000    5.8022943674163009e-17    8.1625945476599940e-17
         125594.6000            3247.0000    5.8398239934405174e-17    3.6564244031743740e-17
         166053.1000           14867.5000    8.4255791064220120e-17    2.1922692541517053e-17
         200503.6000           15098.0000    4.4998678148430625e-17    2.9906938757546907e-17
         254914.6000           24347.0000    3.6207601350331978e-17    1.4673310643381058e-17
         313304.6000           29557.0000    6.0478325533637918e-17    1.4683204406234274e-17
