Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
          80265.6000               0.0010    7.2102072252201471e+45    1.3281692921704162e+44
          88128.0000               0.0010    6.9494069861953572e+45    1.2801281113771899e+44
          88300.8000               0.0010    7.1441036470642904e+45    1.3159925627274545e+44
          88387.2000               0.0010    7.0786061101647146e+45    1.9558912053190531e+44
          88560.0000               0.0010    7.2102072252201471e+45    1.9922539382556242e+44
          88646.4000               0.0010    7.2102072252201471e+45    1.3281692921704162e+44
          88819.2000               0.0010    7.3442549877107358e+45    2.0292927048810975e+44
          88905.6000               0.0010    7.3442549877107358e+45    2.0292927048810975e+44
          88992.0000               0.0010    7.4807948842090368e+45    2.0670200736003026e+44
          89769.6000               0.0010    7.6198732469462168e+45    2.1054488464821846e+44
         137462.4000               0.0010    5.9971891356191804e+45    4.9712539323873664e+44
         138153.6000               0.0010    4.9882446377663684e+45    4.1349089065616082e+44
         162721.0000               0.0010    3.4829540269100001e+45    1.9247515806767588e+44
         168220.8000               0.0010    3.4510221119816926e+45    1.5892544598796992e+44
         172108.8000               0.0010    3.2355472141467219e+45    5.9600983979569401e+43
         248761.0000               0.0010    1.6670465891519637e+45    1.0747846860830186e+44
         257212.8000               0.0010    1.5486302448179888e+45    2.8526824151448791e+43
         257472.0000               0.0010    1.6366195593691856e+45    3.0147647270335714e+43
         257644.8000               0.0010    1.6366195593691856e+45    4.5221470905503551e+43
         405475.2000               0.0010    6.3965784570067117e+44    3.5348799900667505e+43
