Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
         117504.0000               0.0010    4.3761423377744114e+45    4.4336337768180464e+44
         123292.8000               0.0010    3.5734806767928563e+45    4.6078164010813170e+44
         128908.8000               0.0010    3.0275507858013176e+45    6.6923457680204718e+44
         151632.0000               0.0010    2.7611591295617559e+45    5.0862432273129953e+44
         157420.8000               0.0010    3.1123715524908306e+45    5.7332004375461912e+44
         163209.6000               0.0010    2.2340425216553243e+45    4.7325473031202835e+44
         168998.4000               0.0010    3.1411699723254556e+45    6.0755615432859316e+44
         174787.2000               0.0010    1.8927420640263348e+45    4.5325277784522447e+44
         180576.0000               0.0010    2.0002829553354002e+45    4.6058218473173800e+44
         186192.0000               0.0010    2.2755764737294352e+45    5.0301202725289412e+44
         197856.0000               0.0010    8.5721829006152249e+44    2.0527708374780037e+44
         209520.0000               0.0010    1.2390574154679076e+45    3.8801278942401802e+44
         215222.4000               0.0010    1.6035829605786678e+45    3.6923863267038079e+44
         226886.4000               0.0010    1.0211544398334950e+45    2.8215540701930104e+44
         226972.8000               0.0010    9.6625427766843909e+44    3.2928264845792074e+44
         267926.4000               0.0010    6.2099975197154597e+44    1.3155124277821287e+44
         354067.2000               0.0010    3.7418935067570006e+44    7.9267461797659980e+43
