Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            505.5000              30.0000    5.5886534233226918e-05    2.0589360692649546e-06
            835.5000              30.0000    3.9382853117356811e-05    2.1763769548357548e-06
           1157.5000              30.0000    3.5917588878496125e-05    1.9848793706104750e-06
           1614.0000              60.0000    3.0711934585423196e-05    2.5458064124109954e-06
           2346.7000              60.0000    2.5545074458511653e-05    1.8822306989084396e-06
           2976.7000              30.0000    2.2872159565823113e-05    1.6852830456628420e-06
           3299.7000              30.0000    1.6722729704208757e-05    2.6183746282909771e-06
           3760.7000              60.0000    2.0478925753538619e-05    1.6975609386519179e-06
           4489.7000              60.0000    1.8849818416526273e-05    1.7361324856411575e-06
           5237.7000              60.0000    1.5392429375770220e-05    1.7012342134043717e-06
