Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            286.9000               0.0010    1.1691192140453720e+46    5.3839931033815202e+44
            286.9000               0.0010    1.1609748131172608e+46    8.6428511795254724e+44
            286.9000               0.0010    1.2302143776687685e+46    1.2156933308560118e+45
            288.6000               0.0010    1.0892891995964403e+46    1.0939305652265944e+45
            288.6000               0.0010    9.6984871972826488e+45    1.5041086056213018e+45
            288.6000               0.0010    1.0352746913808372e+46    1.2022749704184194e+45
            288.6000               0.0010    1.0660520200637872e+46    9.4757021779128656e+44
            335.0000               0.0010    1.3730615290164537e+46    9.0944137953051602e+44
            335.0000               0.0010    1.3423284623311953e+46    6.1816511924877178e+44
            335.0000               0.0010    1.4047828585056490e+46    1.3821814827918677e+45
            387.7000               0.0010    1.5355656897730041e+46    8.9727762525656367e+44
            387.7000               0.0010    1.6661066597000453e+46    1.4348929289367841e+45
            387.8000               0.0010    1.5411992884367322e+46    4.2584911308580258e+44
            397.4000               0.0010    1.2884773800567745e+46    1.1034290780942808e+45
            397.4000               0.0010    1.2268176016469221e+46    1.3897627787010232e+45
            397.4000               0.0010    1.3177153311108259e+46    1.2213270368119994e+45
            397.4000               0.0010    1.1731360969302337e+46    1.7852428463176595e+45
            419.0000               0.0010    1.6699443561170693e+46    8.5475704981734847e+44
            419.0000               0.0010    1.6590474230947580e+46    4.5841175699530019e+44
            419.0000               0.0010    1.7304856432584315e+46    1.5842691744551707e+45
            450.3000               0.0010    1.6287663945488043e+46    6.0005973248370687e+44
            450.3000               0.0010    1.7496178493030266e+46    8.9434922348304960e+44
            450.3000               0.0010    1.9025286311674909e+46    1.7356134352801676e+45
            498.5000               0.0010    1.8529290962312386e+46    5.1198324458176831e+44
            498.6000               0.0010    1.8502584701691159e+46    9.4428776715757546e+44
            498.6000               0.0010    1.9760430479980089e+46    1.8001221562500683e+45
            508.9000               0.0010    1.7074515945849029e+46    1.8970837903470661e+45
            508.9000               0.0010    1.8262355849265614e+46    1.6624594110161012e+45
            508.9000               0.0010    1.7511445653835087e+46    1.4733796729928731e+45
            508.9000               0.0010    1.6156273636163682e+46    2.4002785983666276e+45
            529.6000               0.0010    2.0130696513777815e+46    1.2978740050810247e+45
            529.8000               0.0010    2.0886169674719139e+46    9.2902259824419970e+44
            529.8000               0.0010    2.1931887127143729e+46    1.8669119407270885e+45
            560.8000               0.0010    2.1870504540841453e+46    1.2086087803613310e+45
            560.9000               0.0010    2.1478463097687606e+46    1.0915175057523183e+45
            560.9000               0.0010    2.1520046330612502e+46    1.8333343184230029e+45
            601.1000               0.0010    2.1870504540841453e+46    1.2086087803613310e+45
            610.2000               0.0010    2.2713936239586473e+46    1.3159113060246075e+45
            610.2000               0.0010    2.4112309123390115e+46    2.0442364198399053e+45
            616.9000               0.0010    2.1870504540841453e+46    6.0430439018066551e+44
            620.4000               0.0010    2.1157970237401856e+46    2.3209327129053996e+45
            620.4000               0.0010    1.9542746625243103e+46    2.8700313098789148e+45
            620.4000               0.0010    2.0599828355809544e+46    1.7168809237460865e+45
