Tstart(s)          Tend(s)      Tmid(s)  ErrorTime(s)  Exposure(s)    Filter       Magnitude    ErrorMagnitude      ErrMag+   ErrMag-    Sigma     Telescope           ReferenceUpperL  Calib   Galactic Extiction   Host     Corrected? Notes  
           -9.0            -9.0           523.0    -9.000    30.000 ii   17.220   0.0400  -9.0000  -9.0000  -9.0000 LT guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0           779.0    -9.000    30.000 ii   17.200   0.0500  -9.0000  -9.0000  -9.0000 LT guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0          1080.0    -9.000    60.000 ii   17.260   0.0400  -9.0000  -9.0000  -9.0000 LT guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0          1439.0    -9.000    60.000 ii   17.380   0.0300  -9.0000  -9.0000  -9.0000 LT guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0          1799.0    -9.000    60.000 ii   17.500   0.0400  -9.0000  -9.0000  -9.0000 LT guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0          2155.0    -9.000    60.000 ii   17.640   0.0500  -9.0000  -9.0000  -9.0000 LT guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0          2503.0    -9.000    60.000 ii   17.750   0.0300  -9.0000  -9.0000  -9.0000 LT guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0          2850.0    -9.000    60.000 ii   17.880   0.0400  -9.0000  -9.0000  -9.0000 LT guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0          3195.0    -9.000    60.000 ii   17.980   0.0500  -9.0000  -9.0000  -9.0000 LT guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0          3540.0    -9.000    60.000 ii   18.120   0.0500  -9.0000  -9.0000  -9.0000 LT guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0          4908.0    -9.000    30.000 ii   18.560   0.0500  -9.0000  -9.0000  -9.0000 LT guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0         64063.0    -9.000   600.000 ii   21.270   0.0900  -9.0000  -9.0000  -9.0000 LT guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0        120821.0    -9.000  2000.000 ii   21.000 100.0000  -9.0000  -9.0000  -9.0000 FTN guidorzi09 1 SDSS  0.064  0.000 0 E(B-V)=0.017
           -9.0            -9.0          2890.0    -9.000  1476.000 ii   17.860   0.0200  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0          4699.0    -9.000  1414.000 ii   18.430   0.0200  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0          6006.0    -9.000   459.000 ii   18.770   0.0200  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0          6786.0    -9.000   459.000 ii   18.950   0.0200  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0         85843.0    -9.000 11522.000 ii   22.000   0.0300  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0        171989.0    -9.000  5866.000 ii   23.280 100.0000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 1 SDSS  0.035  0.000 0 E(B-V)=0.017
           -9.0            -9.0        254165.0    -9.000  5655.000 ii   23.470 100.0000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 1 SDSS  0.035  0.000 0 E(B-V)=0.017
