Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            521.3000              16.6000    1.5205474127633317e-04    2.3808091364958021e-06
            629.3000              16.5000    1.3867557202915093e-04    2.2990486615853842e-06
            739.0000              16.5000    1.3001694749833714e-04    2.2752507126113075e-06
            848.7000              16.5000    1.2189895011380671e-04    1.1227308538557867e-06
            972.3000              16.5000    1.1428782420106136e-04    2.2105225622914777e-06
           1076.0000              16.5000    1.0715192172219601e-04    1.7764302581707179e-06
           1185.7000              16.5000    9.9540533449504241e-05    1.4668835524333443e-06
           1294.6000              16.5000    9.2469809595205164e-05    1.5330212010390896e-06
           1443.2000              28.7500    8.7498370071350173e-05    1.3700126490352669e-06
           1624.6000              28.7500    7.9067855947166762e-05    1.3108353960966366e-06
           1808.7000              28.7000    7.4131017633933334e-05    8.8760350144059814e-07
           1998.7000              28.7500    6.8865223524104078e-05    9.5140825006289058e-07
           2209.5000              28.7500    6.3973477801738759e-05    1.1195132923613006e-06
           2388.4000              28.7500    5.8884360173437598e-05    8.6775202463421074e-07
           2584.5000              28.7000    5.6754455341529265e-05    9.9318294610271952e-07
           2779.8000              28.7500    5.4200084037651827e-05    8.9856222578540997e-07
           3545.3000              16.5000    5.2722981254396389e-05    1.1654318802183008e-06
           3679.2000              16.5000    5.7809599460451969e-05    1.1181368165654130e-06
           3795.0000              16.5000    6.6374301114445266e-05    1.2226598456299872e-06
           4034.3000              16.5000    8.2794209252268962e-05    1.3726131659903031e-06
           4141.5000              16.5000    8.8307982533635866e-05    1.6266932002237358e-06
           4254.6000              16.5000    9.2469809595205164e-05    1.4478533565369184e-06
           4370.4000              16.5000    9.6827777526415702e-05    1.8728153097230272e-06
           4498.3000              16.5000    1.0232929075242580e-04    1.8849752499700228e-06
           4614.9000              16.4500    1.0914402470963779e-04    1.8094565629481416e-06
           4730.7000              16.5000    1.1117316365731803e-04    1.4335197897866840e-06
           4846.5000              16.5000    1.2189895011380671e-04    2.1331886223259944e-06
           4983.9000              16.5000    1.2647362467088885e-04    1.5143247142796387e-06
           5091.0000              16.4500    1.2078137380507178e-04    2.3361189502651555e-06
           5206.8000              16.5000    1.1748974600447835e-04    1.6231808731054066e-06
           5304.4000              16.5000    1.2531410749309585e-04    1.5004413016429493e-06
           5646.5000              16.5000    1.2764387072919151e-04    2.2337227063477471e-06
           5739.9000              16.5000    1.3489627764149719e-04    2.6091254022919419e-06
           5936.8000              16.4500    1.3995872131796451e-04    2.5781349969491591e-06
           6576.2000              16.5000    1.3243414305924152e-04    2.4395271391221061e-06
           6691.1000              16.5000    1.2302686722896216e-04    2.2662387093936176e-06
           6794.8000              16.5000    1.1857686525570961e-04    1.8566266451683839e-06
           6905.4000              16.5000    1.1641259352259737e-04    2.3588392097468552e-06
           7016.8000              16.4500    1.1534531643417566e-04    2.1247393105109297e-06
           7124.0000              16.5000    1.1857686525570961e-04    2.1842666413745694e-06
           7236.3000              16.5000    1.1641259352259737e-04    2.2516192456674531e-06
           7341.7000              16.5000    1.1015392195134418e-04    2.5363878592172687e-06
           7619.1000              98.0000    1.1857686525570961e-04    1.5289866489621987e-06
           8056.2000              96.6500    1.2302686722896216e-04    1.4730551611058516e-06
           8502.1000              96.4000    1.1641259352259737e-04    1.5010794971116355e-06
           8944.4000              98.6000    1.0914402470963779e-04    1.0052536460823008e-06
           9384.2000              95.4500    1.0046157067931286e-04    1.4804564590349589e-06
           9824.8000              98.9500    9.4188951734533292e-05    1.1277660286471286e-06
          10257.7000              94.3500    9.5060471387662697e-05    1.4008629161693269e-06
          10692.3000              98.9500    9.3325422221730836e-05    1.2893383931481619e-06
          11137.3000              97.6500    8.9949750529884635e-05    8.2846784260444558e-07
          11582.2000             100.9000    8.4333468548261219e-05    1.1651099586593389e-06
          12028.9000              99.6000    8.5901344811570155e-05    1.4241251644226884e-06
          12471.3000              97.5500    8.6696180180845001e-05    1.5171525676656017e-06
          12911.1000              98.2000    7.9067855947166762e-05    1.2380112074246012e-06
          13350.0000              98.0500    7.6913037330935435e-05    1.3459510191819344e-06
          14271.9000              95.8500    7.4816943505116520e-05    1.0336343026657318e-06
          14710.8000              98.8500    7.6913037330935435e-05    1.2042719645312046e-06
          15285.3000              94.2500    7.5509216170339074e-05    2.7123158484667297e-06
          16262.5000             101.9500    7.2110741569479732e-05    6.6416449345043230e-07
          16825.8000              89.2000    7.2110741569479732e-05    9.9624674017564840e-07
          17223.3000              89.9000    6.7608291521842115e-05    7.4723447377207257e-07
          17828.9000              90.1500    6.1659494613630042e-05    7.3827643357567424e-07
          18337.0000              90.1500    5.6754455341529265e-05    6.7954622628080814e-07
          18774.2000              89.6500    5.4701591248106969e-05    6.5496637542402943e-07
          19285.6000              89.9000    5.2722981254396389e-05    6.7983526346067544e-07
          19684.0000              89.9000    5.0350056176344369e-05    6.9561175272359295e-07
          20325.0000             205.5500    5.0350056176344369e-05    5.1011528533063472e-07
          20956.6000              89.6500    4.7206299672172082e-05    6.5217915029819768e-07
          82337.8000             174.0500    2.7925434600833172e-06    2.0061815678842551e-07
          83119.7000             174.6000    2.8973431938337681e-06    1.8413007252922035e-07
          91951.5000             170.2000    2.1577441063504516e-06    1.9873558227231565e-07
          92720.5000             173.4000    2.1379617891826977e-06    1.9691356347524958e-07
         107789.5000             175.4500    1.9498443231873217e-06    2.6938095608872789e-07
         108578.3000             174.2000    1.9319680427166612e-06    3.0249942414874633e-07
