time_sec	flux	flux_err	band	source
61795.497	2.8375666241552894e-14	3.956537967226516e-15	i'	manual
61795.497	3.4895421102437646e-14	4.989020390160716e-15	z'	manual
61804.497	2.7431226164451444e-14	6.1689566842043854e-15	K	manual
61804.497	2.739403534897216e-14	4.640056932557185e-15	H	manual
61804.497	2.917461722894569e-14	3.3327441271618246e-15	J	manual
66610.497	1.2885245308836457e-14	2.1702402946620235e-15	g'	manual
66610.497	2.3601851160624796e-14	3.5064149657730095e-15	i'	manual
66610.497	3.067386088333823e-14	4.385461259879664e-15	z'	manual
66610.497	2.6853763934445777e-14	2.5080816440217983e-15	J	manual
66610.497	3.1164202081802324e-14	3.5061219650279804e-15	H	manual
66610.497	2.898980010979212e-14	4.59518530924374e-15	K	manual
