Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            134.0000               0.0010    1.8685987988533409e-02    3.3932859398263112e-03
            235.0000               0.0010    2.7542722585628985e-02    2.5367785708741580e-04
            345.0000               0.0010    5.8112033476340932e-02    9.5190339415820550e-03
            476.0000               0.0010    2.9923119598164918e-02    2.7560212442446092e-04
            625.0000               0.0010    3.8466659219209332e-02    6.5396729131202234e-03
           6802.0000               0.0010    6.7298726147831708e-04    1.2396883845319325e-05
           6986.0000               0.0010    7.4939716279719040e-04    1.7223406398046088e-04
          11798.0000               0.0010    2.9376959090258629e-04    8.1171540031230020e-06
          11982.0000               0.0010    3.1331907728393170e-04    7.6789658857705941e-05
          14623.0000               0.0010    1.7218956743101656e-04    3.9648114254961771e-05
          14623.0000               0.0010    1.9994384337544756e-04    4.4687116635410349e-05
          18108.0000               0.0010    1.3677503466612558e-04    2.3935148538656361e-05
          18108.0000               0.0010    1.4365674895394135e-04    3.4625670893871776e-05
          19912.0000               0.0010    2.1086613425715036e-04    2.9132233880124037e-05
          19912.0000               0.0010    1.0889993788694674e-04    2.5343618588962010e-05
          21722.0000               0.0010    1.2134079408425992e-04    2.6822161120679920e-05
          21722.0000               0.0010    1.1592887795220458e-04    2.4989224303198496e-05
          21867.0000               0.0010    8.8716996561933855e-05    4.9026825518271239e-06
          21867.0000               0.0010    8.9185947539235883e-05    2.4230295860292805e-05
          22091.0000               0.0010    8.8353636823561873e-05    2.4257876191852313e-05
          22091.0000               0.0010    9.4625204511064167e-05    5.2291821984258025e-06
          22091.0000               0.0010    8.7098932169604729e-05    1.0317509501895960e-05
          23067.0000               0.0010    9.0268293193908466e-05    1.0686090395022941e-05
          23600.0000               0.0010    8.2415107651619203e-05    1.4422353087214452e-05
          23600.0000               0.0010    7.2845181453922252e-05    2.1389623713291069e-05
          24025.0000               0.0010    7.5334659498373793e-05    2.0855640039285263e-05
          24025.0000               0.0010    7.8705816729445020e-05    4.3494442932068335e-06
          24025.0000               0.0010    7.6857177214268853e-05    9.1247843252261934e-06
          24967.0000               0.0010    8.0169067132383946e-05    5.1686909179472955e-06
          24967.0000               0.0010    7.1884164500398578e-05    2.0163958575807021e-05
          24967.0000               0.0010    6.4279490927713872e-05    7.6561350514842365e-06
          25871.0000               0.0010    7.2561395991449198e-05    2.0344269098380745e-05
          25871.0000               0.0010    7.3115058105439263e-05    4.7139021359788022e-06
          25871.0000               0.0010    6.7819725709644527e-05    8.5773566070430632e-06
          41466.0000               0.0010    2.3550862786065926e-05    3.2536720283670554e-06
          46414.0000               0.0010    2.5119258923376369e-05    3.2389970373093250e-06
