Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
           4924.8000               0.0010    4.6198295207480175e-04    2.3402611964338498e-05
           5097.6000               0.0010    4.4856558401689637e-04    2.1896641682493133e-05
           5356.8000               0.0010    4.2719479167580113e-04    2.0853430613615622e-05
           5788.8000               0.0010    3.9941645126634627e-04    2.5383454848412990e-05
           6307.2000               0.0010    3.6460779406399270e-04    1.8469890902535906e-05
           6998.4000               0.0010    3.3715216098130350e-04    1.7079074370489080e-05
           7344.0000               0.0010    3.0215232953933070e-04    4.7309739949075581e-05
           7516.8000               0.0010    3.1785273100217652e-04    1.2002880892376081e-05
           8208.0000               0.0010    2.9663742792251100e-04    6.5571162165270195e-06
           8812.8000               0.0010    2.7354321457940948e-04    1.5116557111499454e-05
           9072.0000               0.0010    2.9581891973844740e-04    1.4167883692023152e-05
           9158.4000               0.0010    2.8328654420806798e-04    3.6528317980974735e-05
           9331.2000               0.0010    2.7582012206895425e-04    9.3994699316629793e-06
           9676.8000               0.0010    2.6099124913917475e-04    9.8556550623078196e-06
          10195.2000               0.0010    2.4267550693333621e-04    1.0281570782455304e-05
          10886.4000               0.0010    2.2857353510750711e-04    7.7893884401944177e-06
          12182.4000               0.0010    2.1116694873337405e-04    5.6402666344949822e-06
          12787.2000               0.0010    1.9064523016638733e-04    1.3520487832198175e-05
          13046.4000               0.0010    1.8942004868840415e-04    1.4305910009748665e-05
          13305.6000               0.0010    2.0352883390760808e-04    4.8738817133901409e-06
          13651.2000               0.0010    1.8924566669184054e-04    5.7519562792930807e-06
          14169.6000               0.0010    1.7759304082968231e-04    7.6877542838719236e-06
          14860.8000               0.0010    1.7211786220904210e-04    4.4387395939001524e-06
          15379.2000               0.0010    1.7069702152994860e-04    7.7036707987621592e-06
          16156.8000               0.0010    1.6122260824962507e-04    6.5336266176915134e-06
          16588.8000               0.0010    1.6421996036776747e-04    1.3915200324497733e-05
          16848.0000               0.0010    1.4395473093753742e-04    8.3529942820384101e-06
          17107.2000               0.0010    1.4609183436618600e-04    6.7277777940734063e-06
          17452.8000               0.0010    1.5143488861707965e-04    6.1369743974353674e-06
          18057.6000               0.0010    1.4501934597961608e-04    3.6063294537015378e-06
          18662.4000               0.0010    1.3447016621289325e-04    4.3348061272293904e-06
          19267.2000               0.0010    1.3798311399567311e-04    2.9230044087634881e-06
          20044.8000               0.0010    1.2735791523496527e-04    5.0439420632356631e-06
          20390.4000               0.0010    1.1701079789089229e-04    1.3255824473598625e-05
          20649.6000               0.0010    1.2924862793014131e-04    7.9758400637861280e-06
          20908.8000               0.0010    1.2607411878509566e-04    5.8059278976790041e-06
          21254.4000               0.0010    1.2241254892257435e-04    3.8333683310402137e-06
          21772.8000               0.0010    1.1267457809382181e-04    4.6699706042468193e-06
          41040.0000               0.0010    4.6497107259315442e-05    7.1518450815354013e-06
          41299.2000               0.0010    4.8688448446425013e-05    7.0404639659676202e-06
          41558.4000               0.0010    7.1027403303999690e-05    8.5044255270017070e-06
          42163.2000               0.0010    5.7839687283052850e-05    1.2252634111096125e-05
          42422.4000               0.0010    6.2549801633318239e-05    1.1522099596546296e-06
          42422.4000               0.0010    6.2090611452532117e-05    1.2981577977882697e-05
          42681.6000               0.0010    5.7680090910685362e-05    1.5140718630127081e-05
          42768.0000               0.0010    6.1408139072962448e-05    1.1311797575075765e-06
          43459.2000               0.0010    6.3244962121923655e-05    1.7649981635162624e-05
          43718.4000               0.0010    5.7680090910685362e-05    1.0359439062718530e-05
          43891.2000               0.0010    5.9734596775939105e-05    1.6505279523827112e-06
          43977.6000               0.0010    5.8752443879929499e-05    8.6039673402216090e-06
          44236.8000               0.0010    5.9734596775939105e-05    1.1003519682551409e-06
          44323.2000               0.0010    5.1787617958361413e-05    1.4214051745014103e-05
          44582.4000               0.0010    4.4815261466482339e-05    6.9344322406467580e-06
          44841.6000               0.0010    5.8374871328205714e-05    6.5055946399298784e-06
          45100.8000               0.0010    5.3731125248824500e-05    4.0580321241321371e-06
          45360.0000               0.0010    5.7046097010855399e-05    1.5762419564649755e-06
          45619.2000               0.0010    5.7573938055518129e-05    1.5908267439357707e-06
          45619.2000               0.0010    4.4281868152467170e-05    3.2220236088857842e-06
          45878.4000               0.0010    5.1171239335011826e-05    4.0060886333431231e-06
          46137.6000               0.0010    4.9914409225216759e-05    3.5399110798203923e-06
          46396.8000               0.0010    5.0052518554023920e-05    3.8724062632791007e-06
          46656.0000               0.0010    5.6523095242050006e-05    1.0411939220876197e-06
          46742.4000               0.0010    4.6497107259315442e-05    4.1540657060415204e-06
          47001.6000               0.0010    4.1516997135568451e-05    3.6326640155658108e-06
          47001.6000               0.0010    5.5491432471773414e-05    1.5332849865207742e-06
          47260.8000               0.0010    4.1250188173877738e-05    3.4953402167267831e-06
          47520.0000               0.0010    4.5816924634617451e-05    3.8401042937548665e-06
          47779.2000               0.0010    5.3979136858099471e-05    1.4914987132828835e-06
          47779.2000               0.0010    4.6070819211312099e-05    3.9462498268175720e-06
          48038.4000               0.0010    4.5522482190967136e-05    3.7315703518728142e-06
          48470.4000               0.0010    4.7230868857626539e-05    2.9580842572088720e-06
          48729.6000               0.0010    4.5943696538913546e-05    3.4275724715411103e-06
          48988.8000               0.0010    4.1631871471406237e-05    3.5276822020355700e-06
          49248.0000               0.0010    4.2288855751765252e-05    4.2844424329069374e-06
          49507.2000               0.0010    4.3353676673070512e-05    3.5138587442698052e-06
          49680.0000               0.0010    4.5522482190967136e-05    3.3122927842466553e-06
          49939.2000               0.0010    4.6668724872755862e-05    3.7395632226507059e-06
          50198.4000               0.0010    4.3593921156410489e-05    4.0954516082957862e-06
          50457.6000               0.0010    3.7759473795238281e-05    3.1647763049871404e-06
          50716.8000               0.0010    3.5927411904321710e-05    3.3752177588600037e-06
          50976.0000               0.0010    3.8214302186709219e-05    3.9068308178798350e-06
          51235.2000               0.0010    4.2956207770335089e-05    3.0860021871416643e-06
          51580.8000               0.0010    4.0646760070169784e-05    4.2678237688749358e-06
          51753.6000               0.0010    4.0646760070169784e-05    5.2786241351874185e-06
          52012.8000               0.0010    3.1581003974676092e-05    5.5265642811127596e-06
          52272.0000               0.0010    4.0759226527022902e-05    7.9961554769359566e-06
          52531.2000               0.0010    3.9176527050402473e-05    6.4588419481344868e-06
          52790.4000               0.0010    3.9032460931312881e-05    4.9970814290477950e-06
          53136.0000               0.0010    3.7516812555447953e-05    5.0103680371939819e-06
          53395.2000               0.0010    3.8214302186709219e-05    6.1242212820819027e-06
          53654.4000               0.0010    3.7968717992484443e-05    6.6793621816735562e-06
          53913.6000               0.0010    4.4691603239878361e-05    5.8450734303095072e-06
          54172.8000               0.0010    4.1901149186060665e-05    5.0556025278857490e-06
          54432.0000               0.0010    3.5729417269250277e-05    4.6071214534196516e-06
          54691.2000               0.0010    3.5499802186726503e-05    3.7927971400066028e-06
          54950.4000               0.0010    3.4437049342369812e-05    3.2986403317985330e-06
          55209.6000               0.0010    3.9648424431133269e-05    4.0899655410426981e-06
          55468.8000               0.0010    3.9539022997506408e-05    3.3503444064477720e-06
          55728.0000               0.0010    3.5077281899760875e-05    4.5553393803885818e-06
          55987.2000               0.0010    3.7172856345390062e-05    4.2454459005087933e-06
          56246.4000               0.0010    3.2168138683537813e-05    2.9924231008696287e-06
          56505.6000               0.0010    3.8924759118564004e-05    3.4058477616492622e-06
          56764.8000               0.0010    3.4437049342369812e-05    3.5523818957830355e-06
          57024.0000               0.0010    3.2675777679733512e-05    4.8453761925131049e-06
          57283.2000               0.0010    3.8567894776635969e-05    4.6889495208536976e-06
          57542.4000               0.0010    3.3684176376307756e-05    5.7084663885235690e-06
          57801.6000               0.0010    3.8461474835842192e-05    8.5372631599259267e-06
          58060.8000               0.0010    3.4437049342369812e-05    6.9778930095738183e-06
          58320.0000               0.0010    3.7413292853528763e-05    9.5106611344330194e-06
          58579.2000               0.0010    4.1250188173877738e-05    1.2461647729199837e-05
         126144.0000               0.0010    1.4329331410220855e-05    6.5989011695177922e-07
         126489.6000               0.0010    1.5283609316647582e-05    7.0383623985513153e-07
         127267.2000               0.0010    1.4461919083299524e-05    6.6599600511846928e-07
         127612.8000               0.0010    1.4595733575030671e-05    6.7215839037360573e-07
         128304.0000               0.0010    1.5711799478180478e-05    1.0129771765134621e-06
         128649.6000               0.0010    1.5711799478180478e-05    7.2355512608104433e-07
         129340.8000               0.0010    1.4067791632974479e-05    9.0698407066231664e-07
         142732.8000               0.0010    1.3262516178736489e-05    1.1238010837459281e-06
         299462.4000               0.0010    3.9466255111360288e-06    2.1809859194832784e-07
