Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
          68999.0000             200.0000    1.3322227600683119e-04    2.3313428307038174e-05
          71280.0000             360.0000    1.2150015959514209e-04    7.8334050013522142e-06
          72334.1000             440.0000    1.2840349613813597e-04    5.9131996921485066e-06
          73897.9000             400.0000    1.3079069539824638e-04    6.0231342839200268e-06
          74157.1000            1080.0000    1.2840349613813597e-04    8.2784795690079108e-06
          74822.4000             400.0000    1.3950084853879820e-04    6.4242516710499582e-06
          75721.0000             320.0000    1.4209436298686479e-04    6.5436874286199217e-06
          76533.1000             400.0000    1.5295963897619404e-04    5.6352415148082281e-06
          77431.7000             400.0000    1.3950084853879820e-04    6.4242516710499582e-06
          78235.2000             320.0000    1.5580337102378425e-04    7.1750105977053253e-06
          79246.1000             440.0000    1.7562116379491943e-04    4.8525922249173829e-06
          80213.8000             280.0000    1.5580337102378425e-04    7.1750105977053253e-06
          81112.3000             440.0000    1.6926877473523704e-04    6.2360922981596870e-06
          81881.3000             240.0000    1.6016840478144326e-04    7.3760278367082220e-06
          85821.1000             480.0000    1.6016840478144326e-04    5.9008222693665786e-06
          86901.1000             480.0000    1.5869997199818855e-04    4.3850424036154500e-06
          87894.7000             320.0000    1.6465573062803625e-04    6.0661414677541236e-06
          88948.8000             440.0000    1.5580337102378425e-04    5.7400084781642606e-06
          89925.1000             400.0000    1.5295963897619404e-04    5.6352415148082281e-06
          90979.2000             480.0000    1.3445496656805189e-04    4.9535041697788090e-06
          92059.2000             480.0000    1.3569906307477463e-04    6.2491729752853655e-06
          93139.2000             480.0000    1.3322227600683119e-04    4.9080901699027744e-06
          94193.3000             440.0000    1.3950084853879820e-04    5.1394013368399671e-06
          95281.9000             520.0000    1.3822189705291841e-04    5.0922830214667385e-06
          96405.1000             480.0000    1.3079069539824638e-04    4.8185074271360221e-06
          97485.1000             480.0000    1.3322227600683119e-04    4.9080901699027744e-06
          98608.3000             520.0000    1.3950084853879820e-04    5.1394013368399671e-06
          99792.0000             520.0000    1.2840349613813597e-04    5.9131996921485066e-06
         100958.4000             520.0000    1.2840349613813597e-04    5.9131996921485066e-06
         102176.6000             480.0000    1.0878696173097719e-04    6.0117898465195857e-06
         103014.7000             240.0000    1.0485203105062451e-04    1.0622952147174597e-05
         104483.5000             240.0000    1.1496796602612559e-04    1.0588941294577664e-05
         253160.6000            1600.0000    3.4719770059707959e-05    3.1978090909248417e-06
         256106.9000             920.0000    3.7720447885551724e-05    3.8215999141184265e-06
         258266.9000            1080.0000    3.6692460945186521e-05    2.3656504488364225e-06
         259554.2000            1360.0000    3.5041028141488358e-05    3.2273980545811033e-06
         332113.0000            2920.0000    2.6337638869023021e-05    2.6683648811734754e-06
         339508.8000            3000.0000    2.4921652619979526e-05    2.7544429184406332e-06
         347751.4000            3720.0000    2.1705851988850485e-05    2.3990194876353618e-06
         357937.9000            5200.0000    2.0164006871923334e-05    2.0428910908966649e-06
         422098.6000            6200.0000    2.0350582133151674e-05    1.8743579361007000e-06
         429045.1000            1080.0000    1.7562115776914811e-05    1.6175306861397216e-06
         440665.9000            6320.0000    2.0350582133151674e-05    2.0617937297107698e-06
         526003.2000            7520.0000    1.3569905841877844e-05    1.8747518282606430e-06
