Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
          10966.8000              57.5000    2.1461179354425133e+45    9.8832386164320218e+43
          11150.8000              57.5000    2.1659757205035627e+45    9.9746870987875429e+43
          11340.0000              57.5000    2.1659757205035627e+45    5.9848122592725259e+43
          11529.2000              57.5000    2.1461179354425133e+45    5.9299431698592125e+43
          11728.8000              57.5000    2.1069468680206596e+45    5.8217095076367224e+43
          11917.2000              57.5000    2.0307365415170923e+45    5.6111325874874658e+43
          12106.4000              57.5000    2.0684907531639134e+45    5.7154513324134395e+43
          12295.6000              57.5000    2.0307365415170923e+45    5.6111325874874658e+43
          12490.8000              57.5000    2.0495267156687999e+45    5.6630517588578890e+43
          12674.9000              57.5000    2.0121186367200540e+45    5.5596894139483914e+43
          12864.1000              57.5000    1.9393383399808187e+45    5.3585900165566212e+43
          13054.2000              57.5000    1.9215583789445633e+45    5.3094621672590189e+43
          13245.1000              57.5000    1.9393383399808187e+45    5.3585900165566212e+43
          13436.1000              57.5000    1.9753933321698427e+45    5.4582136444755350e+43
          13618.4000              57.5000    1.9215583789445633e+45    5.3094621672590189e+43
          13811.0000              57.5000    1.9215583789445633e+45    5.3094621672590189e+43
          14010.6000              57.5000    1.9753933321698427e+45    5.4582136444755350e+43
          14194.7000              57.5000    1.9936714219026922e+45    5.5087178742661652e+43
          14383.9000              57.5000    1.9572828169734370e+45    5.4081724402537272e+43
          14573.1000              57.5000    1.9753933321698427e+45    5.4582136444755350e+43
          14770.9000              57.5000    1.9393383399808187e+45    5.3585900165566212e+43
          14962.8000              57.5000    1.8691905776741032e+45    5.1647645808235925e+43
          15155.4000              57.5000    1.7686975848135635e+45    4.8870921720567391e+43
          15349.0000              57.5000    1.7364152152385125e+45    4.7978926859488279e+43
          15550.3000              57.5000    1.7364152152385125e+45    4.7978926859488279e+43
          15736.9000              57.5000    1.6582636556696306e+45    4.5819519404632915e+43
          15929.6000              57.5000    1.6130713666787245e+45    4.4570810277300314e+43
          16122.2000              57.5000    1.6582636556696306e+45    4.5819519404632915e+43
          16321.8000              57.5000    1.6279969324916006e+45    4.4983218913315455e+43
          16515.4000              57.5000    1.6430606028666542e+45    4.5399443519514193e+43
          16703.7000              57.5000    1.6430606028666542e+45    4.5399443519514193e+43
          16892.9000              57.5000    1.6279969324916006e+45    2.9988812608876977e+43
          17090.8000              57.5000    1.6130713666787245e+45    4.4570810277300314e+43
          17276.5000              57.5000    1.5982826392777703e+45    4.4162182626443301e+43
          17464.9000              57.5000    1.5547249995282317e+45    4.2958640528116337e+43
          17654.1000              57.5000    1.5691106930447811e+45    4.3356131940882320e+43
          17856.3000              57.5000    1.4847508468327731e+45    4.1025183181758684e+43
          18045.5000              57.5000    1.4310459582420734e+45    3.9541262228361476e+43
          18234.7000              57.5000    1.4179260498413462e+45    3.9178745751865841e+43
          18423.9000              57.5000    1.4576510893751410e+45    4.0276389189654096e+43
          18624.4000              57.5000    1.3920459824040766e+45    3.8463653041438959e+43
          18806.7000              57.5000    1.4049264254855879e+45    3.8819552846452353e+43
          18995.0000              57.5000    1.3666382794393041e+45    3.7761612244101804e+43
          19184.3000              57.5000    1.3541088641959047e+45    3.7415411696974811e+43
          19382.1000              57.5000    1.3792836279363041e+45    3.8111016145499292e+43
          19567.9000              57.5000    1.3666382794393041e+45    3.7761612244101804e+43
          19757.1000              57.5000    1.3416943193236336e+45    3.7072385135589418e+43
          19946.3000              57.5000    1.3172056377960020e+45    3.6395737839718921e+43
          20142.4000              57.5000    1.3920459824040766e+45    3.8463653041438959e+43
          20326.5000              57.5000    1.4049264254855879e+45    3.8819552846452353e+43
          20519.1000              57.5000    1.3792836279363041e+45    3.8111016145499292e+43
          20716.1000              57.5000    1.3792836279363041e+45    3.8111016145499292e+43
          30119.0000             337.5000    9.1971565421949178e+44    1.6941788929311344e+43
          38769.4000             344.0000    7.7206448867949874e+44    2.1332930803692430e+43
         104472.3000             337.5000    1.8691905135399479e+44    1.2051116941766857e+43
         113128.7000             344.0000    1.7364151556600384e+44    1.2794380056873110e+43
         129155.0000             344.0000    1.3293935460714824e+44    1.4693000880132983e+43
         192389.5000             863.5000    9.2822564666979486e+43    7.6943469545480753e+42
         272840.8000             861.0000    5.1481780654806457e+43    9.4832947287280196e+42
