time_sec	flux	flux_err	band	logF	logT	mag	mag_err
18006.0	3.4198095634613003e-13	1.3050056082309199e-14	V	-12.465998077523002	4.255417245808497	19.4	0.04
19822.0	2.9241653221204543e-13	1.115866855726088e-14	V	-12.533998077523004	4.297147471801269	19.57	0.04
21037.0	2.5704071610799153e-13	9.808720919685112e-15	V	-12.589998077523003	4.322983806948398	19.71	0.04
23273.0	2.5003564299169255e-13	1.1780030538437597e-14	V	-12.601998077523001	4.366852369512264	19.74	0.05
25250.0	2.0417469827832626e-13	9.619365271753988e-15	V	-12.689998077523002	4.402261382454681	19.96	0.05
33050.0	2.205641626878037e-13	5.3530213934966306e-14	J	-12.656465050423849	4.519171463821659	18.19	0.26
33050.0	1.4797617532049427e-13	4.978982318776609e-14	H	-12.829808201900606	4.519171463821659	17.86	0.36
10261.0	3.3271198585317265e-13	9.203726781107587e-15	Rc	-12.477931553516115	4.011189687609991	19.07	0.03
15123.0	2.2185460436540235e-13	8.178705548352526e-15	Rc	-12.653931553516115	4.179637952157813	19.51	0.04
7056.0	6.141174449640808e-13	8.4843460447313e-14	R	-12.211748565630323	3.848558572123763	18.42	0.15
9756.0	3.2527556085362085e-13	2.9958986301473e-14	R	-12.487748565630323	3.989271791641693	19.11	0.1
14544.0	2.2503570708156205e-13	2.4871865496834207e-14	R	-12.647748565630323	4.162683865877892	19.51	0.12
18220.0	1.5284506971837387e-13	2.1116326744269796e-14	R	-12.815748565630322	4.260548372636979	19.93	0.15
47371.0	1.1919318761141454e-13	7.6846687954536e-15	R	-12.923748565630323	4.675512552764644	20.2	0.07
107892.0	3.927068226311653e-14	4.340667824406654e-15	Rc	-13.405931553516115	5.032989243712932	21.39	0.12
184928.0	1.2533386903837085e-14	3.232271887975456e-15	Rc	-13.901931553516114	5.267002672786289	22.63	0.28
368.0	6.3387251719319185e-12	8.197730459891581e-13	v	-11.197998077523003	2.5658478186735176	16.23	0.14
445.0	1.2937672421290679e-11	1.169475065038888e-12	u	-10.88814384928665	2.6483600109809315	15.87	0.09
419.0	1.9794113393243708e-18	2.9398750888415833e-19	uvw1	-17.703463946149473	2.622214022966295	16.15	0.15
394.0	1.7410031967298553e-18	5.253444990164301e-19	uvm2	-17.759200431455408	2.595496221825574	17.27	0.32
519.0	9.134305054518566e-19	2.6863244953277476e-19	uvw2	-18.039324488537883	2.7151673578484576	17.72	0.31
22838.0	3.599576719872919e-13	2.6522661428056918e-14	R	-12.443748565630322	4.358658068619549	19.0	0.08
24184.0	2.885701693803096e-13	4.784093066144647e-14	R	-12.539748565630322	4.383528134169761	19.24	0.18
25444.0	2.9393508938010116e-13	2.1657937763663784e-14	R	-12.531748565630323	4.4055853869044945	19.22	0.08
35986.0	1.1072646482415883e-13	9.178455862945356e-15	R	-12.955748565630323	4.556133575620083	20.28	0.09
