Time	Mag	MagErr	Band	GCN
1200	>16.5	?	R	14632
6142	21.0	0.1	g'	14364
6142	19.7	0.1	r'	14364
6142	19.1	0.1	i'	14364
6142	18.8	0.1	z'	14364
6142	18.0	0.1	J	14364
6142	17.8	0.1	H	14364
6142	>17.0	?	K	14364
230.5	16.8	0.05	white	14370
3804	20.29	0.22	white	14370
8225	21.99	0.35	white	14370
139.5	15.75	0.15	v	14370
4300.5	19.61	0.35	v	14370
4790.5	>20.84	?	b	14370
3092.5	>20.55	?	u	14370
4681.5	>19.82	?	uvw1	14370
4505	>19.75	?	uvm2	14370
12923.5	>21.56	?	uvw2	14370
51390	>20.5	?	R	14372
9526	18.8	0.1	I	14374
9526	17.8	0.1	J	14374
9526	>16.1	?	K	14374
15784	19.6	0.1	I	14374
15784	18.6	0.2	J	14374
15784	16.8	0.2	K	14374
20969	20.0	0.1	I	14374
20969	18.6	0.2	J	14374
20969	>17.2	?	K	14374
189133	>21.5	?	I	14374
189133	>19.6	?	J	14374
