time_sec	flux	flux_err	band	source
6495.0	8.60982573868209e-14	3.1719770238665317e-14	R	manual
7215.0	3.336932568141415e-14	1.562939087292207e-14	I	manual
649.0	1.9869001885677476e-12	5.989442246335547e-13	v	manual
319.0	5.192442203124761e-12	1.2250116377933177e-12	u	manual
2841.0	3.040166746184234e-13	4.370410326139216e-14	g	manual
2841.0	2.4275030369260784e-13	2.2470234423289275e-14	r	manual
2841.0	1.7691139494644706e-13	2.046476279457262e-14	i	manual
2841.0	1.3571498699359993e-13	2.236602479025226e-14	z	manual
2841.0	4.5494671489441663e-14	1.4164164522877112e-14	J	manual
569.397378981113	7.439027582442827e-13	2.275468695413719e-13	b	uvot
741.775599002838	7.079872034496241e-13	2.2174056261987863e-13	b	uvot
5342.28134995699	1.6492798874873146e-13	5.024689086805108e-14	b	uvot
10784.6664899588	8.937640438722648e-14	3.7081676917255855e-14	b	uvot
29597.1972000003	1.745607141126057e-13	8.51588124374657e-14	b	uvot
429.007269978523	1.4998119641701552e-12	9.791859184193026e-14	u	uvot
717.095478951931	6.848719472683703e-13	1.8808570887840417e-13	u	uvot
5137.21245998144	9.053639797624839e-14	3.2775679848173087e-14	u	uvot
6559.20699995756	1.0965713852142714e-13	3.65305594327514e-14	u	uvot
21921.3958399892	5.235537817788272e-14	2.4103994503907594e-14	u	uvot
643.571548998356	1.5773948663433867e-12	4.69132854823215e-13	v	uvot
