time_sec	flux	flux_err	band	logF	logT	mag	mag_err	source
43560.0	4.4678393092348145e-14	1.2345096229604276e-14	R	-13.643748565630323	4.6390878710837375	22.0	0.3	manual
121823.0	3.1210092692393e-14	3.644481935619009e-15	i	-13.735742145551177	5.085729290185951	22.2	0.1	manual
120095.0	2.9764091758295643e-14	4.9919946159649205e-15	z	-13.6974127767605	5.079524926490232	21.9	0.1	manual
13392.0	1.5349617046271112e-13	7.06875987878223e-15	R	-13.107748565630322	4.126845440649185	20.66	0.05	manual
69036.0	1.1364955357361791e-13	1.2804990536286957e-14	V	-13.315905772074569	4.839075620073124	21.56	0.1	manual
70055.0	8.0032085424095e-14	3.0285302922103376e-15	Rc	-13.383808207610707	4.8454391374078885	21.33	0.04	manual
73.0	2.721837814384319e-12	2.5201262227214323e-13	r	-11.874699011738771	1.863322860120456	17.79	0.1	manual
73.0	2.0243940794518282e-12	2.3639364758870157e-13	i	-11.923742145551175	1.863322860120456	17.67	0.1	manual
103.0	1.935807835562767e-12	1.7923478257116e-13	r	-12.022699011738773	2.012837224705172	18.16	0.1	manual
103.0	1.699397826646581e-12	1.9844300821808275e-13	i	-11.999742145551178	2.012837224705172	17.86	0.1	manual
158.0	4.45313753230283e-12	7.953836281902764e-13	g	-11.79880908903396	2.198657086954422	17.91	0.15	manual
158.0	6.712159119843673e-12	6.214730400026844e-13	r	-11.48269901173877	2.198657086954422	16.81	0.1	manual
158.0	3.893095510248503e-12	4.5460666844473457e-13	i	-11.639742145551178	2.198657086954422	16.96	0.1	manual
203.0	5.1128859847371705e-12	9.13222593185993e-13	g	-11.738809089033962	2.307496037913213	17.76	0.15	manual
203.0	7.92249991892944e-12	7.335374536163816e-13	r	-11.410699011738773	2.307496037913213	16.63	0.1	manual
203.0	4.7238386859308e-12	5.5161466283787e-13	i	-11.555742145551177	2.307496037913213	16.75	0.1	manual
248.0	4.3317771716445785e-12	7.737072161597404e-13	g	-11.81080908903396	2.3944516808262164	17.94	0.15	manual
248.0	6.4100621956468674e-12	5.935021456147663e-13	r	-11.502699011738772	2.3944516808262164	16.86	0.1	manual
248.0	4.3081920849376655e-12	5.03078551655793e-13	i	-11.595742145551178	2.3944516808262164	16.85	0.1	manual
293.0	4.535927540224216e-12	8.101709138738518e-13	g	-11.790809089033962	2.4668676203541096	17.89	0.15	manual
293.0	4.313822223000944e-12	3.9941308945339406e-13	r	-11.67469901173877	2.4668676203541096	17.29	0.1	manual
293.0	4.229558717522531e-12	4.938963332655477e-13	i	-11.603742145551175	2.4668676203541096	16.87	0.1	manual
338.0	5.1128859847371705e-12	9.13222593185993e-13	g	-11.738809089033962	2.5289167002776547	17.76	0.15	manual
338.0	5.53174616469529e-12	5.12179619719212e-13	r	-11.566699011738772	2.5289167002776547	17.02	0.1	manual
338.0	3.7178773489606625e-12	4.341459979206269e-13	i	-11.659742145551178	2.5289167002776547	17.01	0.1	manual
383.0	3.3780502705257165e-12	6.033601838904924e-13	g	-11.918809089033962	2.583198773968623	18.21	0.15	manual
383.0	4.235086093985075e-12	3.921229789861266e-13	r	-11.682699011738771	2.583198773968623	17.31	0.1	manual
383.0	3.583398095202431e-12	4.1844251328609216e-13	i	-11.675742145551178	2.583198773968623	17.05	0.1	manual
428.0	3.842962160633285e-12	6.863990083732683e-13	g	-11.86280908903396	2.631443769013172	18.07	0.15	manual
428.0	3.588081040069772e-12	3.3221733751152333e-13	r	-11.75469901173877	2.631443769013172	17.49	0.1	manual
428.0	3.2381358028671786e-12	3.7812535691401476e-13	i	-11.719742145551177	2.631443769013172	17.16	0.1	manual
473.0	3.807729671769595e-12	6.801060644389533e-13	g	-11.86680908903396	2.674861140737812	18.08	0.15	manual
473.0	3.3640484609405185e-12	3.114743536928767e-13	r	-11.78269901173877	2.674861140737812	17.56	0.1	manual
473.0	2.872731645308989e-12	3.354561836902682e-13	i	-11.771742145551176	2.674861140737812	17.29	0.1	manual
518.0	3.080818462608622e-12	5.50271027743905e-13	g	-11.95880908903396	2.714329759745233	18.31	0.15	manual
518.0	3.2423675435320077e-12	3.002080222037113e-13	r	-11.798699011738773	2.714329759745233	17.6	0.1	manual
518.0	2.411543268244927e-12	2.816020434384807e-13	i	-11.847742145551177	2.714329759745233	17.48	0.1	manual
563.0	3.603015315863557e-12	6.43541631842375e-13	g	-11.89080908903396	2.7505083948513462	18.14	0.15	manual
563.0	2.4595873085258512e-12	2.277310734875996e-13	r	-11.91869901173877	2.7505083948513462	17.9	0.1	manual
563.0	2.043125567243312e-12	2.385809710790919e-13	i	-11.919742145551178	2.7505083948513462	17.66	0.1	manual
608.0	2.3370397984707868e-12	4.174232618347882e-13	g	-12.078809089033962	2.783903579272735	18.61	0.15	manual
608.0	2.243170285717799e-12	2.0769320747884764e-13	r	-11.958699011738773	2.783903579272735	18.0	0.1	manual
608.0	2.3894341066681842e-12	2.7902030038592775e-13	i	-11.851742145551176	2.783903579272735	17.49	0.1	manual
653.0	1.990042004999458e-12	1.8425627767430747e-13	r	-12.01069901173877	2.814913181275074	18.13	0.1	manual
653.0	1.715122161135505e-12	2.0027917876583906e-13	i	-11.995742145551178	2.814913181275074	17.85	0.1	manual
698.0	1.5953730206280958e-12	1.477142158529609e-13	r	-12.106699011738772	2.843855422623161	18.37	0.1	manual
698.0	1.4938089546758122e-12	1.7443587253135096e-13	i	-12.055742145551177	2.843855422623161	18.0	0.1	manual
743.0	1.376772692488239e-12	1.2747419948132498e-13	r	-12.170699011738773	2.8709888137605755	18.53	0.1	manual
743.0	1.4665438685178114e-12	1.7125205904654995e-13	i	-12.063742145551178	2.8709888137605755	18.02	0.1	manual
788.0	1.4820479105390784e-12	1.3722154137695696e-13	r	-12.13869901173877	2.8965262174895554	18.45	0.1	manual
788.0	1.4134975448952457e-12	1.6505770486443117e-13	i	-12.079742145551176	2.8965262174895554	18.06	0.1	manual
833.0	1.5376668207880054e-12	1.4237124844094e-13	r	-12.12269901173877	2.9206450014067875	18.41	0.1	manual
833.0	1.092182110020995e-12	1.2753688396920212e-13	i	-12.191742145551178	2.9206450014067875	18.34	0.1	manual
878.0	1.1664395681161995e-12	1.0799963639620571e-13	r	-12.242699011738772	2.9434945159061026	18.71	0.1	manual
922.0	1.0253266448966292e-12	9.493411220181291e-14	r	-12.298699011738773	2.964730921053629	18.85	0.1	manual
922.0	1.2311048960960656e-12	1.4375925117863572e-13	i	-12.139742145551178	2.964730921053629	18.21	0.1	manual
967.0	1.175696048386434e-12	1.3728901904759065e-13	i	-12.159742145551178	2.9854264740830017	18.26	0.1	manual
