date	time	exp	mag	mag_err	band	source
2021-02-09	18:41:28	3000.0	21.09	0.08	R	manual
2021-02-09	19:28:42	2580.0	21.4	0.2	R	manual
2021-02-11	18:18:20	3000.0	21.8	0.2	R	manual
2021-02-11	21:32:47	3600.0	21.6	0.3	R	manual
2021-02-06	12:33:10	2280.0	19.94	0.09	R	manual
2021-02-06	16:50:17	2820.0	20.1	0.4	R	manual
2021-02-06	15:11:11	1200.0	20.07	0.13	R	manual
2021-02-06	15:40:29	1200.0	19.79	0.15	I	manual
2021-02-07	13:43:58	3600.0	20.61	0.04	R	manual
2021-02-08	15:22:01	3540.0	20.92	0.05	R	manual
2021-02-12	16:11:09	2400.0	21.66	0.09	R	manual
2021-02-15	15:40:01	4200.0	21.86	0.15	r	manual
2021-02-16	14:39:53	3720.0	21.8	0.4	R	manual
2021-02-16	16:57:06	1920.0	22.18	0.14	r	manual
2021-02-06	16:29:25	n/a	20.19	0.03	R	manual
2021-02-04	07:07:00	n/a	17.11	0.02	r	manual
2021-02-05	05:09:00	n/a	19.26	0.06	r	manual
2021-02-05	06:07:00	n/a	19.7	0.07	g	manual
2021-02-07	08:20:00	1600.0	20.7	0.1	r	manual
