time_sec	flux	flux_err	band	source
2255.0	2.472791559947686e-12	4.821603957623711e-14	r	manual
81575.0	3.4134025589945973e-13	1.898897741377595e-14	r	manual
85055.0	2.72914462940646e-13	2.7285584159563327e-14	g	manual
194625.0	1.5144377769632657e-13	1.2553638658209564e-14	R	manual
204106.0	1.343542578690367e-13	1.6086829790175135e-14	R	manual
205864.0	1.1761377784665304e-13	1.767563993900237e-14	I	manual
208800.0	1.202960685974997e-13	3.3239032115807038e-15	R	manual
210052.0	1.306927313447198e-13	4.814898159312439e-14	R	manual
265835.0	9.061237418368624e-14	8.365790546193265e-15	r	manual
285273.0	8.170552678098798e-14	3.010142847698058e-15	R	manual
377556.0	6.141174449640808e-14	2.828115348243768e-15	R	manual
475923.0	5.251113849905774e-14	3.8691636711704346e-15	R	manual
478757.0	3.94685738868527e-14	7.270379989888087e-15	R	manual
647335.0	2.7305581792926962e-14	5.029874047353861e-15	R	manual
659002.0	3.2828529856172864e-14	9.07085801660803e-15	R	manual
726104.0	3.1063574902917264e-14	2.574954882236205e-15	R	manual
983436.0	3.1130601328882783e-14	4.305454244833641e-15	r	manual
1066228.0	2.7305581792926962e-14	1.005974809470772e-14	R	manual
1074461.0	2.3183954176539283e-14	2.993121881718073e-15	r	manual
