time	flux	flux_err	band
3087.0	2.989882601471039e-12	4.567720964427719e-13	B
2950.0	3.0301496193692864e-12	3.9099962877935877e-13	V
3308.0	2.713089203526766e-12	2.6140757259814337e-13	V
3471.0	2.1951493486786565e-12	2.296899667526482e-13	V
3633.0	2.155083357686925e-12	1.896239757609242e-13	V
3795.0	2.341337780821784e-12	1.663136823404125e-13	V
3957.0	2.1750240984813627e-12	1.5449982055583857e-13	V
4120.0	1.9118951572149124e-12	1.520920785194861e-13	V
4272.0	1.859790706333432e-12	1.4794714713829472e-13	V
4424.0	1.7436691070920748e-12	1.387096241899417e-13	V
4577.0	1.5186723052084222e-12	1.4632487585019578e-13	V
4729.0	1.4637404451338013e-12	1.5315882465112007e-13	V
4881.0	1.2866608100686728e-12	1.346300555196876e-13	V
5044.0	1.5047490338244485e-12	1.32401604466222e-13	V
5216.0	1.298566135963574e-12	1.2511753060648677e-13	V
5408.0	1.4107955240722275e-12	1.1222938810865354e-13	V
5600.0	1.5047490338244485e-12	1.32401604466222e-13	V
5813.0	1.120634718193211e-12	1.2645689064963687e-13	V
6025.0	1.1001808294629649e-12	1.3309710777933968e-13	V
6247.0	1.2174862725599927e-12	1.2739196156946609e-13	V
6529.0	1.347299265881202e-12	1.4097497456033957e-13	V
611.0	1.3984511109832019e-11	2.552460936143142e-13	R
690.0	1.2292700152414004e-11	3.350102064305933e-13	R
768.0	1.141950524435721e-11	3.1121322100222973e-13	R
846.0	1.0511078711801696e-11	2.8645607599544737e-13	R
924.0	9.945973283147633e-12	2.71055384205897e-13	R
1003.0	8.662580596297555e-12	2.360793705049099e-13	R
1081.0	7.900367400617533e-12	2.1530694484878168e-13	R
1159.0	6.944600836379508e-12	2.511929927936376e-13	R
1237.0	7.073710605409571e-12	1.9277825219572924e-13	R
1315.0	6.755341183827349e-12	2.443472863722385e-13	R
1393.0	6.104460505580166e-12	2.7474598109043544e-13	R
1471.0	4.9847948355115234e-12	2.2435272476007068e-13	R
1549.0	5.171866288866092e-12	1.8707145335455823e-13	R
1628.0	4.804489939276882e-12	1.7378309209245613e-13	R
1706.0	4.673554250095951e-12	2.1034459088534158e-13	R
1784.0	4.2232548385118355e-12	1.9007777885387997e-13	R
1862.0	4.5882522716240155e-12	2.0650536942707323e-13	R
1940.0	3.7123360973668835e-12	1.9958572655867072e-13	R
2018.0	4.341574805131651e-12	1.9540305457346858e-13	R
2096.0	3.781353578340337e-12	2.0329630225119267e-13	R
2175.0	3.678301195449652e-12	2.2966574456601523e-13	R
2253.0	3.5452534498051215e-12	2.2135851034492847e-13	R
2331.0	3.1742950238986513e-12	2.2548164497398366e-13	R
2409.0	3.1451929121929374e-12	1.9637953326826975e-13	R
2487.0	3.087786671946451e-12	2.1933664416110597e-13	R
2566.0	2.976098413181251e-12	1.8582161211010736e-13	R
2644.0	2.7646953895944943e-12	2.1993270221427263e-13	R
2722.0	3.1742950238986513e-12	2.2548164497398366e-13	R
2800.0	2.407949021656243e-12	2.1187341328929584e-13	R
2878.0	2.0400804230001973e-12	1.9656282240489707e-13	R
3077.0	2.5214321628274833e-12	2.4294131586194163e-13	R
3251.0	2.5683090866187403e-12	2.2598336080617294e-13	R
3414.0	2.9217784953657328e-12	2.8151489569534813e-13	R
3576.0	2.0400804230001973e-12	1.4491428370521613e-13	R
3738.0	1.8605754589339734e-12	1.3216339751665523e-13	R
3901.0	2.0972359243329557e-12	1.3094720211829884e-13	R
4063.0	1.5618786496750328e-12	1.2424811545122868e-13	R
4215.0	1.7284120614173111e-12	1.079185803200008e-13	R
4368.0	1.5618786496750328e-12	1.1094588389768851e-13	R
4520.0	1.5909161417445816e-12	1.1300852187824066e-13	R
4672.0	1.3478677688847964e-12	1.072234582348845e-13	R
4824.0	1.3355104429023995e-12	1.0624042766099661e-13	R
4977.0	1.1108292023354958e-12	1.0702897824966003e-13	R
5149.0	1.1631809697741078e-12	1.0234731720760495e-13	R
5341.0	1.776835769015373e-12	2.1495711934034026e-13	R
5534.0	9.854788051992684e-13	1.5820878067153973e-13	R
5736.0	9.15476684914175e-13	9.579111755987711e-14	R
5948.0	1.060833652566507e-12	9.334186267233342e-14	R
6160.0	9.586217718486279e-13	9.236371221887425e-14	R
6433.0	8.047246196732525e-13	8.42025492475263e-14	R
6715.0	1.0130882732030532e-12	1.060047289855587e-13	R
7027.0	9.854788051992684e-13	1.0311580582793167e-13	R
7407.0	8.905274036828023e-13	1.0049066362104742e-13	R
7729.0	8.987673522972456e-13	7.14973277695134e-14	R
3367.0	1.779778006624709e-12	1.5660117293572356e-13	I
3529.0	1.7962460897617904e-12	1.275938499881875e-13	I
3691.0	1.6686522397736029e-12	1.3274200026901852e-13	I
3854.0	1.8296407978572423e-12	1.14239099464736e-13	I
4016.0	1.4940524214486964e-12	1.0612794183568343e-13	I
