time	flux	flux_err	band
33.2	7.614603398007859e-10	7.967558117974136e-11	R
38.2	6.392154865842227e-10	7.733068076968092e-11	R
43.2	4.760442110751452e-10	6.899465232333803e-11	R
41.1	5.938097009459242e-10	7.662307205931496e-11	R
46.1	4.630706847184427e-10	7.43413739671704e-11	R
50.9	3.712336097366883e-10	1.3427882127773172e-11	R
78.4	1.7932766279630485e-10	6.4864566545733684e-12	R
109.8	9.76443881206193e-11	3.531892855962769e-12	R
152.2	5.6188480581454175e-11	2.032392203716771e-12	R
204.7	3.480545281830682e-11	1.2589472116479216e-12	R
266.2	2.3639989989080052e-11	8.550815194245903e-13	R
343.7	1.5475592601440008e-11	5.597672943917096e-13	R
430.0	1.0130882732030531e-11	3.6644391996860046e-13	R
538.2	8.662580596297555e-12	3.1333399810413165e-13	R
664.5	7.339175758385668e-12	2.65465152976097e-13	R
817.2	5.8297145244897305e-12	2.623803749805622e-13	R
1002.5	4.184535805420469e-12	1.88335135302688e-13	R
1214.1	3.323894939460193e-12	1.495999155615417e-13	R
1427.1	2.7646953895944943e-12	1.2443178992410966e-13	R
1643.9	2.616057517490984e-12	1.406466781706668e-13	R
1853.7	2.4302294996320944e-12	1.3065603643280969e-13	R
2064.2	2.2369037021982826e-12	1.20262292781542e-13	R
2273.4	1.930399908417633e-12	1.2053029611205974e-13	R
53.0	3.4170181710251836e-10	1.837085965389803e-11	R
107.3	1.0224622635806247e-10	5.4970473686451134e-12	R
146.9	5.993041544600075e-11	3.2220292549044473e-12	R
196.7	3.7123360973668836e-11	1.995857265586775e-12	R
328.9	1.7125658843902338e-11	9.207240329292326e-13	R
410.9	1.110829202335498e-11	5.972133115532836e-13	R
506.0	9.411249526465652e-12	5.059754896376306e-13	R
620.2	7.1391628437808665e-12	3.8382165995351724e-13	R
759.7	5.7233102428115205e-12	3.5735200530171057e-13	R
928.8	4.5882522716240155e-12	2.864812635579791e-13	R
1118.4	3.9232617877832155e-12	2.449605923335638e-13	R
1328.7	3.0594776735786647e-12	1.9102764579332584e-13	R
1538.1	2.5447626873802217e-12	1.5888987504992717e-13	R
1755.1	2.5920733580069397e-12	1.8412433635069182e-13	R
1968.7	2.2369037021982826e-12	1.5889535239247715e-13	R
2182.4	2.058957054741495e-12	1.4625515906322516e-13	R
2084.8	1.9482616788526694e-12	5.3095539557688206e-14	R
2113.4	2.0400804230001973e-12	5.559785524502045e-14	R
2141.9	1.9844825677551805e-12	5.408265933754759e-14	R
2209.8	1.912701895678262e-12	5.212643674429666e-14	R
2238.4	1.8435176005953003e-12	5.024097263225179e-14	R
2266.8	1.8605754589339734e-12	5.070584662840023e-14	R
202.5	6.160944383197926e-11	2.228473737386841e-12	R
204.8	5.993041544600075e-11	2.16774164130293e-12	R
207.2	5.77626738046977e-11	2.0893323096059015e-12	R
209.5	5.6188480581454175e-11	2.032392203716771e-12	R
211.9	5.4156088377737404e-11	1.9588785933293096e-12	R
214.2	5.4156088377737404e-11	1.9588785933293096e-12	R
216.6	5.36595823750981e-11	1.940919486437178e-12	R
218.9	5.316762836685218e-11	1.923125029626927e-12	R
221.3	5.2680184620063966e-11	1.905493713377103e-12	R
223.6	4.984794835511523e-11	1.8030489623463107e-12	R
226.0	5.2197209784408094e-11	1.8880240420064765e-12	R
228.3	4.848945337341593e-11	1.7539108724564166e-12	R
230.7	4.848945337341593e-11	1.7539108724564166e-12	R
233.0	4.804489939276892e-11	1.7378309209245516e-12	R
235.3	4.630706847184427e-11	1.6749718797381689e-12	R
237.7	4.7167981151452985e-11	1.7061119319342068e-12	R
240.0	4.673554250095951e-11	1.6904702037230328e-12	R
242.4	4.422290707099831e-11	1.599585726944345e-12	R
244.7	4.546186921951868e-11	1.6444001975492648e-12	R
247.1	4.3415748051316506e-11	1.5703899971117306e-12	R
249.4	4.546186921951868e-11	1.6444001975492648e-12	R
251.8	4.146171750558191e-11	1.4997108044040089e-12	R
254.1	4.0331770596579556e-11	1.4588395214522373e-12	R
256.5	4.1081594194650194e-11	1.4859613731042428e-12	R
258.8	3.923261787783215e-11	1.4190820944287803e-12	R
261.1	3.9962006701177817e-11	1.4454648003269542e-12	R
263.5	3.9962006701177817e-11	1.4454648003269542e-12	R
265.8	3.923261787783215e-11	1.4190820944287803e-12	R
268.2	3.7123360973668836e-11	1.6708264756176184e-12	R
270.5	3.7123360973668836e-11	1.3427882127773934e-12	R
272.9	3.8163420122163795e-11	1.3804081676671989e-12	R
275.2	3.746685920354179e-11	1.3552128791352624e-12	R
277.6	3.887293107512724e-11	1.4060718715854499e-12	R
279.9	3.678301195449652e-11	1.6555082464145282e-12	R
282.3	3.611164632440646e-11	1.625291815570093e-12	R
284.6	3.545253449805122e-11	1.595626896743156e-12	R
286.9	3.417018171025183e-11	1.5379115139560959e-12	R
289.3	3.293421287484568e-11	1.4822837529163668e-12	R
291.6	3.174295023898651e-11	1.4286681023070571e-12	R
294.0	3.26322701962958e-11	1.4686940937850704e-12	R
296.3	3.233309574486204e-11	1.4552290253975268e-12	R
298.7	3.145192912192931e-11	1.415569994415098e-12	R
301.0	3.145192912192931e-11	1.415569994415098e-12	R
303.4	3.087786671946451e-11	1.3897329302178953e-12	R
305.7	3.145192912192931e-11	1.415569994415098e-12	R
308.1	3.0594776735786653e-11	1.3769917821293263e-12	R
311.6	2.8160949144338737e-11	1.0186090262264448e-12	R
315.1	2.976098413181257e-11	1.339464933229994e-12	R
317.4	2.8421519198582576e-11	1.2791790804703422e-12	R
319.8	2.5920733580069396e-11	1.1666251868662277e-12	R
322.1	2.6160575174909892e-11	1.1774198368145386e-12	R
