Time		Flux(muJy)	FluxErr(muJy)	Band	Telescope
61622.8		36	34	B	SSO40
127632		8.5	1.1	B	SSO40
145517		5.97	0.8	B	SSO40
202023		4.6	1.2	B	dP
222586		3.5	1.6	B	SSO40
62486.8		29.5	3.7	BM	MSO50
63264.4		29.9	7.9	BM	MSO50
64214.8		30.1	2.5	BM	MSO50
64646.8		29.6	2.5	BM	MSO50
64992.4		28.5	2.6	BM	MSO50
121066		12.6	2.4	BM	MSO50
380612		3	1.9	BM	MSO50
62486.8		41.9	4.2	RM	MSO50
63264.4		42.4	4.4	RM	MSO50
64214.8		40.8	5.4	RM	MSO50
64646.8		41.5	3.5	RM	MSO50
121066		19.1	1.5	RM	MSO50
380612		5.3	2.8	RM	MSO50
78384.4		37.2	6.2	R	Wise40
575876		1.5	1.1	R	SSO23
130656		18.2	0.64	I	SSO40
148714		15.39	0.63	I	SSO40
202973		8.53	0.5	I	dP
225524		4.9	5.4	I	SSO40
1.65855e6	0.345	0.011	F555W	HST
2.64006e6	0.17	0.013	F555W	HST
5.06366e6	0.047	0.011	F555W	HST
2.01824e6	0.693	0.01	F702W	HST
2.29351e6	0.504	0.01	F702W	HST
2.46674e6	0.459	0.009	F702W	HST
4.97139e6	0.091	0.009	F702W	HST
1.8317e6	1.194	0.02	F814W	HST
2.28193e6	0.837	0.02	F814W	HST
