Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            118.6000              10.0000    8.7690088971589222e+44    5.6132063499991330e+43
            138.6000              10.0000    7.6727404945699981e+44    4.5298542841725615e+43
            163.6000              15.0000    6.3701624635560770e+44    3.2767958024467189e+43
            195.8000              17.2240    4.3186748359145441e+44    2.4382973866262420e+43
            249.5000              18.5000    3.6555312849427770e+44    1.7777067445622399e+43
            312.5000              25.5000    3.2881415448236919e+44    1.9821469465694740e+43
            376.0000              33.0000    3.0799984925828447e+44    1.9091553142438867e+43
            453.5000              39.5000    2.1035386762195144e+44    1.2709545884881584e+43
            551.5000              53.5000    1.9397711728929780e+44    9.2009659291139079e+42
            692.5000              67.5000    1.6910268372242098e+44    9.2047855196345602e+42
            769.0000               4.0000    1.3859593695163405e+44    1.8471183484855719e+43
           4545.5000              49.5000    3.9314294864197116e+43    1.8847203377972397e+42
           6235.5000             325.5000    3.1575518383199243e+43    5.3423869154920136e+42
          10682.0000             903.0000    1.5680159811357141e+43    6.8599316225882418e+41
          16824.5000            1309.5000    1.1059881719766514e+43    1.1622828224972835e+42
          22200.5000             899.5000    6.6214099804798547e+42    4.6775833567808037e+41
          28445.5000             449.5000    3.5723209876476265e+42    9.7473043490580043e+41
          37482.5000            3701.5000    3.2579954579218003e+42    4.4335708863350188e+41
          49104.5000            3749.5000    2.8064058277846045e+42    3.8578070807554487e+41
          63173.5000            6245.5000    2.6263371271713684e+42    3.7493662332214342e+41
          75606.5000            6180.5000    1.8730547448102058e+42    4.8286870776474903e+41
          93724.0000            8759.0000    8.9485046095801611e+41    3.2707891115550019e+41
