#tstart R eR
#(min) (mag) (mag)
48.1 17.33 0.09
63.1 16.46 0.03 
48.7 17.23 0.07
63.7 16.37 0.03 
49.3 17.14 0.07
64.3 16.56 0.04 
49.9 17.30 0.08
64.9 16.49 0.03 
50.5 17.05 0.06
65.5 16.47 0.03 
51.1 17.22 0.07
66.1 16.61 0.04 
51.7 17.08 0.06
66.7 16.56 0.04 
52.3 16.88 0.05
67.3 16.59 0.04 
52.9 16.77 0.05
67.9 16.65 0.04 
53.5 16.83 0.05
68.5 16.64 0.04 
54.1 16.84 0.05
69.2 16.57 0.04 
54.7 16.63 0.04
69.8 16.63 0.04 
55.3 16.59 0.04
70.4 16.60 0.04 
55.9 16.57 0.04
71.0 16.66 0.04 
56.5 16.54 0.04
71.6 16.63 0.04 
57.1 16.46 0.03
72.2 16.72 0.04 
57.7 16.47 0.03
72.8 16.68 0.04 
58.3 16.41 0.03
73.4 16.66 0.04 
58.9 16.37 0.03
74.0 16.75 0.04 
59.5 16.37 0.03
74.6 16.75 0.04 
60.1 16.41 0.03
75.2 16.69 0.04 
60.7 16.40 0.03
75.8 16.75 0.04 
61.3 16.42 0.03
76.4 16.78 0.04 
61.9 16.36 0.03
77.0 16.76 0.04 
62.5 16.39 0.03
77.6 16.80 0.04 
78.2 16.69 0.04
93.2 16.71 0.04
78.8 16.73 0.04
93.8 16.71 0.04
79.4 16.70 0.04
94.4 16.75 0.04
80.0 16.73 0.04
95.0 16.74 0.04
80.6 16.68 0.04
95.6 16.73 0.04
81.2 16.84 0.04
96.2 16.70 0.04
81.8 16.75 0.04
96.8 16.74 0.04
82.4 16.76 0.04
97.4 16.81 0.04
83.0 16.82 0.04
98.0 16.76 0.04
83.6 16.69 0.04
98.6 16.74 0.04
84.2 16.79 0.05
99.2 16.80 0.04
84.8 16.75 0.05
99.9 16.87 0.04
85.4 16.78 0.04
100.5 16.79 0.04
86.0 16.78 0.04
101.1 16.97 0.05
86.6 16.79 0.04
101.7 16.87 0.04
87.2 16.79 0.04
102.3 16.67 0.04
87.8 16.72 0.04
102.9 16.81 0.04
88.4 16.77 0.04
103.5 16.99 0.05
89.0 16.75 0.04
104.1 16.84 0.04
89.6 16.69 0.04
104.7 16.84 0.04
90.2 16.76 0.04
105.3 16.94 0.04
90.8 16.72 0.04
105.9 17.03 0.05
91.4 16.73 0.04
106.5 16.96 0.04
92.0 16.67 0.04
107.1 16.96 0.05
92.6 16.70 0.04
107.7 16.93 0.04
