Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
             49.6000               0.0010    4.6549647962525215e+47    1.8435738913739074e+47
             86.2000               0.0010    4.1118531895160348e+47    5.8641859141601539e+46
             93.7000               0.0010    3.1771608211652013e+47    1.1878701265194616e+47
             96.2000               0.0010    4.3752170271248339e+47    5.9438121533191763e+46
            106.2000               0.0010    3.9334967876687485e+47    5.6171933422718566e+46
            116.2000               0.0010    3.5051483141004722e+47    5.2576418904432576e+46
            126.2000               0.0010    3.2076634718095438e+47    5.0444409843461108e+46
            136.2000               0.0010    3.5051483141004722e+47    5.2576418904432576e+46
            146.2000               0.0010    3.1234430968594221e+47    4.9152320358817697e+46
            156.2000               0.0010    3.4741966647782784e+47    5.2124659507372833e+46
            166.2000               0.0010    3.6640787519398140e+47    5.4894447110402186e+46
            176.2000               0.0010    3.8987662668308242e+47    5.5690600367690210e+46
            186.3000               0.0010    4.8213338078086690e+47    1.2720642553866361e+47
            192.8000               0.0010    4.3475321318562417e+47    9.1898173302489086e+46
            196.3000               0.0010    5.1316898621403256e+47    9.7305182701006533e+46
            206.3000               0.0010    5.4135580972140594e+47    9.8286930536678362e+46
            216.3000               0.0010    4.6112131843004331e+47    9.1248290184668186e+46
            226.3000               0.0010    3.9629482383948953e+47    8.1761457577968801e+46
            236.3000               0.0010    3.4058192741266276e+47    7.5933785333143628e+46
            246.3000               0.0010    4.4102499181093758e+47    8.7321042349115185e+46
            256.3000               0.0010    8.7596106919439915e+47    1.3089912532010219e+47
            266.3000               0.0010    6.0785221367730740e+47    1.0540502675077676e+47
            276.3000               0.0010    4.8213338078086690e+47    9.1498828496059288e+46
            286.3000               0.0010    3.5928906470208932e+47    7.7125759348920181e+46
            292.8000               0.0010    3.2965768059280228e+47    6.9785285848445999e+46
            296.3000               0.0010    4.5703009701251269e+47    9.0448950748661601e+46
            306.3000               0.0010    2.8497922281874688e+47    7.0710060711785880e+46
            316.3000               0.0010    3.0063227137127666e+47    7.2063939274345551e+46
            326.3000               0.0010    2.0493115870539545e+47    5.7853949477438213e+46
            336.3000               0.0010    1.3969484918161178e+47    4.9054904250001264e+46
            346.3000               0.0010    2.5155189709898424e+47    6.4577559572507629e+46
            356.3000               0.0010    3.3756017148821644e+47    7.5266927914943546e+46
            366.3000               0.0010    2.6774440075163089e+47    6.6468342759391794e+46
            376.3000               0.0010    3.6575039124401536e+47    7.8497400322042766e+46
            386.3000               0.0010    2.1426932224770317e+47    6.0472470974152015e+46
            396.3000               0.0010    2.0311294143348668e+47    5.9061047439915410e+46
            398.7000               0.0010    2.3433739428900482e+47    8.3398741712364014e+46
            425.6000               0.0010    1.6995329712906517e+47    2.7554311138866891e+46
            470.9000               0.0010    1.7928831876787276e+47    3.0368672323029953e+46
            510.9000               0.0010    1.8089326385672192e+47    3.0635488649004873e+46
            555.7000               0.0010    1.5271608910448362e+47    2.5944576505454789e+46
            593.1000               0.0010    2.2075797217500625e+47    8.1330244883690485e+46
            681.2000               0.0010    2.2697143125697350e+47    4.0902150393032244e+46
            715.7000               0.0010    1.7147467739207071e+47    2.9069062300642923e+46
            763.3000               0.0010    1.8436819120082127e+47    7.7393196138498893e+46
            915.6000               0.0010    1.2113063452404366e+47    1.9774104128066044e+46
            958.4000               0.0010    2.0697428723844411e+47    7.2439540166486398e+46
            976.0000               0.0010    1.5271608910448362e+47    2.5944576505454789e+46
           1026.0000               0.0010    1.4868720356542177e+47    2.5272636867184114e+46
           1061.4000               0.0010    1.3935597466104041e+47    1.7292233437924236e+46
           1085.7000               0.0010    1.1279524496091063e+47    1.9270801102950779e+46
           1127.5000               0.0010    1.6203244825602030e+47    6.6552374170829890e+46
           1179.8000               0.0010    6.7267794444719178e+46    1.1604644950073890e+46
           1461.7000               0.0010    1.1179448810249660e+47    1.9103002734987868e+46
           1490.6000               0.0010    1.8099809118879013e+47    6.1163917258431110e+46
           1672.7000               0.0010    8.3315305243719403e+46    1.5310722686238000e+46
           1685.6000               0.0010    1.5700605226028485e+47    5.6397089712877361e+46
           1854.6000               0.0010    1.3473560999358095e+47    5.5355850259319244e+46
           2049.6000               0.0010    1.2471433990503062e+47    5.9730400748680281e+46
           2278.1000               0.0010    1.3598418193993936e+47    4.1065045618490357e+46
           2942.2000               0.0010    1.1307557159295768e+47    3.9275236568513443e+46
           2959.8000               0.0010    1.0373286938525276e+47    1.1464980747652013e+46
           3035.0000               0.0010    1.1255520718554387e+47    2.1215888514907132e+46
           3079.8000               0.0010    1.0045593286422493e+47    1.4355100142621578e+46
           3332.1000               0.0010    1.1841272950792493e+47    2.0070032650873446e+46
           3606.4000               0.0010    1.1624824148783785e+47    3.6168825485097156e+46
           3628.6000               0.0010    1.1973071944798709e+47    1.7966965974974342e+46
           3925.0000               0.0010    7.5772006731697274e+46    1.5244258725073920e+46
           4221.0000               0.0010    9.6486286245163628e+46    1.5891774979568265e+46
           4269.6000               0.0010    9.7290669235378064e+46    1.0264498381237738e+46
           4295.2000               0.0010    9.3997518940367089e+46    1.2120488358792430e+46
           4517.2000               0.0010    9.7111349830789281e+46    1.5093711795695612e+46
           4740.9000               0.0010    8.5189249052569675e+46    2.5836363620720597e+46
           4933.7000               0.0010    9.4897504195580420e+46    1.0017803535935683e+46
           4961.3000               0.0010    1.0282691140099178e+47    1.6144846104359374e+46
           5257.8000               0.0010    1.1265912964472903e+47    1.6170739677242360e+46
           5524.8000               0.0010    9.2222393696853640e+46    1.7089554224962193e+46
           5597.7000               0.0010    8.8717887113123310e+46    1.0035474374668715e+46
           5626.4000               0.0010    7.9417532510428215e+46    1.0240475377731340e+46
           5721.0000               0.0010    1.0908001563863173e+47    2.9237268495431780e+46
           5915.2000               0.0010    8.9292542720753274e+46    1.7478858488379821e+46
           6261.8000               0.0010    9.1459914361583173e+46    9.6631959536557089e+45
           6414.1000               0.0010    9.7560224453948204e+46    1.0151253777871025e+46
           6433.0000               0.0010    7.8997689514580797e+46    1.0444730583317864e+46
           6924.8000               0.0010    1.0503179587566535e+47    1.0315094354011416e+46
           6957.0000               0.0010    7.4664883032179899e+46    1.0315335095359493e+46
           7109.4000               0.0010    8.6935666907763770e+46    8.2275873956932865e+45
           7590.8000               0.0010    9.6664451448618957e+46    1.0199959819712770e+46
           7801.9000               0.0010    7.8761937214415302e+46    4.4976304801035013e+45
           7804.9000               0.0010    8.2711441488771330e+46    7.3088631106939061e+45
           8116.4000               0.0010    7.2223077274400905e+46    1.3670125774961662e+46
           8241.7000               0.0010    7.8544610322612758e+46    4.6299047442004942e+45
           8255.8000               0.0010    8.8391151203398505e+46    9.3463766928429587e+45
           8288.8000               0.0010    7.8183730613528356e+46    1.0081383077242879e+46
           8500.3000               0.0010    7.6122315316856684e+46    8.1321802190295248e+45
           8551.9000               0.0010    6.9852634246657199e+46    9.3231360626866493e+45
           8708.3000               0.0010    7.3302095312549646e+46    4.5234196905308964e+45
           8918.8000               0.0010    7.4661926028049349e+46    8.4752016527584180e+45
           9096.2000               0.0010    6.7267794444719178e+46    1.0635069959289964e+46
           9180.0000               0.0010    7.7738255285975466e+46    1.0416737382377228e+46
           9195.2000               0.0010    7.1692345457212477e+46    7.1623483380769256e+45
           9439.2000               0.0010    7.3030922905540079e+46    8.2717985354643679e+45
           9582.9000               0.0010    8.8146848601922634e+46    9.3211443885875661e+45
           9618.1000               0.0010    6.5030394435482087e+46    1.0781137521310294e+46
           9867.7000               0.0010    7.0513194255433449e+46    1.1783262332163886e+46
          10188.8000               0.0010    6.9928914802155927e+46    6.8948810757446053e+45
          10246.9000               0.0010    6.5616881791797015e+46    8.4788884642193056e+45
          10906.7000               0.0010    6.4298728977890222e+46    6.3105977636751531e+45
          10910.9000               0.0010    7.4455637943924567e+46    8.4522615948600741e+45
          10947.0000               0.0010    7.1964181272397159e+46    9.9422193478563564e+45
          11576.9000               0.0010    7.1758539150342997e+46    8.6982311328122126e+45
          11601.9000               0.0010    6.2948935155146914e+46    5.8097536870600171e+45
          12240.9000               0.0010    5.9121791779770760e+46    8.6036014600303973e+45
          12297.7000               0.0010    5.7455179709893164e+46    5.2097661196158304e+45
          12594.3000               0.0010    5.8440831637036005e+46    7.5356395309137391e+45
          12904.9000               0.0010    6.8083079056426329e+46    8.7924250702893551e+45
          12993.4000               0.0010    5.4713889257528837e+46    5.1065935726409557e+45
          13688.6000               0.0010    5.3073482670112311e+46    4.9581226330341309e+45
          13920.0000               0.0010    5.3912315756890447e+46    4.1449771568409562e+45
          14535.2000               0.0010    5.0962601169372539e+46    9.1374246650811632e+45
          14898.6000               0.0010    4.7512292525197119e+46    3.9020231996675812e+45
          15229.3000               0.0010    4.3086615935848226e+46    4.7257037839045955e+45
          15924.1000               0.0010    4.6729935980695299e+46    4.7535410938143928e+45
          15936.6000               0.0010    4.8396949244829679e+46    3.9717452485210456e+45
          16346.0000               0.0010    4.5826467991885177e+46    4.6006434463759432e+45
          16484.3000               0.0010    4.0431177070801957e+46    3.6121336578645329e+45
          16558.6000               0.0010    4.6293112989962289e+46    2.8140772426163919e+45
          16619.0000               0.0010    4.8352305459648293e+46    4.5300089444371217e+45
          16661.4000               0.0010    4.2397864779577073e+46    4.0956866752717121e+45
          16753.0000               0.0010    4.5031497122438085e+46    2.8203369097014039e+45
