Table 1. Broad band observations of GRB 060526, times given are the midpoint of the observations. Data have not been corrected for Galactic
extinction. All data except the Keck/LRIS g? and the HST F775W data points (in AB magnitudes) are in Vega magnitudes.

?t [d] 			exp [s] 		instrument 		filter 			mag 		error
0.0250277 		509.94 			UVOT 			uvw2 			> 21.0 		· · ·
0.4692036 		6180.78 		UVOT 			uvw2 			> 22.7 		· · ·
1.8554459 		2306.75 		UVOT 			uvw2 			> 22.1 		· · ·
3.0522168 		2212.79 		UVOT 			uvw2 			> 22.1 		· · ·
3.9406911 		1778.93 		UVOT 			uvw2 			> 21.9 		· · ·
0.0238351 		471.09 			UVOT 			uvm2 			> 20.6 		· · ·
0.8961627 		3319.91 		UVOT 			uvm2 			> 22.0 		· · ·
1.8577054 		2306.9 			UVOT 			uvm2 			> 21.8 		· · ·
3.0550826 		2212.9 			UVOT 			uvm2 			> 21.7 		· · ·
3.9434308 		1775.78 		UVOT 			uvm2 			> 21.6 		· · ·
0.0246621 		490.49 			UVOT 			uvw1 			> 20.9 		· · ·
0.9543864 		1030.99 		UVOT 			uvw1 			> 21.4 		· · ·
1.8588450 		2306.88 		UVOT 			uvw1 			> 21.9 		· · ·
3.0565271 		2192.57 		UVOT 			uvw1 			> 21.9 		· · ·
3.9448082 		1777.08 		UVOT 			uvw1 			> 21.7 		· · ·
0.0254789 		490.45 			UVOT 			u 			> 21.0 		· · ·
1.4941792 		40.13 			UVOT 			u 			> 19.3 		· · ·
1.8599737 		2169.1 			UVOT 			u 			> 21.9 		· · ·
3.0579600 		2210.83 		UVOT 			u 			> 21.9 		· · ·
3.9461762 		1773.99 		UVOT 			u 			> 21.8 		· · ·
0.0122205 		58.12 			UVOT 			b 			18.270 		0.160
0.0392111 		216.07 			UVOT 			b 			18.710 		0.110
0.09394 		180 			Maidanak 		B 			19.518 		0.207
0.09898 		180 			Maidanak 		B 			19.557 		0.135
0.10625 		180 			Maidanak 		B 			19.432 		0.136
0.10925 		180 			Maidanak 		B 			19.505 		0.107
0.11421 		900 			Maidanak 		B 			19.546 		0.179
0.23242 		100 			RTT150 			B 			20.133 		0.069
0.23813 		100 			RTT150 			B 			20.321 		0.083
0.24525 		100 			RTT150 			B 			20.316 		0.081
0.26704 		300 			RTT150 			B 			20.395 		0.064
0.28883 		300 			RTT150 			B 			20.636 		0.074
0.31108 		300 			RTT150 			B 			20.649 		0.073
0.33371 		300 			RTT150 			B 			20.839 		0.085
1.10542 		900 			RTT150 			B 			22.072 		0.097
1.16521 		900 			Maidanak 		B 			22.013 		0.079
1.30279 		900 			RTT150 			B 			22.246 		0.154
1.4946505 		30.99 			UVOT 			b 			> 19.5 		· · ·
1.8609920 		1909.33 		UVOT 			b 			> 22.1 		· · ·
2.14626 		2880 			Maidanak 		B 			23.290 		0.072
2.35104 		900 			MOSCA 			B 			23.104 		0.082
3.0592114 		1810.67 		UVOT 			b 			> 22.1 		· · ·
3.13135 		2700 			Maidanak 		B 			24.198 		0.115
3.9474369 		1536.37 		UVOT 			b 			> 22.0 		· · ·
