Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
             69.1000               0.0010    2.8398949394876274e-03    6.7878112075265456e-04
             70.2000               0.0010    2.8836269380690936e-03    9.7923985738051730e-04
             73.0000               0.0010    1.4801300286592556e-03    2.7265003502371856e-04
             96.1000               0.0010    3.4659753933733162e-03    9.0836814192971050e-04
             97.0000               0.0010    4.6805822040717230e-03    4.3109756479555117e-04
             97.9000               0.0010    4.2370410968150538e-03    9.1887967258931578e-04
            111.0000               0.0010    7.0193981951571557e-03    4.5255733911501176e-04
            125.9000               0.0010    5.1592750049389751e-03    1.4342924397626076e-03
            127.0000               0.0010    9.6006332946515609e-03    5.3055061785505463e-04
            129.2000               0.0010    6.4783719521974105e-03    9.2219007594460947e-04
            132.0000               0.0010    7.8406682822835042e-03    2.5610589625508612e-03
            143.0000               0.0010    1.1975671737486636e-02    5.5150008030307486e-04
            156.9000               0.0010    9.0006169913130207e-03    2.3484156814410437e-03
            158.0000               0.0010    9.6518081710122629e-03    1.8405563630817603e-03
            159.0000               0.0010    1.6080512465808990e-02    7.4053498714799339e-04
            160.1000               0.0010    1.0704418561277381e-02    2.2438719838232491e-03
            174.0000               0.0010    1.3749910903559714e-02    6.3320681575936260e-04
            187.8000               0.0010    1.0596593691249637e-02    2.7128404140642952e-03
            190.0000               0.0010    1.4801300794442815e-02    6.8162511094666564e-04
            191.1000               0.0010    1.1433791880161201e-02    1.5316753117018934e-03
            205.0000               0.0010    1.5215978456424440e-02    7.0072172355394762e-04
            219.2000               0.0010    9.4103782792420831e-03    2.4463128744137345e-03
            220.0000               0.0010    1.3375187653111284e-02    6.1595017185296316e-04
            222.0000               0.0010    1.0877018883906325e-02    2.2769143816120862e-03
            224.9000               0.0010    9.2875482181869265e-03    1.7768954811468855e-03
            236.0000               0.0010    1.3375187653111284e-02    6.1595017185296316e-04
            251.0000               0.0010    1.2198316101315287e-02    5.6175323246206155e-04
            267.0000               0.0010    1.1227934817696674e-02    5.1706552161198259e-04
            272.0000               0.0010    9.6938675553113786e-03    2.4796260257660308e-03
            274.2000               0.0010    1.0123266780733870e-02    1.3697490034917303e-03
            282.0000               0.0010    1.1227934817696674e-02    5.1706552161198259e-04
            298.0000               0.0010    9.7791223964819752e-03    5.4041429042228780e-04
            313.8000               0.0010    7.4875111152103149e-03    1.4530099813172617e-03
            314.0000               0.0010    8.3618020229474007e-03    4.6209026982916337e-04
            322.0000               0.0010    8.0525880189125029e-03    2.1000512157790825e-03
            326.0000               0.0010    8.1558697354119636e-03    1.7435630401550857e-03
            328.0000               0.0010    9.4254019861261858e-03    5.2086697760420997e-04
            344.0000               0.0010    7.6260540710098371e-03    4.9166988997781825e-04
            359.0000               0.0010    7.4868628955180308e-03    4.8269590299809085e-04
            373.2000               0.0010    6.9937335065100633e-03    1.8533566038488084e-03
            377.1000               0.0010    6.4260112142566304e-03    9.1530635601545372e-04
            385.0000               0.0010    6.7654997051520708e-03    3.1156278432401875e-04
            385.0000               0.0010    6.0380051445117601e-03    1.1214068881334192e-03
            421.0000               0.0010    6.7034732301072463e-03    3.0870635950560466e-04
            422.8000               0.0010    6.1193469727540114e-03    1.6474943698874401e-03
            427.9000               0.0010    5.7825297849655889e-03    1.2722001816140045e-03
            430.0000               0.0010    5.2962426934320501e-03    1.0576817933164936e-03
            455.0000               0.0010    5.8925038989153270e-03    2.7135984057291888e-04
            492.0000               0.0010    5.2275702505529178e-03    2.4073851356040611e-04
            514.1000               0.0010    4.8981431948272166e-03    1.3578728114412826e-03
            519.9000               0.0010    5.2459660758424542e-03    7.4803428067031778e-04
            527.0000               0.0010    5.1321563390640656e-03    2.3634454042874308e-04
            612.0000               0.0010    4.7549009790178514e-03    1.2945219525431161e-03
            613.8000               0.0010    4.3358902076652090e-03    9.7653741520761729e-04
            620.0000               0.0010    4.4699213000849898e-03    1.6467799117965244e-04
            622.1000               0.0010    4.2697679844364020e-03    8.6582574917512479e-04
            675.0000               0.0010    3.0879956108521263e-03    7.8024519070554125e-04
            686.0000               0.0010    4.3046780571514712e-03    1.6600854329257694e-03
            710.0000               0.0010    3.7778566586820148e-03    1.0515503815343213e-03
            712.1000               0.0010    3.2236469673302759e-03    4.8351938499438757e-04
            728.0000               0.0010    2.7758747961779949e-03    6.4718171241866956e-04
            798.0000               0.0010    2.6687007238925873e-03    1.4747785635351994e-04
            807.9000               0.0010    3.0239309792606931e-03    8.8092797429293766e-04
            810.0000               0.0010    2.7485210891894066e-03    6.4360214734970954e-04
            812.9000               0.0010    2.7538220538321201e-03    5.8126141030950796e-04
            817.0000               0.0010    2.0162940643004921e-03    5.2040472474522285e-04
            833.0000               0.0010    3.2017150290470152e-03    1.1971043366812127e-03
            902.9000               0.0010    2.8285891672518008e-03    8.3410014983830263e-04
            905.1000               0.0010    2.3681623522536143e-03    3.7523018439782697e-04
            976.0000               0.0010    1.9155781352573390e-03    1.2350188999921073e-04
            994.0000               0.0010    1.9490378422354774e-03    3.1880556331917150e-04
           1065.0000               0.0010    1.4859817292929385e-03    3.0927826721967506e-04
           1080.1000               0.0010    2.1816439403942343e-03    6.4247964667834005e-04
           1090.1000               0.0010    1.7562788474037108e-03    4.2915910448417530e-04
           1091.9000               0.0010    1.8316136481967547e-03    3.9875368680087188e-04
           1167.0000               0.0010    1.0821809075404062e-03    7.9738038315501814e-05
           1179.0000               0.0010    1.7989267130951822e-03    4.3880728082498641e-04
           1184.1000               0.0010    1.6959704090257286e-03    3.7499633685461533e-04
