Tstart(s)          Tend(s)      Tmid(s)  ErrorTime(s)  Exposure(s)    Filter       Magnitude    ErrorMagnitude      ErrMag+   ErrMag-    Sigma     Telescope           ReferenceUpperL  Calib   Galactic Extiction   Host     Corrected? Notes  
         4840.0            -9.0            -9.0    -9.0000   197.0000 u   18.800   0.1600  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
         6272.5            -9.0            -9.0    -9.0000   153.0000 u   18.560   0.1900  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
        21788.0            -9.0            -9.0    -9.0000   295.0000 u   18.570   0.1200  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
        22091.0            -9.0            -9.0    -9.0000   295.0000 u   18.490   0.1200  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
        22394.0            -9.0            -9.0    -9.0000   295.0000 u   18.540   0.1100  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
        28478.0            -9.0            -9.0    -9.0000   295.0000 u   18.350   0.1000  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
        28782.0            -9.0            -9.0    -9.0000    99.0000 u   18.460   0.2100  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
        40805.5            -9.0            -9.0    -9.0000   197.0000 u   18.770   0.1700  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
        56883.5            -9.0            -9.0    -9.0000   187.0000 u   19.300   0.2100  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
        74223.5            -9.0            -9.0    -9.0000   237.0000 u   19.340   0.1900  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
        91682.5            -9.0            -9.0    -9.0000   384.0000 u   19.620   0.1800  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
       109034.0            -9.0            -9.0    -9.0000   389.0000 u   20.730   0.3500  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
       127602.0            -9.0            -9.0    -9.0000  3516.0000 u   21.670   0.2600  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
       300270.0            -9.0            -9.0    -9.0000  4937.0000 u   22.210   0.3400  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
       907219.0            -9.0            -9.0    -9.0000 ********** u   23.710   0.2300  -9.0000  -9.0000  -9.0000 UVOT mangano07 0 NNN  0.070  0.000 2 Ext_Gal=Av
