Time	Flux	Flux_err	Band
696.0	5.127677932326289e-12	5.365357826351356e-13	U
844.0	3.5474864024809075e-12	4.577549100557521e-13	U
1427.0	3.64687383913242e-12	4.996999495485694e-13	U
1585.0	3.64687383913242e-12	4.705795080847311e-13	U
1743.0	5.080667098470598e-12	5.733227368989404e-13	U
6020.0	1.9675271751844663e-12	1.2284844813730835e-13	U
7452.0	1.93161575707327e-12	1.2060621126199967e-13	U
12778.0	1.3993319154713515e-12	1.348263664928435e-13	U
17822.0	3.4508075493998325e-12	1.5531192393619602e-13	U
23603.0	2.641926550924261e-12	1.4203747084076243e-13	U
29387.0	2.7159435528032043e-12	1.460168349689683e-13	U
35167.0	2.641926550924261e-12	1.4203747084076243e-13	U
40989.0	2.4998890800834987e-12	1.3440113321594574e-13	U
47340.0	2.691043632642969e-12	1.680233636971184e-13	U
53746.0	2.365487946867548e-12	2.0813729895859215e-13	U
62872.0	2.5463654880635802e-12	2.453436548702976e-13	U
69860.0	1.5919181689637796e-12	1.1307969949216521e-13	U
75644.0	1.4652803968888019e-12	1.0408416097153792e-13	U
81426.0	1.185552360269203e-12	1.0431575707970949e-13	U
87206.0	1.2880144623361514e-12	1.1333131143840944e-13	U
92987.0	1.2300442622194096e-12	1.0823056218776533e-13	U
98767.0	8.748241016821854e-13	9.153742498238148e-14	U
104550.0	1.0231062541668207e-12	9.857682602697902e-14	U
110340.0	7.97849063263948e-13	9.652177162250907e-14	U
116120.0	9.330839936129647e-13	9.763346243361566e-14	U
121900.0	7.276469938666794e-13	9.970324781261097e-14	U
127680.0	8.509827162045224e-13	8.904277602330378e-14	U
134430.0	8.277910746701293e-13	1.199744814966632e-13	U
146620.0	4.676497855007684e-13	9.618235691475382e-14	U
156590.0	7.013272916414389e-13	9.049675597923559e-14	U
168160.0	6.636219456311562e-13	8.563139349060497e-14	U
173950.0	5.833386328729071e-13	7.992990661987594e-14	U
179720.0	4.633623464964114e-13	8.14877756868577e-14	U
194150.0	5.941837077636041e-13	6.705005916611542e-14	U
206310.0	4.896894408877337e-13	6.70979583336177e-14	U
221160.0	3.6468738391324196e-13	6.689009515280551e-14	U
253230.0	2.9779728876043645e-13	5.685072363792658e-14	U
318970.0	2.523020268945851e-13	2.847076688569047e-14	U
449220.0	1.3993319154713515e-13	1.9173849121391194e-14	U
662390.0	4.807516013101378e-14	1.3247785345743972e-14	U
