Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            517.9000               0.0010    5.8077356830089802e-04    8.0236835956327729e-05
            587.8000               0.0010    5.2481572855461918e-04    1.4501194895123292e-05
            656.8000               0.0010    4.6559342796860829e-04    1.2864822209989598e-05
            726.9000               0.0010    4.4463827150520668e-04    1.6381079763457600e-05
            796.9000               0.0010    3.8019538435162670e-04    1.7508644992701354e-05
            866.9000               0.0010    3.4995067827672723e-04    1.9338989718724751e-05
            935.8000               0.0010    3.1046084759604259e-04    2.5735051447644488e-05
           1005.9000               0.0010    2.8314365781461330e-04    2.3470645839421474e-05
           1074.8000               0.0010    2.6061945825816950e-04    2.6404333859421330e-05
           1155.9000               0.0010    2.6792105080860321e-04    3.2079373843440209e-05
           1383.7000               0.0010    1.7061092396450280e-04    5.1855695962201271e-05
          77250.6000               0.0010    6.7298721529632759e-06    1.1157194695154053e-06
         163132.2000               0.0010    3.3113631343456018e-06    9.1496347321599846e-07
