time_sec	flux	flux_err	band_init	band_norm	source
29.9	1.0570554133217905e-12	3.89440302762794e-13	CR	R	rykoff09
37.9	1.4726439401594123e-12	3.5266670355868833e-13	CR	R	rykoff09
53.9	1.9592856362937483e-12	4.87251954175617e-13	CR	R	rykoff09
70	1.556315900797855e-12	4.873743715996241e-13	CR	R	rykoff09
78	1.4193769709896032e-12	4.18345480860381e-13	CR	R	rykoff09
86	1.0967250284156122e-12	3.939543477291019e-13	CR	R	rykoff09
94	1.1068729001609914e-12	3.9759956242805416e-13	CR	R	rykoff09
120	6.856425392490777e-13	2.841789133476726e-13	CR	R	rykoff09
157	1.191510172932874e-12	2.3047287725709647e-13	CR	R	rykoff09
188	1.4063640447016325e-12	3.1088904637475566e-13	CR	R	rykoff09
217	8.018585321091154e-13	2.437240279741966e-13	CR	R	rykoff09
247	1.4193769709896032e-12	2.2226122272406026e-13	CR	R	rykoff09
277	1.0570554133217905e-12	2.0446539867032032e-13	CR	R	rykoff09
306	2.16819208472848e-12	2.1971760276722598e-13	CR	R	rykoff09
335	1.7222561912055308e-12	2.2210709283002755e-13	CR	R	rykoff09
365	2.070607365986061e-12	2.670314583858109e-13	CR	R	rykoff09
394	2.208501785151536e-12	3.0515310634400263e-13	CR	R	rykoff09
444	2.148313980212626e-12	2.1770321967702727e-13	CR	R	rykoff09
513	2.2495608988574985e-12	1.6582501658032208e-13	CR	R	rykoff09
583	2.489417594181883e-12	2.2934691087285825e-13	CR	R	rykoff09
652	1.7222561912055308e-12	2.06246924619348e-13	CR	R	rykoff09
722	1.8201104982176353e-12	1.8444413585704998e-13	CR	R	rykoff09
791	1.5139019718210645e-12	1.6735459694174666e-13	CR	R	rykoff09
860	1.0570554133217905e-12	1.752600039809848e-13	CR	R	rykoff09
930	1.393470421638979e-12	1.9253859363869382e-13	CR	R	rykoff09
1000	1.12745120377447e-12	1.7654836469406326e-13	CR	R	rykoff09
1070	9.81968947939714e-13	1.6281065264525237e-13	CR	R	rykoff09
1140	9.038528976060228e-13	1.58183118678859e-13	CR	R	rykoff09
1210	9.81968947939714e-13	1.4472384400827507e-13	CR	R	rykoff09
1280	9.038528976060228e-13	1.8315585343607015e-13	CR	R	rykoff09
1350	1.000225113707954e-12	1.5662594315380818e-13	CR	R	rykoff09
1420	6.73128152554781e-13	1.488008529684462e-13	CR	R	rykoff09
1490	1.0866701929176133e-12	1.6015484788823074e-13	CR	R	rykoff09
1550	9.377730649856993e-13	1.3821019804842596e-13	CR	R	rykoff09
1620	1.0377619776868074e-12	1.0516345649738629e-13	CR	R	rykoff09
1690	1.1590382128224636e-12	1.3879936569925265e-13	CR	R	rykoff09
1760	1.3185534962188593e-12	1.3361796463980373e-13	CR	R	rykoff09
2145	1.0094800827361337e-12	6.512012136860098e-14	CR	R	rykoff09
2840	9.122161454976534e-13	5.044944081852534e-14	CR	R	rykoff09
3535	8.79220396849025e-13	4.862463528649455e-14	CR	R	rykoff09
4525	8.243236397999416e-13	4.5588610645244854e-14	CR	R	rykoff09
5225	6.983895857626689e-13	5.1481364517598246e-14	CR	R	rykoff09
5920	5.862701122496169e-13	4.8614230559168114e-14	CR	R	rykoff09
6440	9.206567775692543e-13	1.3568757763842655e-13	CR	R	rykoff09
105.8	4.537884055537956e-13	1.9643864658432073e-13	R	R	TAROT
142.8	8.032549218513514e-13	2.367440395429144e-13	R	R	TAROT
179.4	6.499102632647822e-13	2.0950631575682522e-13	R	R	TAROT
215.7	9.222600475088258e-13	2.2085255267481147e-13	R	R	TAROT
252.9	1.408813145443515e-12	2.595129718009832e-13	R	R	TAROT
328.5	1.215775522329862e-12	1.4557018289547704e-13	R	R	TAROT
425.1	1.588010593770548e-12	1.6088729891223822e-13	R	R	TAROT
524.7	1.980858235112529e-12	1.6419940716616572e-13	R	R	TAROT
623	1.709438163069654e-12	1.7318958059388962e-13	R	R	TAROT
720	1.530570700098392e-12	1.5506784822408077e-13	R	R	TAROT
819.3	1.320849680025585e-12	1.7031665186552057e-13	R	R	TAROT
926.1	1.0019669472518815e-12	1.5688376263621551e-13	R	R	TAROT
1023	9.836789894385478e-13	1.449602929518494e-13	R	R	TAROT
1122.3	1.1826422640823616e-12	1.7428060464772946e-13	R	R	TAROT
1220.6	9.657248244732711e-13	1.423144694250525e-13	R	R	TAROT
1317.6	6.868365456358789e-13	1.3917196403481353e-13	R	R	TAROT
1416.6	7.325771954944181e-13	1.6193484766203185e-13	R	R	TAROT
1569.6	9.054269045713026e-13	1.4176792954179043e-13	R	R	TAROT
1756.2	6.681183429558612e-13	1.2307194694768397e-13	R	R	TAROT
1944.8	8.726767293958307e-13	1.3664004511145544e-13	R	R	TAROT
2134.2	7.885938672482426e-13	1.452643586521863e-13	R	R	TAROT
2320.8	6.681183429558612e-13	1.1076475225291555e-13	R	R	TAROT
2509.8	9.222600475088258e-13	1.8687523687868662e-13	R	R	TAROT
