Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            100.0000               5.0000    2.7872720995564462e+47    2.8238898033789349e+46
            110.0000               5.0000    2.2970971675362258e+47    2.1157047389578350e+46
            120.0000               5.0000    1.9823455733669706e+47    1.8258077991202108e+46
            130.0000               5.0000    1.8585718924010153e+47    1.7118080227595107e+46
            140.0000               5.0000    1.8246491318186079e+47    1.6805640047279579e+46
            150.0000               5.0000    1.7107217003199079e+47    1.5756329595264087e+46
            160.0000               5.0000    1.4763161253336490e+47    1.4957111842640035e+46
            170.0000               5.0000    1.4493703188957055e+47    1.3349194346364606e+46
            180.0000               5.0000    1.2977151136353390e+47    1.3147638071176247e+46
            190.0000               5.0000    1.0596912816406122e+47    1.1712141208918998e+46
            720.0000              25.0000    3.2298276906821544e+46    8.9243439691182017e+45
            820.0000              25.0000    3.2002164519879103e+46    9.7267775996598492e+45
