Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
             29.7000               2.5000    7.1779394292767654e-15    4.6277885762822984e-16
             43.5000               2.5000    1.8879905248455059e-13    3.4778070738608688e-15
             57.9000               2.5000    3.1915364867207310e-13    5.8790274760042539e-15
             94.5000               2.5000    3.3419489696846814e-13    6.1560975091241558e-15
            108.4000               2.5000    2.9922633507923512e-13    2.7559763969397645e-15
            122.9000               2.5000    2.5351275348566889e-13    7.0048162513306521e-15
            137.1000               2.5000    2.2080037742097380e-13    4.0672932644545430e-15
            151.6000               2.5000    1.8706813234150535e-13    3.4459223464824639e-15
            166.3000               2.5000    1.5416997752259176e-13    2.8399159389262070e-15
            188.1000              10.0000    1.2133883127356258e-13    2.2351438748440642e-15
            217.4000              10.0000    9.9083150280075276e-14    1.8251790801368733e-15
            246.8000              10.0000    8.3945960989312474e-14    7.7317087429389902e-16
            276.0000              10.0000    7.0469275096686553e-14    1.2980920200389182e-15
            304.9000              10.0000    6.4268742641525808e-14    1.1838739911320912e-15
            342.0000              10.0000    5.1050476715232084e-14    9.4038453428537237e-16
            371.2000              10.0000    4.4463106377333126e-14    8.1904068823423324e-16
            400.3000              10.0000    3.9084071598825451e-14    7.1995520577521277e-16
            429.6000              10.0000    3.4994500546172166e-14    6.4462252296348058e-16
            466.5000              10.0000    2.9376482880139243e-14    8.1170221953890237e-16
            495.6000              10.0000    2.5822589867323117e-14    7.1350452656535290e-16
            524.5000              10.0000    2.3550481826918944e-14    6.5072386126402353e-16
            554.1000              10.0000    2.1086271604811585e-14    5.8263521651862795e-16
           1107.6000               2.5000    6.5463585547560428e-15    2.4117676217282073e-16
           1121.5000               2.5000    5.1522839199700038e-15    5.6945146368923330e-16
           1135.8000               2.5000    5.7016399362522237e-15    5.2514044540896828e-16
           1150.3000               2.5000    6.0813470465005687e-15    5.0410148644119738e-16
           1164.1000               2.5000    4.6989387760027487e-15    3.8950942999417012e-16
           1178.3000               2.5000    5.1050474963629426e-15    4.2317302590884658e-16
           1200.6000               2.5000    5.7016399362522237e-15    1.5754213362269047e-16
           1214.7000               2.5000    5.3951035839664263e-15    4.4721666357566470e-16
           1229.1000               2.5000    5.0582441388970446e-15    5.1246965272540319e-16
           1243.7000               2.5000    5.2966318444849447e-15    4.3905403942915601e-16
           1265.8000              10.0000    4.7862985715437345e-15    3.0858407305198124e-16
           1295.3000              10.0000    4.6131734764512612e-15    3.8240008157869723e-16
           1324.6000              10.0000    4.4055464650185041e-15    4.0576582505671915e-16
           1354.0000              10.0000    4.5708796471726167e-15    2.5259614433718226e-16
           1383.3000              10.0000    4.1304729813797782e-15    1.9021531045831479e-16
           1412.4000              10.0000    4.6131734764512612e-15    2.5493338771913147e-16
           1441.3000              10.0000    3.8018920821529398e-15    2.1010032100318558e-16
           1470.2000              10.0000    4.6131734764512612e-15    3.8240008157869723e-16
           1499.4000              10.0000    3.9810697385629343e-15    2.9333605897075313e-16
           1528.5000              10.0000    3.9445710712726605e-15    2.1798505333295966e-16
           1557.7000              10.0000    3.7324997302130878e-15    2.4064315090211488e-16
           1586.8000              10.0000    3.3728714117836970e-15    1.8639176257652539e-16
           1747.3500             141.3500    2.8840300643276953e-15    7.9688695681619241e-17
           2039.2500             141.3500    2.3334568907888511e-15    4.2983864455564101e-17
           2330.5500             140.5500    1.8879903952871009e-15    5.2167102528081997e-17
           2621.7000             141.6000    1.5848923876436220e-15    8.7584390141570318e-17
           2954.0000             181.5000    1.2705734558189008e-15    7.0214484040407142e-17
           3285.7000             141.1000    1.1587767623143732e-15    7.4709098842871781e-17
           3577.1000             141.1000    1.0471280098461765e-15    7.7155243142523435e-17
           3872.5500             145.5500    1.0092523667852922e-15    7.4364462624703785e-17
           4168.9000             141.5000    8.3945955228740763e-16    3.8658541061853648e-17
           4460.9500             141.3500    7.7268018445263361e-16    5.6933180033652673e-17
           4752.7000             141.1000    7.6559620983622720e-16    4.9359811807190262e-17
           5047.7000             145.2000    6.1944075184966024e-16    7.9873642382697359e-17
           5343.6000             141.7000    8.1658194862441186e-16    7.5209976955405064e-17
           5635.2500             140.7500    5.5975730856603196e-16    6.1866664109521439e-17
           5926.2500             141.1500    4.4055463138589582e-16    4.0576581113441044e-17
           6217.3500             140.9500    3.4994498144766223e-16    6.1239135479155081e-17
           6508.6000             141.4000    2.4888559857688491e-16    4.5846421574791370e-17
           6800.6000             140.9000    3.9445709359297288e-16    3.9963925073166019e-17
           7090.9500             140.4500    3.4673666652566236e-16    5.1097003538555909e-17
           7381.5500             140.8500    4.2072640642222701e-16    5.8125501154263647e-17
           7673.3000             141.6000    2.8575890193275565e-16    5.7902608579349369e-17
           7965.6000             141.3000    2.5351272739069623e-16    5.3703585732299311e-17
           8265.6500             149.3500    2.9922630427880034e-16    6.3387450604917360e-17
