Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            262.0000               2.0000    7.1498985528722662e-03    3.2926500596412104e-04
            282.8000               2.2500    5.6272975327049425e-03    3.1097596285591572e-04
            380.6000              12.0000    3.8574461837093694e-03    2.1317036004799366e-04
            402.9000               6.0000    2.9805737627498319e-03    1.6471259789397892e-04
            441.8000              20.2500    2.5721712116419100e-03    1.1845286518111307e-04
            483.5000              16.5000    2.1394388210444668e-03    1.5763968251282984e-04
            544.8000              10.2500    2.0058565528265344e-03    1.4779697696589667e-04
            587.5000              20.0000    1.7631930720794558e-03    1.1367726162006637e-04
            634.9000              20.5000    9.4254016627294177e-04    9.5492275950984678e-05
            694.8000              34.2500    1.1865877710290299e-03    7.6502142969150631e-05
            767.1000              34.0000    1.1649301031006567e-03    7.5105821475968595e-05
            839.6000              34.5000    1.2891393607089457e-03    8.3113888485963867e-05
            912.2000              34.0000    9.1685332966278332e-04    6.7556251843795101e-05
            984.4000              34.0000    7.4868626386348481e-04    6.8956555205174216e-05
           1074.4000              52.5000    7.9854586582233907e-04    5.1484156070128741e-05
           1184.9000              52.4500    5.8925036967365002e-04    5.9699162877692703e-05
           1291.8000              52.0000    5.2275700711887558e-04    5.2962471166083815e-05
           1400.8000              52.9500    5.7319166097358968e-04    5.2792904479249099e-05
           1505.1000              51.9500    6.4610018330320664e-04    5.9508027739299485e-05
           1613.1000              48.5000    4.9465210609291217e-04    5.9226887121816401e-05
           1714.8000              38.5000    8.2091816520488061e-04    1.0585310311434205e-04
