Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
          69292.8000               0.0010    6.6995086342759761e+45    4.3193329636118473e+44
          70934.4000               0.0010    8.0545809825112597e+45    2.9674173815287644e+44
          76809.6000               0.0010    5.6760073622081967e+45    2.6138980632376889e+44
          76982.4000               0.0010    6.3393240274226729e+45    1.1677466740331875e+44
          78969.6000               0.0010    6.6995086342759761e+45    3.0852378311513193e+44
          80784.0000               0.0010    6.2236183223510638e+45    2.2928657897716561e+44
          82684.8000               0.0010    5.9435093519938414e+45    2.1896698284715062e+44
          83548.8000               0.0010    6.7614984253666684e+45    2.4910281485998305e+44
          84758.4000               0.0010    6.3393240274226729e+45    2.3354933480663750e+44
          87004.8000               0.0010    5.6760073622081967e+45    1.5683388379426129e+44
          90374.4000               0.0010    6.3979810713297025e+45    5.8927585056809772e+43
          90633.6000               0.0010    6.6995086342759761e+45    6.1704756623026398e+43
          90806.4000               0.0010    6.6995086342759761e+45    6.1704756623026398e+43
          90892.8000               0.0010    6.6995086342759761e+45    6.1704756623026398e+43
          91065.6000               0.0010    6.6995086342759761e+45    1.2340951324605280e+44
          91152.0000               0.0010    6.6380871690145012e+45    6.1139044005537012e+43
          91238.4000               0.0010    6.5772288191396654e+45    6.0578517872576596e+43
          91411.2000               0.0010    6.6995086342759761e+45    1.2340951324605280e+44
          91497.6000               0.0010    6.7614984253666684e+45    1.2455140742999153e+44
          91843.2000               0.0010    8.5909848423349880e+45    3.9562948403131541e+44
          91843.2000               0.0010    6.8240618009408437e+45    6.2851933715442160e+43
          92102.4000               0.0010    6.8872040683104160e+45    6.3433495506516187e+43
          92534.4000               0.0010    7.2785178549116332e+45    2.6815051510846299e+44
          93139.2000               0.0010    7.3458651524384189e+45    2.7063168131330835e+44
          93571.2000               0.0010    7.2117880011290377e+45    6.6423024093112650e+43
          93657.6000               0.0010    7.1456699303323234e+45    6.5814054138805515e+43
          93916.8000               0.0010    7.2785178549116332e+45    6.7037628777115748e+43
          94003.2000               0.0010    6.3979810713297025e+45    2.9463792528404882e+44
          94003.2000               0.0010    7.4138356068461370e+45    6.8283951366682203e+43
          94176.0000               0.0010    7.3458651524384189e+45    6.7657920328327088e+43
