Tstart(s)          Tend(s)      Tmid(s)  ErrorTime(s)  Exposure(s)    Filter       Magnitude    ErrorMagnitude      ErrMag+   ErrMag-    Sigma     Telescope           ReferenceUpperL  Calib   Galactic Extiction   Host     Corrected? Notes  
           -9.0            -9.0           145.0    13.882    -9.000 v   53.976  -9.0000   0.1072   0.0976  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0           173.9    15.000    -9.000 v   54.450  -9.0000   0.1319   0.1176  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0           208.9    20.000    -9.000 v   54.900  -9.0000   0.1507   0.1323  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0           253.9    25.000    -9.000 v   55.066  -9.0000   0.1503   0.1320  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0           308.9    30.000    -9.000 v   55.245  -9.0000   0.1514   0.1329  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0           373.9    35.000    -9.000 v   55.901  -9.0000   0.2336   0.1921  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0           453.9    45.000    -9.000 v   56.001  -9.0000   0.2190   0.1821  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0           551.1    52.219    -9.000 v   56.491  -9.0000   0.4017   0.2925  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0           674.9    65.500    -9.000 v   56.462  -9.0000   0.3180   0.2457  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0           774.9    29.500    -9.000 v   56.393  -9.0000 100.0000 100.0000  -9.0000 UVOT oates09 1 NNN  0.000  0.000 0 nnn
           -9.0            -9.0          1055.4   194.000    -9.000 v   56.544  -9.0000   0.2139   0.1786  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0         10547.4   341.000    -9.000 v   58.871  -9.0000   0.7292   0.4323  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0         12616.9   200.500    -9.000 v   57.812  -9.0000 100.0000 100.0000  -9.0000 UVOT oates09 1 NNN  0.000  0.000 0 nnn
           -9.0            -9.0         17302.9  1298.500    -9.000 v   57.937  -9.0000 100.0000 100.0000  -9.0000 UVOT oates09 1 NNN  0.000  0.000 0 nnn
           -9.0            -9.0         23080.4  1304.000    -9.000 v   57.816  -9.0000 100.0000 100.0000  -9.0000 UVOT oates09 1 NNN  0.000  0.000 0 nnn
           -9.0            -9.0         28988.9  1180.500    -9.000 v   58.274  -9.0000 100.0000 100.0000  -9.0000 UVOT oates09 1 NNN  0.000  0.000 0 nnn
           -9.0            -9.0         37567.4  3741.000    -9.000 v   58.916  -9.0000   0.4370   0.3107  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0         44437.9  3083.500    -9.000 v   58.765  -9.0000 100.0000 100.0000  -9.0000 UVOT oates09 1 NNN  0.000  0.000 0 nnn
           -9.0            -9.0         57293.4  5315.000    -9.000 v   58.967  -9.0000   0.3931   0.2880  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0         70122.4  5626.000    -9.000 v   58.571  -9.0000   0.3831   0.2826  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0         89981.4  8926.000    -9.000 v   59.355  -9.0000   0.5669   0.3705  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0        112745.4  9502.000    -9.000 v   59.039  -9.0000   0.2518   0.2043  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0        139086.9 12441.500    -9.000 v   59.178  -9.0000   0.3962   0.2897  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0        170073.4 15115.000    -9.000 v   59.603  -9.0000   0.3991   0.2912  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0        208208.9 18498.500    -9.000 v   59.358  -9.0000   0.2638   0.2121  -9.0000 UVOT oates09 0 NNN  0.000  0.000 0 nnn
           -9.0            -9.0        255199.9 23588.500    -9.000 v   59.297  -9.0000 100.0000 100.0000  -9.0000 UVOT oates09 1 NNN  0.000  0.000 0 nnn
           -9.0            -9.0        289781.4  6047.000    -9.000 v   59.196  -9.0000 100.0000 100.0000  -9.0000 UVOT oates09 1 NNN  0.000  0.000 0 nnn
           -9.0            -9.0        601832.4 41276.000    -9.000 v   60.135  -9.0000 100.0000 100.0000  -9.0000 UVOT oates09 1 NNN  0.000  0.000 0 nnn
