T_OBS[MJD]	T_1/2 [s]	GROND Mag	GROND Mag err
54314.31093	214.63	20.447	0.187
54314.31625	220.47	19.281	0.058
54314.31969	46.18	18.788	0.081
54314.32104	46.17	18.755	0.071
54314.32242	46.68	18.656	0.073
54314.32374	45.69	18.527	0.063
54314.32527	46.47	18.639	0.055
54314.32656	46.59	18.713	0.084
54314.32792	46.47	18.965	0.070
54314.32926	45.93	19.098	0.101
54314.33490	402.67	19.305	0.055
54314.35684	218.45	19.424	0.174
54314.42631	644.38	20.280	0.090
54314.43670	222.02	20.279	0.079
54314.44737	212.18	20.187	0.149
54314.45264	211.29	20.382	0.105
54315.32548	4559.32	21.557	0.341
