42	12.791	0.019	0.019	R
49	12.999	0.024	0.024	R
55	13.193	0.021	0.021	R
61	13.321	0.024	0.024	R
67	13.5	0.019	0.019	R
157	14.382	0.031	0.031	R
249	14.75	0.023	0.023	R
340	15.401	0.024	0.024	R
431	16.239	0.082	0.082	R
522	16.749	0.091	0.091	R
568.6	16.708	0.016	0.016	R
595	16.849	0.097	0.097	R
654	17.041	0.089	0.089	R
681.3	17.046	0.018	0.018	R
787.68	17.362	0.121	0.121	R
794	17.337	0.02	0.02	R
906.8	17.573	0.02	0.02	R
1009.95	17.711	0.147	0.147	R
1019.6	17.766	0.02	0.02	R
1132.3	17.94	0.02	0.02	R
1245.1	18.101	0.02	0.02	R
1357.9	18.229	0.023	0.023	R
1422.34	18.103	0.154	0.154	R
1470.7	18.339	0.025	0.025	R
1583.5	18.454	0.026	0.026	R
1696.3	18.545	0.028	0.028	R
1809.1	18.64	0.034	0.034	R
1922	18.724	0.033	0.033	R
2034.8	18.814	0.04	0.04	R
2147.6	18.865	0.037	0.037	R
2260.3	18.924	0.042	0.042	R
2373.1	18.941	0.048	0.048	R
2485.9	18.941	0.064	0.064	R
2598.7	19.042	0.044	0.044	R
2711.4	19.087	0.049	0.049	R
2824.2	19.104	0.05	0.05	R
2937	19.109	0.054	0.054	R
3049.7	19.142	0.054	0.054	R
3162.5	19.15	0.052	0.052	R
3275.3	19.16	0.056	0.056	R
3388.2	19.169	0.055	0.055	R
3501	19.158	0.05	0.05	R
3613.8	19.139	0.056	0.056	R
3726.5	19.185	0.055	0.055	R
3839.3	19.206	0.056	0.056	R
4062.4	19.188	0.056	0.056	R
4175.3	19.196	0.055	0.055	R
4288.1	19.194	0.057	0.057	R
4401	19.208	0.051	0.051	R
4513.8	19.167	0.054	0.054	R
4626.6	19.15	0.053	0.053	R
4739.4	19.163	0.065	0.065	R
4852.2	19.16	0.057	0.057	R
5002.6	19.145	0.05	0.05	R
9523.7	18.59	0.25	0.25	R
77044	19.43	0.06	0.06	R
515855	22.61	0.3	0.3	R
604978	23.06	0.5	0.5	R
682940	23.4	0.6	0.6	R
