T_start(s)	T_end(s)	Midtime(s)	Exp_time(s)	Mag	MagErr	Filter	Telescope	Source
-9.	-9.	287.	-9.	18.06	0.07	H	GROND	kruehler09
-9.	-9.	335.	-9.	17.88	0.06	H	GROND	kruehler09
-9.	-9.	388.	-9.	17.76	0.05	H	GROND	kruehler09
-9.	-9.	419.	-9.	17.67	0.04	H	GROND	kruehler09
-9.	-9.	450.	-9.	17.62	0.04	H	GROND	kruehler09
-9.	-9.	499.	-9.	17.56	0.04	H	GROND	kruehler09
-9.	-9.	530.	-9.	17.43	0.03	H	GROND	kruehler09
-9.	-9.	561.	-9.	17.4	0.04	H	GROND	kruehler09
-9.	-9.	610.	-9.	17.34	0.05	H	GROND	kruehler09
-9.	-9.	641.	-9.	17.39	0.05	H	GROND	kruehler09
-9.	-9.	672.	-9.	17.34	0.06	H	GROND	kruehler09
-9.	-9.	767.	-9.	17.27	0.05	H	GROND	kruehler09
-9.	-9.	798.	-9.	17.34	0.05	H	GROND	kruehler09
-9.	-9.	831.	-9.	17.25	0.04	H	GROND	kruehler09
-9.	-9.	862.	-9.	17.33	0.05	H	GROND	kruehler09
-9.	-9.	894.	-9.	17.27	0.04	H	GROND	kruehler09
-9.	-9.	927.	-9.	17.29	0.04	H	GROND	kruehler09
-9.	-9.	969.	-9.	17.26	0.04	H	GROND	kruehler09
-9.	-9.	1000.	-9.	17.23	0.04	H	GROND	kruehler09
-9.	-9.	1030.	-9.	17.24	0.04	H	GROND	kruehler09
-9.	-9.	1060.	-9.	17.28	0.04	H	GROND	kruehler09
-9.	-9.	1100.	-9.	17.19	0.04	H	GROND	kruehler09
-9.	-9.	1130.	-9.	17.23	0.04	H	GROND	kruehler09
-9.	-9.	1170.	-9.	17.21	0.04	H	GROND	kruehler09
-9.	-9.	1200.	-9.	17.23	0.04	H	GROND	kruehler09
-9.	-9.	1230.	-9.	17.31	0.04	H	GROND	kruehler09
-9.	-9.	1260.	-9.	17.21	0.04	H	GROND	kruehler09
-9.	-9.	1300.	-9.	17.3	0.04	H	GROND	kruehler09
-9.	-9.	1330.	-9.	17.22	0.04	H	GROND	kruehler09
-9.	-9.	1370.	-9.	17.23	0.04	H	GROND	kruehler09
-9.	-9.	1400.	-9.	17.29	0.04	H	GROND	kruehler09
-9.	-9.	1430.	-9.	17.32	0.04	H	GROND	kruehler09
-9.	-9.	1470.	-9.	17.31	0.04	H	GROND	kruehler09
-9.	-9.	1500.	-9.	17.31	0.04	H	GROND	kruehler09
-9.	-9.	1530.	-9.	17.34	0.04	H	GROND	kruehler09
-9.	-9.	1780.	-9.	17.39	0.05	H	GROND	kruehler09
-9.	-9.	1810.	-9.	17.39	0.04	H	GROND	kruehler09
-9.	-9.	1840.	-9.	17.41	0.04	H	GROND	kruehler09
-9.	-9.	1870.	-9.	17.43	0.04	H	GROND	kruehler09
-9.	-9.	1900.	-9.	17.45	0.05	H	GROND	kruehler09
-9.	-9.	1940.	-9.	17.48	0.05	H	GROND	kruehler09
-9.	-9.	2060.	-9.	17.53	0.03	H	GROND	kruehler09
-9.	-9.	2260.	-9.	17.64	0.03	H	GROND	kruehler09
-9.	-9.	2460.	-9.	17.8	0.04	H	GROND	kruehler09
-9.	-9.	2660.	-9.	17.78	0.06	H	GROND	kruehler09
-9.	-9.	2760.	-9.	17.74	0.03	H	GROND	kruehler09
-9.	-9.	2880.	-9.	17.87	0.11	H	GROND	kruehler09
-9.	-9.	2990.	-9.	17.84	0.06	H	GROND	kruehler09
-9.	-9.	3130.	-9.	17.87	0.07	H	GROND	kruehler09
-9.	-9.	3240.	-9.	17.99	0.06	H	GROND	kruehler09
-9.	-9.	3350.	-9.	18.11	0.06	H	GROND	kruehler09
-9.	-9.	3460.	-9.	18.15	0.07	H	GROND	kruehler09
-9.	-9.	3660.	-9.	18.19	0.06	H	GROND	kruehler09
-9.	-9.	3860.	-9.	18.28	0.05	H	GROND	kruehler09
-9.	-9.	4060.	-9.	18.31	0.04	H	GROND	kruehler09
-9.	-9.	4260.	-9.	18.31	0.04	H	GROND	kruehler09
-9.	-9.	4480.	-9.	18.3	0.04	H	GROND	kruehler09
-9.	-9.	4680.	-9.	18.32	0.05	H	GROND	kruehler09
-9.	-9.	4880.	-9.	18.37	0.07	H	GROND	kruehler09
