Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            286.9000              20.6000    1.8113399580043927e-04    8.3415290114259906e-06
            335.0000              20.6000    2.0796965368261397e-04    9.5773567630065678e-06
            387.8000              13.1000    2.3878111152872040e-04    6.5977661246709010e-06
            419.0000              13.1000    2.5703956051475058e-04    7.1022657286714980e-06
            450.3000              13.1000    2.5234805974085165e-04    9.2968463573209298e-06
            498.5000              13.1000    2.8707803883739404e-04    7.9322595813886154e-06
            529.6000              13.1000    3.1188893775592209e-04    2.0108223503776811e-05
            560.8000              13.1000    3.3884413411928429e-04    1.8725219388776983e-05
            601.1000               5.0000    3.3884413411928429e-04    1.8725219388776983e-05
            616.9000               5.0000    3.3884413411928429e-04    9.3626096943884914e-06
            633.3000               5.0000    3.5809641412648183e-04    1.6490949775185274e-05
            649.4000               5.0000    3.7153520546272673e-04    1.0265897402985248e-05
            665.4000               5.0000    3.5809641412648183e-04    1.6490949775185274e-05
            681.5000               5.0000    3.5156041787500842e-04    1.2951964812632109e-05
            758.9000               5.0000    3.6140983950046842e-04    1.9972246388442941e-05
            774.4000               5.0000    3.5156041787500842e-04    1.2951964812632109e-05
            790.8000               5.0000    3.7497297844381138e-04    1.3814515444735878e-05
            806.2000               5.0000    3.6812895017424328e-04    1.0171779088473449e-05
            822.8000               5.0000    3.7153520546272673e-04    1.0265897402985248e-05
            838.7000               5.0000    3.6812895017424328e-04    1.0171779088473449e-05
            854.8000               5.0000    3.6812895017424328e-04    1.0171779088473449e-05
            870.3000               5.0000    3.9264491074563108e-04    1.0849180132199705e-05
            886.3000               5.0000    3.5156041787500842e-04    9.7139736094740801e-06
            919.1000               5.0000    3.7153520546272673e-04    1.0265897402985248e-05
            934.9000               5.0000    3.7497297844381138e-04    1.7268144305919846e-05
            961.2000               5.0000    3.7497297844381138e-04    6.9072577223679389e-06
            976.6000               5.0000    3.7153520546272673e-04    6.8439316019901667e-06
            992.8000               5.0000    3.5809641412648183e-04    9.8945698651111633e-06
           1008.3000               5.0000    3.7497297844381138e-04    6.9072577223679389e-06
