Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
             37.2000               5.0000    3.8931109214115962e+50    6.0956692131315802e+48
             60.5000               5.0000    1.2311097484133210e+50    3.9686290505991905e+48
             83.8000               5.0000    4.0916338523540271e+49    3.3539953972881238e+48
            100.3000               5.0000    2.8177130325615621e+49    5.1904193695103970e+47
            116.2000               5.0000    1.9315090984745086e+49    3.5579713481303981e+47
            132.2000               5.0000    1.4292123367202594e+49    2.7643418174340556e+47
            148.2000               5.0000    1.0772010162822530e+49    2.0834915418690043e+47
            164.1000               5.0000    8.9680238234663727e+48    1.7345696393750928e+47
            179.9000               5.0000    7.1828492512324118e+48    1.3892862553279968e+47
            196.0000               5.0000    6.2617648005638894e+48    1.2688057096602381e+47
            211.8000               5.0000    5.3542266323829068e+48    1.0849135249172201e+47
            219.0000               5.0000    4.8876123033049911e+48    9.0033148431261640e+46
            228.1000               5.0000    4.1371069511463218e+48    8.7639577826211239e+46
            231.7000               5.0000    4.2608549350227633e+48    7.8487850713849883e+46
            243.7000               5.0000    3.6500326346831338e+48    8.0683305364910633e+46
            244.4000               5.0000    3.8291003468315843e+48    7.0534637056087119e+46
            257.4000               5.0000    3.4221319190307924e+48    6.3038001358887980e+46
            259.7000               5.0000    3.1849069356689499e+48    7.0401786660109574e+46
            270.4000               5.0000    2.9695917372396984e+48    5.4701902906325167e+46
            275.6000               5.0000    2.7739379726556184e+48    6.6427175449460229e+46
            283.3000               5.0000    2.6248031908889924e+48    4.8350662986988416e+46
            291.5000               5.0000    2.3458311266633854e+48    6.0496530510458282e+46
            296.2000               5.0000    2.3329033382911016e+48    4.2973668838283464e+46
            307.2000               5.0000    1.9493810655007253e+48    5.0272498205492854e+46
            309.1000               5.0000    2.1217623755731400e+48    3.9084308460118569e+46
            322.1000               5.0000    1.8243020366626686e+48    3.3604886365319756e+46
            323.2000               5.0000    1.7631803727991158e+48    4.8718475514506520e+46
            334.8000               5.0000    1.6807253189054665e+48    3.0960105409112035e+46
            339.3000               5.0000    1.4464277374897153e+48    4.6627322592420395e+46
            355.2000               5.0000    1.4411087047327897e+48    4.6455857229990835e+46
            360.1000              15.0000    1.4371322703454971e+48    2.6472955500967071e+46
            370.7000               5.0000    1.1724565039156721e+48    4.2115022754765963e+46
            386.6000               5.0000    1.1542416461526970e+48    4.1460739080616377e+46
            395.5000              15.0000    1.2019786130504819e+48    2.2141264929462460e+46
            416.6000              15.0000    1.0071559879597636e+48    2.7828749171481811e+46
            431.0000              15.0000    9.3475272234616208e+47    1.7218781968571854e+46
            456.6000              15.0000    7.9487115574103011e+47    2.4159412553094369e+46
            466.3000              15.0000    8.7881353741157015e+47    1.6188344072150665e+46
            496.0000              15.0000    6.6053637148135106e+47    2.3118306941298592e+46
            502.4000              15.0000    7.3772879834484144e+47    1.3589467061142376e+46
            534.7000              15.0000    5.5245477959497709e+47    2.1879675838707998e+46
            537.7000              15.0000    6.2444865719596261e+47    1.1502769686337348e+46
            573.2000              15.0000    6.0911141141915377e+47    1.1220247170257987e+46
            575.0000              15.0000    5.1226741877380990e+47    2.2175339893769952e+46
            608.8000              15.0000    4.9738963925642095e+47    9.1622560138544250e+45
            614.8000              15.0000    4.8831125508540674e+47    2.1138311082504295e+46
            644.3000              15.0000    4.6719343792938868e+47    8.6060214135162189e+45
            679.9000              15.0000    4.2412779390562947e+47    7.8127229110844389e+45
