Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            307.8000               3.9000    1.6227990972258443e+48    7.1743355861113071e+46
            316.0000               3.9000    1.5800279054605148e+48    6.9852457082164048e+46
            324.0000               3.9000    1.4868417822912165e+48    6.5732732584361906e+46
            344.0000               3.9000    1.2107786534026113e+48    5.3528082403174899e+46
            352.3000               3.9000    1.1103624205839017e+48    4.9088717396341610e+46
            360.2000               3.9000    1.0314893647335186e+48    4.5601768381272010e+46
            380.1000               3.9000    9.5030880668249130e+47    4.2012805536015977e+46
            388.4000               3.9000    8.9097343113660412e+47    3.9389610237091705e+46
            396.3000               3.9000    8.4384902551285805e+47    3.7306257462131833e+46
            416.3000               3.9000    7.7243999546571778e+47    3.4149290303888511e+46
            424.5000               3.9000    7.5904015642728786e+47    3.3556888310161051e+46
            432.4000               3.9000    7.2088294713395900e+47    3.1869972012464053e+46
            452.4000               3.9000    6.8970718759549885e+47    3.0491703060606876e+46
            460.7000               3.9000    6.3953563938448697e+47    2.8273637223893701e+46
            465.0000              30.0000    6.9608896972412458e+47    4.4878515674320824e+46
            468.6000               3.9000    6.0794564405402344e+47    2.6877055058844015e+46
            488.6000               3.9000    5.3983961391528833e+47    2.3866112321148519e+46
            496.9000               3.9000    5.5088982431836572e+47    2.4354638090384765e+46
            504.8000               3.9000    5.1649336878676981e+47    2.2833983344037700e+46
            525.8000               3.9000    4.6330261269416806e+47    2.0482439428714626e+46
            534.1000               3.9000    4.5694586244553077e+47    2.0201409820066322e+46
            542.0000               3.9000    4.4695597674513618e+47    1.9759760618978860e+46
            561.9000               3.9000    4.0092648676538088e+47    1.7724813665059303e+46
            570.2000               3.9000    3.9761682061910601e+47    1.7578494532568054e+46
            578.2000               3.9000    3.9615464118299524e+47    1.7513852113308011e+46
            598.2000               3.9000    3.7176178771396521e+47    1.6435452963414316e+46
            606.4000               3.9000    3.6396929525331957e+47    1.6090949715535479e+46
            608.0000              30.0000    5.1364699297929215e+47    3.3116046408011363e+46
            614.4000               3.9000    3.5732610683929813e+47    1.5797256780128803e+46
            634.4000               3.9000    3.7039468649254110e+47    1.6375013917327553e+46
            650.6000               3.9000    3.4599095655033446e+47    1.5296133922523994e+46
            670.6000               3.9000    2.8751780631926481e+47    1.2711057290105754e+46
            678.9000               3.9000    2.9259354874571924e+47    1.2935454010428667e+46
            686.8000               3.9000    2.8019781613372179e+47    1.2387443195373368e+46
            692.0000              30.0000    3.7554738992846807e+47    2.4212435706364733e+46
            706.8000               3.9000    2.8937749062054068e+47    1.2793273254388597e+46
            715.0000               3.9000    2.7711800638707057e+47    1.2251285930425267e+46
            723.0000               3.9000    2.7993986321401506e+47    1.2376039190930943e+46
            743.0000               3.9000    2.4949666528249699e+47    1.1030156520374310e+46
            751.3000               3.9000    2.4562057584525139e+47    1.0858796020900790e+46
            759.2000               3.9000    2.4002956886622213e+47    1.0611619642750115e+46
            773.0000              30.0000    2.8488182718752033e+47    1.8367010688060894e+46
            779.3000               3.9000    2.3564853543370407e+47    1.0417935753520766e+46
            787.5000               3.9000    2.4247375892952546e+47    1.0719676393461605e+46
            795.5000               3.9000    2.3434988509110366e+47    1.0360522895806207e+46
            815.5000               3.9000    2.1670291055357471e+47    9.5803565916208994e+45
            823.8000               3.9000    2.1274763662401849e+47    9.4054953746400508e+45
            831.7000               3.9000    2.1830553366109629e+47    9.6512079743402509e+45
            851.7000               3.9000    1.9983186604835262e+47    8.8344938709945672e+45
            860.0000               3.9000    1.9654624169416850e+47    8.6892376173577925e+45
            867.9000               3.9000    1.9278122856907594e+47    8.5227877611081592e+45
            885.0000              15.0000    1.8996112964745221e+47    8.7480335593283144e+45
            888.0000               3.9000    1.9101379961569926e+47    8.4446503720880953e+45
            896.2000               3.9000    1.7892241159904721e+47    8.0748881563692238e+45
            904.1000               3.9000    1.8157863343212025e+47    8.1947652250320126e+45
            924.1000               3.9000    1.7292777075579081e+47    7.8043460039675821e+45
            932.4000               3.9000    1.7324660905699807e+47    7.8187353898427546e+45
            940.3000               3.9000    1.7324660905699807e+47    7.8187353898427546e+45
            955.0000              15.0000    1.8478416141401383e+47    8.5096253548406551e+45
            960.3000               3.9000    1.5569144243208187e+47    7.0264589735138220e+45
            968.5000               3.9000    1.6168314283451218e+47    7.2968684218534647e+45
            976.5000               3.9000    1.6682638639798518e+47    7.5289864453299116e+45
            990.0000              15.0000    1.6094027626084993e+47    7.4115738329752983e+45
            996.5000               3.9000    1.5019820483728973e+47    6.7785454852152680e+45
           1004.8000               3.9000    1.4882117939790929e+47    6.7163994057381478e+45
           1012.7000               3.9000    1.4772865436204815e+47    6.6670930198373042e+45
           1032.7000               3.9000    1.3660441676757681e+47    6.1650487337278052e+45
           1041.0000               3.9000    1.2504454218503598e+47    5.6433438588524791e+45
           1049.0000               3.9000    1.2866627887766868e+47    5.8067952591743353e+45
           1069.0000               3.9000    1.1930667449780498e+47    5.3843900507948074e+45
           1077.2000               3.9000    1.2344250913380226e+47    5.5710430352949000e+45
           1085.2000               3.9000    1.2515976552043269e+47    5.6485439650773892e+45
           1105.2000               3.9000    1.1745316940069190e+47    5.3007401255412389e+45
           1113.5000               3.9000    1.1573500649226590e+47    5.2231982838235430e+45
           1121.4000               3.9000    1.1669835666525362e+47    5.2666749217291763e+45
           1141.4000               3.9000    1.0584363336813939e+47    4.8742795879564512e+45
           1149.7000               3.9000    1.0458387755009372e+47    4.8162656869374632e+45
           1157.6000               3.9000    1.0526033302857787e+47    4.7504692615738775e+45
           1177.6000               3.9000    1.0951276392371302e+47    4.9423843132659746e+45
           1185.8000               3.9000    1.0574619265772842e+47    4.7723964317367623e+45
           1193.8000               3.9000    1.0024546608590255e+47    4.6164744498914668e+45
           1221.5000              11.7500    9.9601238647361071e+46    3.2107646753754099e+45
           1257.5000              11.7500    9.5206092084727857e+46    3.0690818859036514e+45
           1293.5000              11.7500    8.2085176835215439e+46    2.6461135396877567e+45
           1330.0000              11.7500    8.2388147557000983e+46    2.6558801621152767e+45
           1366.0000              11.7500    7.4793651687812406e+46    2.4110625333867074e+45
           1402.0000              11.7500    6.7961778726446164e+46    2.1908289633136483e+45
           1438.5000              11.7500    7.0317712956982503e+46    2.2667753120502884e+45
           1474.5000              11.7500    6.3659721814659736e+46    2.0521470297212042e+45
           1510.5000              11.7500    6.2325351476766903e+46    2.0091320110029744e+45
           1547.0000              11.7500    5.7898156502591939e+46    1.8664161027760933e+45
           1583.0000              11.7500    5.6946198254745467e+46    1.8357285937036480e+45
           1619.5000              11.7500    5.4233138178627123e+46    1.7482698675585498e+45
           1656.5000              11.7500    5.0706628485264114e+46    1.6812911552735207e+45
           1692.5000              11.7500    5.0940679651572203e+46    1.6890516427590887e+45
           1729.0000              11.7500    4.9643767714645599e+46    1.6460496401834885e+45
           1765.0000              11.7500    4.7235088625399652e+46    1.5661845225525978e+45
           1801.5000              11.7500    4.3078912765178028e+46    1.4283772590390584e+45
           1837.5000              11.7500    3.9143957689660069e+46    1.3339579815654843e+45
           1873.5000              11.7500    4.0838025276209182e+46    1.3540756454687280e+45
           1910.0000              11.7500    4.0277706555322190e+46    1.3354970308437142e+45
           1964.0000              23.5500    3.7176177495837543e+46    1.2326589299620756e+45
           2036.5000              23.5500    3.5732609457901377e+46    1.1847942178579581e+45
           2109.0000              23.5500    3.4440126066438800e+46    1.1102185243007249e+45
           2181.5000              23.5500    3.0751388624557776e+46    1.0196307514681814e+45
           2235.0000             165.0000    3.8606882447779910e+46    1.7779126914070318e+45
           2254.0000              23.5500    3.2111806047139415e+46    1.0943144870192706e+45
           2326.0000              23.5500    2.8567006347655688e+46    9.7351387994559455e+44
           2399.5000              23.5500    2.7206002333492438e+46    9.2713323080353562e+44
           2472.0000              23.5500    2.6562242105245293e+46    9.0519500213761904e+44
           2544.5000              23.5500    2.5790795069876028e+46    8.7890542921439667e+44
           2616.5000              23.5500    2.4404208696190244e+46    8.3165297776397301e+44
           2689.0000              23.5500    2.3478196332745953e+46    8.0009608734838995e+44
           2761.5000              23.5500    2.1850668561701067e+46    7.4463277222789849e+44
           2834.0000              23.5500    2.1196528010638252e+46    7.2234080021847677e+44
           2906.5000              23.5500    1.9891371518537847e+46    6.9618396821611790e+44
           2978.5000              23.5500    1.9295886181794515e+46    6.7534240159201004e+44
           3051.0000              23.5500    2.0223891612211878e+46    7.0782193687553582e+44
           3123.5000              23.5500    1.9101379306178820e+46    6.6853479818541471e+44
           3195.5000              23.5500    1.7197476632143037e+46    6.1773900973588043e+44
           3268.5000              23.5500    1.7533342969955503e+46    6.1365463279100494e+44
           3340.5000              23.5500    1.8615072350649596e+46    6.6865951360325182e+44
           3414.0000              23.5500    1.6272891457653375e+46    5.8452760655605566e+44
           3486.5000              23.5500    1.6213050208436615e+46    5.8237808922725025e+44
           3559.0000              23.5500    1.7245060726429793e+46    6.0356495767348295e+44
           3632.0000              23.5500    1.4759264881715506e+46    5.4375142845648905e+44
           3686.5000              11.7500    1.5829409981738671e+46    5.6859760626428515e+44
           3892.5000             113.8000    1.3572652389340716e+46    4.7503325704932399e+44
           4251.0000             117.7000    1.2332886249029781e+46    4.3164231689131259e+44
           4613.0000             117.7000    1.0921058288842597e+46    3.9228800113663919e+44
           4975.5000             117.7000    1.0098682645384703e+46    3.6274799788575057e+44
           5338.5000             117.7000    8.6989077164131105e+45    3.2849160328014549e+44
           5703.0000             117.7000    8.4930703887391139e+45    3.2071869247492399e+44
           6068.5000             117.7000    7.7743613540117777e+45    3.0789942011808295e+44
           6431.5000             117.7000    8.2085174018775259e+45    3.0997328972786978e+44
           6860.0000             156.9500    6.7774250260177148e+45    2.6217405115517006e+44
           7613.0000             176.6000    6.0682675594562393e+45    2.3474140745913138e+44
           8248.0000             235.4500    5.5496388362477119e+45    2.1467906919835584e+44
           8973.0000             235.4500    4.4531232900519017e+45    1.8456652080217150e+44
           9698.5000             235.4500    4.4778002813976398e+45    2.1033453607304821e+44
          10424.0000             235.4500    3.7937151440745459e+45    1.6422462115854662e+44
          11738.5000             584.6500    3.2052707261452738e+45    1.3875168554337936e+44
          13521.5000             569.0000    2.8435751898356096e+45    1.2833245101571837e+44
          15328.5000             584.6500    2.7105955190397535e+45    1.2233098949309123e+44
          17109.5000             569.0000    2.0694965860453702e+45    1.0864638047759006e+44
          19132.5000             706.3000    1.7245060134731256e+45    9.3711398107638550e+43
          21321.0000             647.4500    1.6883586724810308e+45    9.3302150947143426e+43
