Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
           1897.8000              60.0000    3.1188894845720593e-03    1.7235620737469223e-04
           2029.2000              60.0000    2.7415740791781719e-03    1.2625415575568481e-04
           2161.2000              60.0000    2.5003452736761054e-03    1.8423225344781367e-04
          28238.1000             250.5000    9.4188951734533292e-05    6.0725863080999228e-06
          29606.1000             250.5000    8.2794209252268962e-05    6.8630658299515162e-06
          33340.5000             250.5000    7.2777974056115264e-05    2.6812397277459998e-06
          34571.7000             250.5000    6.5162833570609548e-05    8.4024065169162768e-06
          68442.0000             450.0000    2.8973432932450671e-05    2.4016966806122956e-06
          69414.0000             450.0000    3.0619631250255795e-05    2.2561378719835443e-06
          90356.0000             450.0000    2.2803418321127878e-05    1.2601635025703541e-06
         174960.0000             450.0000    9.1622038128844904e-06    5.0632210862046325e-07
         203778.0000             750.0000    9.2469806422455849e-06    3.6622171879383427e-06
         240786.0000            2100.0000    6.0534079910970016e-06    8.3630924420225973e-07
         521589.0000             540.0000    1.6982434080825834e-06    1.4077260245869889e-07
         780120.0000             540.0000    1.2531409889374342e-06    8.0792987621182034e-08
        1211220.0000             540.0000    8.4333462761097818e-07    6.2139193531025055e-08
        1632500.0000             500.0000    5.6754451446903409e-07    3.1363669829941297e-08
        2287800.0000             540.0000    3.5156038168763962e-07    2.9141917828740305e-08
