time_sec	flux	flux_err	band	logF	logT	mag	mag_err
900.0	5.600817664447991e-11	5.158543705094268e-13	R	-10.251748565630324	2.9542425094393248	13.52	0.01
89360.0	9.638879510344707e-14	4.750653571084232e-15	g	-13.015973448540883	4.951143160107553	20.83	0.05
90405.0	1.0597111642668563e-13	1.9582598820320233e-15	r	-12.974812490262126	4.956192450523593	20.53	0.02
91356.0	1.065203999044236e-13	3.173286984675991e-15	i	-12.972567211779111	4.960737075840936	20.37	0.03
92519.0	9.896020091669998e-14	4.233432792671276e-15	z	-13.004539431639591	4.9662309300126655	20.32	0.04
175200.0	4.103812497711287e-14	1.1355273155933715e-15	r	-13.386812490262125	5.243534101832062	21.56	0.03
520440.0	7.586239535995137e-15	1.0565107155031654e-15	g	-14.119973448540884	5.716370668196387	23.59	0.15
521639.0	6.937252621920335e-15	5.751404482700337e-16	r	-14.158812490262125	5.717370053681721	23.49	0.09
522841.0	8.383643226141494e-15	4.726091652340574e-16	i	-14.07656721177911	5.71836963662768	23.13	0.06
780180.0	6.504104490759447e-15	3.5955711563886383e-16	r	-14.186812490262126	5.892194812931721	23.56	0.06
781379.0	7.301848001151134e-15	4.116253751983989e-16	i	-14.136567211779113	5.892861735137199	23.28	0.06
88817.0	8.63031309294057e-14	7.312705588692218e-15	g	-13.063973448540883	4.948496099782834	20.95	0.09
89959.0	1.0403692557142968e-13	2.8787078084731773e-15	r	-12.982812490262127	4.954044619096901	20.55	0.03
90910.0	1.0361742328264005e-13	4.909273645961628e-15	i	-12.984567211779112	4.958611657764879	20.4	0.05
91864.0	9.896020091669998e-14	3.479464680633504e-15	z	-13.004539431639591	4.963145351816788	20.32	0.03
679.0	2.997605965729665e-10	1.1281763290490236e-11	u	-9.523225455595838	2.8318697742805017	12.33	0.01
1256.0	3.252755608536209e-11	2.39671890411784e-13	R	-10.487748565630323	3.0989896394011773	14.11	0.008
843.0	2.4516102834914695e-11	2.4838181687432796e-13	R	-10.610548565630323	2.9258275746247424	14.417	0.011
1025.0	1.9872450980020694e-11	2.0133524130654246e-13	R	-10.701748565630323	3.010723865391773	14.645	0.011
1860.0	1.3522327013520574e-11	1.3699975785726192e-13	R	-10.868948565630323	3.2695129442179165	15.063	0.011
2961.0	7.451632605954542e-12	9.608490167886008e-14	R	-11.127748565630325	3.471438407389299	15.71	0.014
3819.0	5.433146735326947e-12	7.506169608487855e-14	R	-11.264948565630323	3.581949658373318	16.053	0.015
4429.0	4.544137188740388e-12	5.859427028735553e-14	R	-11.342548565630324	3.6463056802847587	16.247	0.014
5054.0	3.892704475172241e-12	6.812095304931738e-14	R	-11.409748565630323	3.703635237583896	16.415	0.019
6869.0	2.6245293532733427e-12	4.109377472181302e-14	R	-11.580948565630322	3.836893516376434	16.843	0.017
