Tstart(s)          Tend(s)      Tmid(s)  ErrorTime(s)  Exposure(s)    Filter       Magnitude    ErrorMagnitude      ErrMag+   ErrMag-    Sigma     Telescope           ReferenceUpperL  Calib   Galactic Extiction   Host     Corrected? Notes  
           -9.0            -9.0           228.0    -9.000    60.000 J   16.900   0.1000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 AB  0.015  0.000 0 E(B-V)=0.017
           -9.0            -9.0           336.0    -9.000    60.000 J   16.920   0.1000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 AB  0.015  0.000 0 E(B-V)=0.017
           -9.0            -9.0           559.0    -9.000    60.000 J   16.860   0.1000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 AB  0.015  0.000 0 E(B-V)=0.017
           -9.0            -9.0           768.0    -9.000    60.000 J   16.880   0.1000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 AB  0.015  0.000 0 E(B-V)=0.017
           -9.0            -9.0           871.0    -9.000    60.000 J   16.850   0.1000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 AB  0.015  0.000 0 E(B-V)=0.017
           -9.0            -9.0           972.0    -9.000    60.000 J   16.920   0.1000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 AB  0.015  0.000 0 E(B-V)=0.017
           -9.0            -9.0          1130.0    -9.000   120.000 J   16.930   0.1000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 AB  0.015  0.000 0 E(B-V)=0.017
           -9.0            -9.0          1317.0    -9.000   120.000 J   17.040   0.1000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 AB  0.015  0.000 0 E(B-V)=0.017
           -9.0            -9.0          1504.0    -9.000   120.000 J   17.000   0.1000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 AB  0.015  0.000 0 E(B-V)=0.017
           -9.0            -9.0          2920.0    -9.000  1200.000 J   17.480   0.1000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 AB  0.015  0.000 0 E(B-V)=0.017
           -9.0            -9.0          4736.0    -9.000  1200.000 J   18.020   0.1000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 AB  0.015  0.000 0 E(B-V)=0.017
           -9.0            -9.0          6034.0    -9.000   950.000 J   18.340   0.1000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 AB  0.015  0.000 0 E(B-V)=0.017
           -9.0            -9.0         85868.0    -9.000  9960.000 J   21.610   0.1100  -9.0000  -9.0000  -9.0000 GROND guidorzi09 0 AB  0.015  0.000 0 E(B-V)=0.017
           -9.0            -9.0        172013.0    -9.000  5160.000 J   21.990 100.0000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 1 AB  0.015  0.000 0 E(B-V)=0.017
           -9.0            -9.0        254200.0    -9.000  4800.000 J   22.150 100.0000  -9.0000  -9.0000  -9.0000 GROND guidorzi09 1 AB  0.015  0.000 0 E(B-V)=0.017
