Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            164.2000               0.0010    9.1874811436792429e-03    3.5851825589012457e-04
            423.4000               0.0010    3.0183031262498773e-03    4.8946480396300359e-04
            725.8000               0.0010    1.4114803895107033e-03    1.0585680282689467e-04
            769.0000               0.0010    1.0805947342813085e-03    2.2853173247253035e-04
            907.2000               0.0010    1.1652814885549905e-03    5.9857684986511224e-05
           1166.4000               0.0010    7.6729584187900182e-04    1.3946331985975911e-04
           5270.4000               0.0010    1.7593070180894630e-04    1.9007973320446345e-05
           5685.1000               0.0010    1.2509940178716375e-04    3.7322437819868270e-05
           6713.3000               0.0010    1.3784621115453221e-04    1.7100816303866908e-05
           7084.8000               0.0010    1.5621014458967156e-04    4.5261376297926032e-05
          18299.5000               0.0010    2.9532759151114392e-05    1.4343178472139858e-05
          38396.2000               0.0010    2.7040008452864231e-05    2.9885722641786797e-06
          58294.1000               0.0010    1.4190798024947142e-05    1.0456166697789694e-06
          58587.8000               0.0010    1.4454624661794154e-05    1.5975842030025436e-06
          78183.4000               0.0010    1.0186674208391222e-05    1.6218806707263655e-06
          78399.4000               0.0010    1.2035629712501689e-05    4.2276510526296590e-06
         179625.6000               0.0010    3.6436915886312745e-06    1.9809583374681133e-06
         816765.1000               0.0010    2.4660779079160458e-07    1.1356708784794843e-07
         915243.8000               0.0010    3.1915877853814319e-07    4.7032977082628856e-08
         915459.8000               0.0010    2.9923114464675839e-07    4.6852353114357248e-08
        1775234.9000               0.0010    1.5135849106453780e-07    6.1338783485112549e-08
        2641204.8000               0.0010    7.7984229426510923e-08    2.0111316885567410e-08
