time_sec	flux	flux_err	band_init	band_norm	source
38	4.838967040264503e-11	1.3370560046883075e-12	R	R	Li_Liang
52	9.220461610742895e-11	2.5477076946504547e-12	R	R	Li_Liang
67	1.1188005314615764e-10	3.0913601109326898e-12	R	R	Li_Liang
81	1.129152665321723e-10	4.15995215181487e-12	R	R	Li_Liang
95	1.0983801204120679e-10	3.0349364300421985e-12	R	R	Li_Liang
124	1.2964407219119954e-10	1.4328792385079998e-11	R	R	Li_Liang
138	1.0684462127826486e-10	1.0824828617764791e-11	R	R	Li_Liang
152	8.724743421031623e-11	1.5267992747513617e-11	R	R	Li_Liang
173	9.744345273265442e-11	2.6924621000649595e-12	R	R	Li_Liang
261	1.039328087239333e-10	1.8187874339095504e-11	R	R	Li_Liang
386	5.067020530938333e-11	4.666898376173352e-12	R	R	Li_Liang
444	4.578810436122516e-11	1.2651720784633525e-12	R	R	Li_Liang
493	3.9879771751736376e-11	1.1019188153706386e-12	R	R	Li_Liang
562	3.4733829171521367e-11	1.279641556367149e-12	R	R	Li_Liang
631	3.2266559784499753e-11	4.754975971967379e-12	R	R	Li_Liang
700	2.6348303904410596e-11	1.6987379302872344e-12	R	R	Li_Liang
770	2.6106741202232877e-11	1.6831638073296166e-12	R	R	Li_Liang
839	2.337505621580116e-11	1.2917533437696374e-12	R	R	Li_Liang
908	1.99872324819398e-11	2.39315978528229e-12	R	R	Li_Liang
977	1.806145211347017e-11	2.328929702080924e-12	R	R	Li_Liang
1046	1.9264274768013306e-11	1.2420136934287255e-12	R	R	Li_Liang
1115	1.662465586308401e-11	6.124749562638928e-13	R	R	Li_Liang
1504	1.2611091130312994e-11	3.484573253165775e-13	R	R	Li_Liang
2196	7.324072994604415e-12	3.372860259475277e-13	R	R	Li_Liang
2823	7.059154123340248e-12	6.501721221420283e-13	R	R	Li_Liang
3320	6.091898573823387e-12	6.733015125176361e-13	R	R	Li_Liang
3697	4.413190392007211e-12	4.87763827640657e-13	R	R	Li_Liang
3886	4.536831649718578e-12	5.014291644511478e-13	R	R	Li_Liang
4075	3.808488635513529e-12	4.2092971963059283e-13	R	R	Li_Liang
4263	3.738975883930394e-12	4.1324688640331325e-13	R	R	Li_Liang
4438	3.843728146982287e-12	1.770102226552608e-13	R	R	Li_Liang
4453	3.167762869676398e-12	3.501140909691318e-13	R	R	Li_Liang
4712	4.062119206388252e-12	4.4896200626853077e-13	R	R	Li_Liang
5129	2.7086485841723463e-12	1.2473787704149346e-13	R	R	Li_Liang
5689	2.380963095669587e-12	2.6315376629077184e-13	R	R	Li_Liang
5821	2.447668867586e-12	9.017545355342623e-14	R	R	Li_Liang
6512	2.1122857247637907e-12	1.1672922292764547e-13	R	R	Li_Liang
6624	2.683815544686535e-12	2.966262559459637e-13	R	R	Li_Liang
7203	1.7731793460353326e-12	6.532634127017419e-14	R	R	Li_Liang
7422	2.380963095669587e-12	2.6315376629077184e-13	R	R	Li_Liang
7898	1.57308671725678e-12	8.693198460341761e-14	R	R	Li_Liang
9298	1.6171587837062432e-12	2.2341874250198265e-13	R	R	Li_Liang
37420	3.603733475562211e-13	1.659580595990634e-14	R	R	Li_Liang
38117	2.759006121102929e-13	1.7787969824606602e-14	R	R	Li_Liang
43110	1.99872324819398e-13	1.2886244997673872e-14	R	R	Li_Liang
47548	1.7895863725177215e-13	6.593079846375351e-15	R	R	Li_Liang
48212	1.7408151755757017e-13	9.620100175052214e-15	R	R	Li_Liang
48868	1.8397239578532545e-13	6.7777935369230545e-15	R	R	Li_Liang
50016	1.7895863725177215e-13	9.889619769563026e-15	R	R	Li_Liang
50215	1.7408151755757017e-13	9.620100175052214e-15	R	R	Li_Liang
50884	1.822857267225558e-13	8.394567940338867e-15	R	R	Li_Liang
51559	1.709041717799418e-13	7.870427965419753e-15	R	R	Li_Liang
52255	1.6778481909849227e-13	9.272131758885383e-15	R	R	Li_Liang
52916	1.6171587837062434e-13	8.936749700079307e-15	R	R	Li_Liang
53879	1.709041717799418e-13	1.2592684744671604e-14	R	R	Li_Liang
54530	2.0172172067083332e-13	1.114755424679447e-14	R	R	Li_Liang
55987	1.238091277642235e-13	1.140324207865985e-15	R	R	Li_Liang
140260	7.256925489780465e-14	6.015487843345324e-15	R	R	Li_Liang
142301	6.036047711990898e-14	1.1118810785784845e-15	R	R	Li_Liang
216691	2.9974549456825474e-14	1.1043032119759856e-15	R	R	Li_Liang
244918	3.505521733585251e-14	2.905834351291215e-15	R	R	Li_Liang
265404	3.4733829171521294e-14	1.9194623345507195e-15	R	R	Li_Liang
307411	2.1122857247637905e-14	1.7509383439146817e-15	R	R	Li_Liang
395798	1.3450940884073135e-14	7.433264631938628e-16	R	R	Li_Liang
419360	1.544374648858907e-14	4.4095070151309366e-15	R	R	Li_Liang
497928	9.655008578816255e-15	3.379184781599414e-15	R	R	Li_Liang
