#time	mag	mag_err	band
521.3	17.128	0.017	r
629.3	17.237000000000002	0.021	r
739.0	17.302	0.019	r
848.7	17.365000000000002	0.016	r
972.3	17.45	0.015	r
1076.0	17.533	0.02	r
1185.7	17.603	0.021	r
1294.6	17.668	0.015	r
1443.2	17.767	0.016	r
1624.6	17.855	0.017	r
1808.7	17.947	0.018	r
1998.7	18.019000000000002	0.016	r
2209.5	18.1	0.017	r
2388.4	18.176000000000002	0.011	r
2584.5	18.222	0.013	r
2779.8	18.273	0.017	r
3545.3	18.287	0.022	r
3679.2	18.203	0.022	r
3795.0	18.033	0.02	r
4034.3	17.789	0.022	r
4141.5	17.733	0.017	r
4254.6	17.646	0.018	r
4370.4	17.598	0.023	r
4498.3	17.561	0.019	r
4614.9	17.503	0.016	r
4730.7	17.432	0.018	r
4846.5	17.356	0.013	r
5091.0	17.361	0.02	r
5206.8	17.353	0.018	r
5646.5	17.282	0.027	r
5739.9	17.25	0.02	r
5838.3	17.176000000000002	0.014	r
5936.8	17.171	0.019	r
6576.2	17.258	0.021	r
6691.1	17.331	0.018	r
6794.8	17.355	0.02	r
6905.4	17.384	0.022	r
7016.8	17.392	0.02	r
7124.0	17.36	0.018	r
7236.3	17.385	0.018	r
7341.7	17.426000000000002	0.018	r
8056.2	17.315	0.014	r
8502.1	17.375	0.014	r
8944.4	17.478	0.013	r
9384.2	17.546	0.015	r
9824.8	17.621	0.016	r
10257.7	17.621	0.015	r
10692.3	17.65	0.015	r
11137.3	17.671	0.013	r
11582.2	17.755	0.013	r
12028.9	17.725	0.016	r
12471.3	17.721	0.016	r
12911.1	17.808	0.014	r
13350.0	17.86	0.012	r
14271.9	17.872	0.016	r
14710.8	17.852	0.014	r
15285.3	17.864	0.028	r
16262.5	17.914	0.015	r
16825.8	17.914	0.015	r
17223.3	17.994	0.014	r
17828.9	18.104	0.017	r
18337.0	18.175	0.016	r
18774.2	18.244	0.015	r
19285.6	18.259	0.018	r
19684.0	18.294	0.018	r
20325.0	18.347	0.016	r
20956.6	18.372	0.02	r
82337.8	21.417	0.038	r
83119.7	21.425	0.041	r
91951.5	21.614	0.041	r
92720.5	21.658	0.053	r
107789.5	22.0	0.1	r
108578.3	21.96	0.11	r
167820.2	22.56	0.1	r
255354.6	23.490000000000002	0.15	r
257176.0	23.41	0.16	r
435111.6	23.95	0.14	r
436923.4	23.830000000000002	0.16	r
438734.3	24.07	0.18	r
