Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
          44729.0000               0.0010    2.2469538389779874e+45    1.0347605126438907e+44
          45506.0000               0.0010    2.0873445867648657e+45    1.1535092802695115e+44
          46268.0000               0.0010    1.9933986034645108e+45    7.3439520653891269e+43
          47037.0000               0.0010    2.0492462538678211e+45    9.4371280237351228e+43
          47812.0000               0.0010    1.9036808859877437e+45    8.7667747121633302e+43
          49112.0000               0.0010    1.7522422540977497e+45    4.8416244116999953e+43
          50930.0000               0.0010    1.5834127883589346e+45    4.3751313449886186e+43
          52756.0000               0.0010    1.4982840208932639e+45    4.1399118610754471e+43
          54571.0000               0.0010    1.3664512656130348e+45    5.0341926481293902e+43
          56374.0000               0.0010    1.2011414283180098e+45    4.4251686832675873e+43
         139787.0000               0.0010    3.1593237897722606e+44    2.9098448286767947e+43
         222822.0000               0.0010    2.6278110623022868e+44    2.6623338515183646e+43
