Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
          44729.0000               0.0010    2.1243333093472100e+45    1.5652666724699162e+44
          45506.0000               0.0010    1.8846150635973928e+45    1.3886357364467719e+44
          46268.0000               0.0010    1.8846150635973928e+45    1.5622152035026177e+44
          47037.0000               0.0010    1.9553416824344178e+45    1.4407490365748473e+44
          47812.0000               0.0010    1.7997934120047690e+45    1.3261368320810591e+44
          49112.0000               0.0010    1.7507440441788767e+45    8.0624745076506225e+43
          50930.0000               0.0010    1.5675545280719174e+45    8.6626267024838861e+43
          52756.0000               0.0010    1.4562054644246176e+45    6.7060741824950952e+43
          54571.0000               0.0010    1.3403636944586413e+45    8.6416443425174349e+43
          56374.0000               0.0010    1.2112189452654851e+45    6.6934434432189538e+43
         139787.0000               0.0010    2.8788739233930777e+44    4.5076196125826204e+43
         222822.0000               0.0010    2.3725897217470950e+44    3.2778539294140356e+43
