time_sec	flux	flux_err	band_init	band_norm	source
71640	5.386019423550133e-13	5.1783633964859235e-14	V	R	9937
72000	4.723421936989877e-13	2.474442371958077e-14	I	R	9937
72000	8.159140389896796e-13	2.2544538040106384e-14	R	R	9937
47530	7.500524825446349e-13	1.1262319064368927e-13	v_swift	R	9948
46790	4.979395988905985e-13	6.004216506773527e-14	u_swift	R	9948
69662.5	2.7617010504467414e-13	3.6276604602143326e-14	u_swift	R	9948
86331.5	3.7426280236441714e-13	4.512906587133011e-14	u_swift	R	9948
354240	1.2578950434782927e-13	6.719672071540975e-14	R	R	9982
527040	9.454627129503094e-14	5.050659369264931e-14	R	R	9984
959040	3.5945489808017823e-14	1.9864211758154696e-14	R	R	10003
74160	5.037983516927299e-13	3.357341914737256e-14	I	R	10113
258264	1.4396494055650317e-13	1.0719118426978205e-14	I	R	10113
429048	6.89059527897825e-14	6.845698675007956e-15	I	R	10113
46800	4.458375722185413e-13	5.168070247995142e-14	u_swift	R	cenko11
47500	8.300259164153856e-13	8.009904928966721e-14	v_swift	R	cenko11
51700	3.8122086735739445e-13	4.262844075986445e-14	u_swift	R	cenko11
53100	4.910114875226811e-13	4.308841368718135e-14	v_swift	R	cenko11
57400	3.141786470275451e-13	3.513172281377815e-14	u_swift	R	cenko11
58900	4.1599839288716886e-13	4.014462092966286e-14	v_swift	R	cenko11
63100	2.787254755644393e-13	3.360905830688906e-14	u_swift	R	cenko11
68800	7.232158161951076e-13	1.4789477660192252e-13	VJ	R	cenko11
68900	4.089078442602488e-13	6.027760096973028e-14	Rc	R	cenko11
69000	5.25463468903753e-13	9.405108840424236e-14	Ic	R	cenko11
69700	2.542006549193989e-13	3.196494803901166e-14	u_swift	R	cenko11
70600	4.646133161514582e-13	5.3065972774570306e-14	v_swift	R	cenko11
71300	4.792283793257787e-13	3.576354771334714e-14	Ic	R	cenko11
71400	4.916153581901732e-13	2.2711618861374837e-14	Rc	R	cenko11
71800	5.191201842220054e-13	4.991056936405125e-14	VJ	R	cenko11
72300	5.064569421835667e-13	3.010465290029043e-14	Ic	R	cenko11
72400	5.100649037748563e-13	1.8884643960738207e-14	Rc	R	cenko11
73900	5.292068315778937e-13	1.9593354731871912e-14	Rc	R	cenko11
73900	5.15872679728405e-13	3.066434018459436e-14	Ic	R	cenko11
74200	5.064569421835667e-13	3.779554341506328e-14	Ic	R	cenko11
74200	5.637794922441337e-13	7.159512643093963e-14	J	R	cenko11
74300	5.191201842220054e-13	4.5351008460892046e-14	VJ	R	cenko11
74800	5.241267942779237e-13	5.900564143113137e-14	BJ	R	cenko11
74800	5.541475811687774e-13	2.051676109183128e-14	Rc	R	cenko11
74800	5.502277992469753e-13	3.270646630097344e-14	Ic	R	cenko11
74800	2.8918560111049435e-13	3.352188317845821e-14	u_swift	R	cenko11
75700	5.541475811687774e-13	2.051676109183128e-14	Rc	R	cenko11
75700	5.604572977809385e-13	3.331452490785373e-14	Ic	R	cenko11
76100	4.867073617549156e-13	4.251938250870648e-14	VJ	R	cenko11
76100	5.193215709448061e-13	4.744811864198204e-14	BJ	R	cenko11
76300	5.14152146005938e-13	4.511910806207477e-14	v_swift	R	cenko11
76500	6.033127847861568e-13	3.175191295457361e-14	Ic	R	cenko11
76600	5.802637520751781e-13	2.148368625279641e-14	Rc	R	cenko11
77400	5.502277992469753e-13	3.270646630097344e-14	Ic	R	cenko11
77500	5.910516606637468e-13	2.188309780075509e-14	Rc	R	cenko11
77900	5.241267942779237e-13	4.788715067832936e-14	BJ	R	cenko11
77900	5.692039631772636e-13	4.4782566426920804e-14	VJ	R	cenko11
78200	6.145292068861262e-13	3.6528650176330595e-14	Ic	R	cenko11
78300	5.644499538895353e-13	2.089819615890308e-14	Rc	R	cenko11
79200	5.910516606637468e-13	2.188309780075509e-14	Rc	R	cenko11
79200	6.926957587475976e-13	3.231281110701993e-14	Ic	R	cenko11
79700	6.186376709842223e-13	4.914857714380433e-14	BJ	R	cenko11
79700	6.071107393137592e-13	4.2573239597941325e-14	VJ	R	cenko11
80200	5.910516606637468e-13	2.188309780075509e-14	Rc	R	cenko11
80200	6.145292068861262e-13	3.6528650176330595e-14	Ic	R	cenko11
80600	3.351017262929496e-13	3.747135928531231e-14	u_swift	R	cenko11
81100	6.723964965023285e-13	1.8742431222094e-14	Rc	R	cenko11
81100	6.676402768221611e-13	3.513742206231977e-14	Ic	R	cenko11
81400	5.241267942779237e-13	5.1407529206255644e-14	BJ	R	cenko11
81400	6.656836883019076e-13	5.237318416459086e-14	VJ	R	cenko11
81900	6.132328931550628e-13	2.8330098949448116e-14	Rc	R	cenko11
81900	6.317460403536739e-13	3.755204772982837e-14	Ic	R	cenko11
82000	5.637566175957373e-13	4.9472118219493075e-14	v_swift	R	cenko11
85800	5.051686163840528e-13	4.615502568242814e-14	BJ	R	cenko11
85800	6.317460403536739e-13	3.3248334509961247e-14	Ic	R	cenko11
85800	6.475419597092906e-13	6.225762141119656e-14	VJ	R	cenko11
85900	6.362465521626676e-13	1.7734784916687835e-14	Rc	R	cenko11
86300	3.3202949519976813e-13	3.848827157074236e-14	u_swift	R	cenko11
86900	6.259541578419349e-13	2.919945475134661e-14	Ic	R	cenko11
86900	6.189070672539003e-13	1.725146279198967e-14	Rc	R	cenko11
87300	5.907943892235e-13	5.0286546958374154e-14	BJ	R	cenko11
87300	5.639854698755976e-13	4.9270497648787405e-14	VJ	R	cenko11
87800	6.480752587120178e-13	2.3994339602596793e-14	Rc	R	cenko11
87900	6.494452257604422e-13	3.417982976180107e-14	Ic	R	cenko11
88900	6.07610740197049e-13	1.6936588110121692e-14	Rc	R	cenko11
88900	6.145292068861262e-13	3.2342225089772625e-14	Ic	R	cenko11
89400	6.416052593384299e-13	4.4992145031052656e-14	VJ	R	cenko11
89500	5.388108868024874e-13	4.9228771368160844e-14	BJ	R	cenko11
89900	6.033127847861568e-13	3.175191295457361e-14	Ic	R	cenko11
90000	5.195477183337205e-13	1.9235735704876126e-14	Rc	R	cenko11
91000	5.303255225189771e-13	2.7910646439524448e-14	Ic	R	cenko11
91000	5.243550341828632e-13	1.9413721775954537e-14	Rc	R	cenko11
91500	5.14360861765782e-13	4.9452986513688335e-14	VJ	R	cenko11
